metric_1,metric_2,spearman_corr,abs_corr
AvgSensitivity,MaxSensitivity,0.9176362954630671,0.9176362954630671
Complexity,Consistency,0.8098378727908898,0.8098378727908898
Complexity,Sparseness,-0.796003911140295,0.796003911140295
Complexity,Sufficiency,0.7694008053591703,0.7694008053591703
MaxSensitivity,MonotonicityCorrelation,-0.7394998393485455,0.7394998393485455
Consistency,Sufficiency,0.7391627615151277,0.7391627615151277
AvgSensitivity,MonotonicityCorrelation,-0.7085993446334587,0.7085993446334587
LocalLipschitzEstimate,NonSensitivity,0.6422042372701109,0.6422042372701109
Consistency,Monotonicity,0.599652032905767,0.599652032905767
AvgSensitivity,Faithfulness,0.5257832770903637,0.5257832770903637
AvgSensitivity,LocalLipschitzEstimate,0.5004124484439445,0.5004124484439445
Sparseness,Sufficiency,-0.48919544980873514,0.48919544980873514
MaxSensitivity,NonSensitivity,0.4859700618503364,0.4859700618503364
LocalLipschitzEstimate,MaxSensitivity,0.47572553430821146,0.47572553430821146
Faithfulness,MaxSensitivity,0.47299587551556055,0.47299587551556055
Complexity,Monotonicity,0.459366446246589,0.459366446246589
Consistency,NonSensitivity,0.4587012133075676,0.4587012133075676
Complexity,RelativeOutputStability,-0.426578496388007,0.426578496388007
Monotonicity,Sufficiency,0.4173550667691386,0.4173550667691386
RelativeOutputStability,Sparseness,0.412157727339408,0.412157727339408
Monotonicity,NonSensitivity,0.40768876949876204,0.40768876949876204
Consistency,LocalLipschitzEstimate,0.40610050211799487,0.40610050211799487
LocalLipschitzEstimate,RelativeOutputStability,0.38543074903505165,0.38543074903505165
Consistency,Sparseness,-0.36166948366448265,0.36166948366448265
AvgSensitivity,NonSensitivity,0.3599808358820051,0.3599808358820051
MonotonicityCorrelation,NonSensitivity,-0.34746426396220736,0.34746426396220736
LocalLipschitzEstimate,Monotonicity,0.33193576036493494,0.33193576036493494
RelativeInputStability,Sufficiency,0.32774099660596784,0.32774099660596784
LocalLipschitzEstimate,MonotonicityCorrelation,-0.3269686240910417,0.3269686240910417
AvgSensitivity,RelativeInputStability,0.29561671763506625,0.29561671763506625
Faithfulness,FaithfulnessEstimate,0.28910900557020935,0.28910900557020935
LocalLipschitzEstimate,Sparseness,0.27083390609929864,0.27083390609929864
Consistency,MaxSensitivity,0.26742870122000834,0.26742870122000834
FaithfulnessEstimate,RelativeInputStability,0.26547391084817135,0.26547391084817135
FaithfulnessEstimate,Sufficiency,0.25350465939119116,0.25350465939119116
Complexity,RelativeInputStability,0.2520292672802576,0.2520292672802576
RelativeInputStability,Sparseness,-0.2511146679886985,0.2511146679886985
AvgSensitivity,Consistency,0.2510346045934944,0.2510346045934944
Consistency,Faithfulness,-0.2402185731755911,0.2402185731755911
NonSensitivity,Sparseness,0.23999821545448224,0.23999821545448224
Complexity,FaithfulnessEstimate,0.22801797936130205,0.22801797936130205
LocalLipschitzEstimate,Sufficiency,0.22773060134659595,0.22773060134659595
MaxSensitivity,RelativeInputStability,0.22640448902988558,0.22640448902988558
AvgSensitivity,FaithfulnessEstimate,0.22219122609673791,0.22219122609673791
Faithfulness,Sparseness,-0.2181461466372554,0.2181461466372554
FaithfulnessEstimate,RelativeOutputStability,0.20920276651188308,0.20920276651188308
Faithfulness,Monotonicity,-0.17800789648171625,0.17800789648171625
FaithfulnessEstimate,Sparseness,-0.1705226022996323,0.1705226022996323
FaithfulnessEstimate,Monotonicity,-0.16879065912343966,0.16879065912343966
Faithfulness,MonotonicityCorrelation,-0.16002888041619648,0.16002888041619648
AvgSensitivity,Complexity,0.1584252861624273,0.1584252861624273
NonSensitivity,Sufficiency,0.1579965134856452,0.1579965134856452
AvgSensitivity,Sparseness,-0.15718941654643684,0.15718941654643684
Complexity,NonSensitivity,0.15551803006123177,0.15551803006123177
Faithfulness,LocalLipschitzEstimate,0.15239263999234992,0.15239263999234992
AvgSensitivity,Sufficiency,0.14543134403802185,0.14543134403802185
FaithfulnessEstimate,MaxSensitivity,0.1421132358455193,0.1421132358455193
Monotonicity,Sparseness,-0.1416005423719734,0.1416005423719734
RelativeOutputStability,Sufficiency,0.13583484792624304,0.13583484792624304
LocalLipschitzEstimate,RelativeInputStability,0.13137462250040488,0.13137462250040488
FaithfulnessEstimate,LocalLipschitzEstimate,0.12579269896166198,0.12579269896166198
NonSensitivity,RelativeInputStability,0.11956904193964703,0.11956904193964703
MaxSensitivity,RelativeOutputStability,-0.11663629773310606,0.11663629773310606
Consistency,FaithfulnessEstimate,0.11620710053880932,0.11620710053880932
MonotonicityCorrelation,RelativeOutputStability,0.11452046201650391,0.11452046201650391
Consistency,MonotonicityCorrelation,-0.11244632985790294,0.11244632985790294
Monotonicity,MonotonicityCorrelation,-0.10669411374568179,0.10669411374568179
FaithfulnessEstimate,MonotonicityCorrelation,0.09953731014702549,0.09953731014702549
AvgSensitivity,RelativeOutputStability,0.09271341523148964,0.09271341523148964
Complexity,LocalLipschitzEstimate,0.08295670474701158,0.08295670474701158
MaxSensitivity,Sparseness,-0.07925163896715509,0.07925163896715509
RelativeInputStability,RelativeOutputStability,0.0769956458635704,0.0769956458635704
Complexity,MaxSensitivity,0.07476411240035478,0.07476411240035478
Faithfulness,RelativeOutputStability,0.07070083661513744,0.07070083661513744
MaxSensitivity,Sufficiency,-0.06941804417929258,0.06941804417929258
MonotonicityCorrelation,Sparseness,-0.06230089430955374,0.06230089430955374
Faithfulness,RelativeInputStability,0.04820562653024284,0.04820562653024284
MonotonicityCorrelation,RelativeInputStability,0.037690094759530154,0.037690094759530154
FaithfulnessEstimate,NonSensitivity,0.031167064439726506,0.031167064439726506
Faithfulness,NonSensitivity,-0.026137704158693115,0.026137704158693115
NonSensitivity,RelativeOutputStability,0.020407286979913133,0.020407286979913133
MonotonicityCorrelation,Sufficiency,-0.017680746786563287,0.017680746786563287
Faithfulness,Sufficiency,-0.015307555339303754,0.015307555339303754
Complexity,Faithfulness,0.004588473750812122,0.004588473750812122
Complexity,MonotonicityCorrelation,-0.0037271995943280356,0.0037271995943280356
