metric,factor,H,p_value,significant_0.05
Consistency,dataset_name,458.992420614614,2.143197755747817e-100,True
NonSensitivity,dataset_name,396.0673211753817,9.887214944491588e-87,True
LocalLipschitzEstimate,xai_method,356.3147007080149,4.2388283543163584e-78,True
RelativeInputStability,dataset_name,243.04833514389406,1.6700312799085044e-53,True
Monotonicity,dataset_name,227.56581986143183,3.8433512947074655e-50,True
Complexity,dataset_name,181.3624967697985,4.146046936505602e-40,True
RelativeOutputStability,dataset_name,169.5185983864294,1.5470490035079894e-37,True
Sparseness,dataset_name,158.22611988038818,4.381619104300219e-35,True
Sufficiency,dataset_name,92.69536035545768,7.438035551071376e-21,True
Faithfulness,xai_method,77.8405804172321,1.250641190604582e-17,True
Faithfulness,dataset_name,61.41746602545754,4.60645365709733e-14,True
Sufficiency,xai_method,46.41747640648513,8.328620362327157e-11,True
MaxSensitivity,xai_method,45.267119043240655,1.4803690404080454e-10,True
MaxSensitivity,dataset_name,42.82186143852368,5.02748676770752e-10,True
RelativeInputStability,xai_method,40.248925301370036,1.8199393680242712e-09,True
MonotonicityCorrelation,dataset_name,22.0565831607071,1.6235804822275952e-05,True
AvgSensitivity,xai_method,16.58956953608731,0.0002498162855496794,True
MonotonicityCorrelation,xai_method,16.411942539623706,0.0002730184262019294,True
AvgSensitivity,dataset_name,14.071661662568431,0.0008797869067074623,True
NonSensitivity,xai_method,10.33387701252156,0.005701998758280594,True
RelativeOutputStability,xai_method,9.054662054958499,0.010809487832731023,True
Sparseness,xai_method,6.536925960291194,0.038064888624955884,True
MonotonicityMetric,dataset_name,6.435424354240505,0.04004657300194708,True
LocalLipschitzEstimate,dataset_name,6.347037310212954,0.04185606144636611,True
Complexity,xai_method,6.241798109881792,0.04411748654001706,True
Consistency,xai_method,5.903789013269876,0.05224064189662381,False
FaithfulnessEstimate,xai_method,1.9062058539327609,0.3855428541810397,False
FaithfulnessEstimate,dataset_name,1.68686411235376,0.43023140831547746,False
MonotonicityMetric,xai_method,0.5027675276730853,0.7777238519929026,False
Monotonicity,xai_method,0.08910870853647118,0.9564236129751662,False
