component,explained_variance_ratio,cumulative_variance
PC1,0.19160958464764438,0.19160958464764438
PC2,0.14867662349268465,0.34028620814032906
PC3,0.1103141690005694,0.45060037714089846
PC4,0.08682578725116945,0.5374261643920679
PC5,0.07705896696892353,0.6144851313609915
PC6,0.0675485827072607,0.6820337140682522
PC7,0.06352319170727602,0.7455569057755282
PC8,0.058166884391045615,0.8037237901665739
PC9,0.05574158899262891,0.8594653791592028
PC10,0.04618603895818981,0.9056514181173927
PC11,0.03890791170320492,0.9445593298205976
PC12,0.025832711418707376,0.970392041239305
PC13,0.019904972767579503,0.9902970140068845
PC14,0.00690732772055247,0.997204341727437
PC15,0.0027956582725632765,1.0000000000000002
