,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,-0.46686912908154926,-0.11411444665062911,-0.28717669874215235,-0.2836857205849006,-0.010951730530099957,0.0516663684638092,0.10973881842615424,0.23642382891054786,0.09083088607694301,0.07956914871731131,-0.08275591214730352,-0.08054204546089087,-0.027134113180558608,0.1182732733369312,0.7019209265825475
Complexity,-0.34303259764430527,0.40028839110276704,0.26049588915673916,0.14936531262683891,-0.09606365468299972,0.0007027180749956934,-0.0382421242735801,-0.056482054548133556,0.03776378400712443,-0.225406769832981,0.2201815255072392,-0.0959739737753537,-0.3758710686777695,0.6033296220248952,-0.05326741716780254
Consistency,-0.015528418645979898,0.38690097397169326,-0.34415041271738817,0.018350581800604386,0.2471649685820841,0.1352914766106798,0.03469778565951764,0.018889213647801672,0.014672442962221127,0.37756294063898244,0.6822445395937291,0.1111367723734747,0.00029435906460226934,-0.17117496251280515,-0.021359001019390967
Faithfulness,-0.019968234243680702,-0.3052150816268707,0.4149945490073329,-0.2876554611237406,0.10601820116678894,0.08184539752109052,-0.12906719473050918,0.15983785988573318,0.3933230786605455,-0.2181898602327712,0.4704203486385542,-0.017203040977686546,0.4018768125044613,0.07504918793239267,-0.017187550160992902
FaithfulnessEstimate,-0.013037991727628219,-0.031786919887137076,0.5169400106123011,0.11729658512022224,-0.18330720383867594,0.13038368722724797,0.03416691056267665,0.4490756704882276,-0.09003139273749891,0.6355544428786096,-0.04005107861300776,-0.16512310860485283,-0.1334245037771038,-0.07542663561358946,-0.0005094747984352515
LocalLipschitzEstimate,0.0348629606298872,0.010519398620130155,0.09698249835270144,-0.008808238559974861,0.6659832138774769,-0.281799027311382,0.4534128454167035,0.41412685082830464,-0.11778940406928913,-0.14040845851789796,-0.09809398869681181,0.13476740132274562,-0.0957494965122669,0.09051134109751496,-0.10211907406426819
MaxSensitivity,-0.45512472230206485,-0.1222824541497825,-0.3202499860328337,-0.2654163537954393,-0.10485196164834706,0.06768178907704456,0.030344402089969923,0.18717978794808077,0.142562811644115,0.11356242003964141,-0.13921097564424048,-0.08677333810808789,0.01683087480034938,0.0481638168446926,-0.7004554674615969
Monotonicity,-0.009304455052408204,0.4993076859569728,0.15348952184195191,-0.20474955053186417,-0.2161074939598583,0.04378407326545017,0.07906144505320459,0.10503730521374885,0.25519034144326463,0.018822308392012422,-0.26989135942207076,0.6565698230622783,0.21832412396355183,-0.03961427883550666,0.024174908612816723
MonotonicityCorrelation,0.12875573365530799,-0.03803625816059451,-0.16136438927106683,0.5006328655921627,-0.010522572212545189,-0.016761484480642158,0.2090488710740335,0.06134734052338373,0.7879066807845324,0.036311360781180774,-0.09410652716312076,-0.13033620522069278,-0.09135729935323157,-0.014866253189077586,0.0303429445486826
MonotonicityMetric,-0.019944364442450842,-0.16157689173759215,0.09881005231904101,-0.14682041271385096,-0.3906397453102678,-0.23691681390488534,0.7477072597435114,-0.31592207200600275,-0.04552717741450335,0.06502824510806265,0.2552320290349318,0.029535158553684226,-0.025945746591093815,-0.03386902012456587,-0.020884877361513007
NonSensitivity,0.1170190045250494,0.5190122254495441,0.04710266505907382,-0.2682910227393138,-0.06559985626865086,-0.01152257574750463,0.13830330793203882,0.12363210716696844,0.04155769300892866,-0.2505833835207577,-0.08059293590387616,-0.6472111871847206,0.12310176319122178,-0.3143106634915347,0.006592519170644983
RelativeInputStability,0.13814818709277163,-0.057707206250073646,-0.25047010455933133,0.3123064550749904,-0.4132903557980486,0.18905879547621415,0.11488370797226541,0.5547346416636363,-0.2728147932119354,-0.36987939543993037,0.2006074238430906,0.10165962341439463,0.1562503370132063,0.059131432386641446,-0.010297379072067233
RelativeOutputStability,-0.002635844933197091,-0.05708790914929217,0.09852569272169812,-0.017014818556393214,0.19928181999689817,0.8784399825195882,0.31533849208100667,-0.19258506323732963,-0.03601994942047432,-0.11534351501717817,-0.11904705316621994,0.013844417009662092,-0.09453806895428454,-0.02493889566799021,-0.01774716799659386
Sparseness,0.497404929133059,0.050714090968460676,-0.19823514351764712,-0.22219014145410193,0.003200102073916914,0.06699698048185132,0.07854923207314123,-0.009708314910566862,-0.004146905048438448,0.2929970698849233,-0.09617221190368609,-0.15896789164649916,0.2652755010598912,0.6780039102144299,-0.011956531839372904
Sufficiency,-0.3974150138954206,0.11147936283403469,0.08061932507328746,0.44335409824035427,0.12626962939253988,-0.03142057018700704,0.11835784307660964,-0.17888700783825776,-0.16625225596644616,0.10725607460620525,-0.10154701047148545,-0.12277581183765954,0.7026128144593006,0.07303383298903275,0.01014066055566775
