,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,-0.11124129231830238,0.08320020624694859,-0.37960494866727285,-0.24553252577673823,0.5411156704071308,0.9187981909603506,-0.010455496748850624,0.0699230402026832,0.13406052565487825,0.46826611833755855,-0.23846130409936028,0.37648274679793303,0.2670564769051673,-0.20150894625053897
Complexity,-0.11124129231830238,1.0,-0.11634191001572743,0.03663725442050543,0.1415228544904183,-0.06629837498559639,-0.24962124901178712,0.04355843400642016,0.02073193624256559,-0.08556810857505763,-0.17647842574228423,-0.1672657102660118,-0.7607344199894344,-0.7551629036544506,0.4553082162900084
Consistency,0.08320020624694859,-0.11634191001572743,1.0,-0.347351228631202,-0.05013967661631035,-0.04653606034898255,0.16670785708867242,-0.3523145909734459,0.13123960127844947,-0.2574379147457581,0.08495300964260093,-0.12430636415463493,0.5749507827606765,0.23072734824693047,0.44814096906845113
Faithfulness,-0.37960494866727285,0.03663725442050543,-0.347351228631202,1.0,0.07537303759813031,-0.20297215703504942,-0.3535499238752776,0.08053909991147506,-0.13975915981577264,0.07068669838809108,-0.2752442425603131,0.23298406286811427,-0.26875979162512115,-0.16462000697828558,-0.2218062661592565
FaithfulnessEstimate,-0.24553252577673823,0.1415228544904183,-0.05013967661631035,0.07537303759813031,1.0,-0.12152632547809628,-0.22465713398898465,-0.09500111695089056,-0.09044786402719791,0.03234701735250812,-0.17591107529527056,-0.009013131312843698,-0.18375711521843327,-0.091212226196597,0.13304967432266424
LocalLipschitzEstimate,0.5411156704071308,-0.06629837498559639,-0.04653606034898255,-0.20297215703504942,-0.12152632547809628,1.0,0.5477178217858863,-0.013872286106189635,0.03855981358492151,0.11742501960404289,0.0648619156338563,-0.05239398665200071,0.18402692500113704,-0.04539200609975766,-0.0859547604317168
MaxSensitivity,0.9187981909603506,-0.24962124901178712,0.16670785708867242,-0.3535499238752776,-0.22465713398898465,0.5477178217858863,1.0,-0.04669577324030942,0.06197985559267669,0.14974056805641237,0.3747022064217546,-0.1304964967125448,0.4383436366244389,0.3490281325502075,-0.1646031138243739
Monotonicity,-0.010455496748850624,0.04355843400642016,-0.3523145909734459,0.08053909991147506,-0.09500111695089056,-0.013872286106189635,-0.04669577324030942,1.0,-0.02350815647857028,0.0799596394527059,-0.04508064032859295,-0.19761975668239853,-0.36653643839567684,-0.17524081500395866,-0.008322930322442353
MonotonicityCorrelation,0.0699230402026832,0.02073193624256559,0.13123960127844947,-0.13975915981577264,-0.09044786402719791,0.03855981358492151,0.06197985559267669,-0.02350815647857028,1.0,-0.13932726439941917,0.020111791067786797,-0.029021703328113498,0.23274785573110943,0.012977184701298888,0.1307527815794474
MonotonicityMetric,0.13406052565487825,-0.08556810857505763,-0.2574379147457581,0.07068669838809108,0.03234701735250812,0.11742501960404289,0.14974056805641237,0.0799596394527059,-0.13932726439941917,1.0,0.04677088496659003,0.04789297539834158,-0.17475710350328819,0.0420600335823246,-0.23108795779988184
NonSensitivity,0.46826611833755855,-0.17647842574228423,0.08495300964260093,-0.2752442425603131,-0.17591107529527056,0.0648619156338563,0.3747022064217546,-0.04508064032859295,0.020111791067786797,0.04677088496659003,1.0,-0.34495556167054753,0.32065966430673926,0.6095870679929593,-0.25352514316171343
RelativeInputStability,-0.23846130409936028,-0.1672657102660118,-0.12430636415463493,0.23298406286811427,-0.009013131312843698,-0.05239398665200071,-0.1304964967125448,-0.19761975668239853,-0.029021703328113498,0.04789297539834158,-0.34495556167054753,1.0,0.35347923366948975,-0.11460663151657452,-0.49373478780279806
RelativeOutputStability,0.37648274679793303,-0.7607344199894344,0.5749507827606765,-0.26875979162512115,-0.18375711521843327,0.18402692500113704,0.4383436366244389,-0.36653643839567684,0.23274785573110943,-0.17475710350328819,0.32065966430673926,0.35347923366948975,1.0,0.6892309091736026,-0.43675308357376613
Sparseness,0.2670564769051673,-0.7551629036544506,0.23072734824693047,-0.16462000697828558,-0.091212226196597,-0.04539200609975766,0.3490281325502075,-0.17524081500395866,0.012977184701298888,0.0420600335823246,0.6095870679929593,-0.11460663151657452,0.6892309091736026,1.0,-0.36015540222669606
Sufficiency,-0.20150894625053897,0.4553082162900084,0.44814096906845113,-0.2218062661592565,0.13304967432266424,-0.0859547604317168,-0.1646031138243739,-0.008322930322442353,0.1307527815794474,-0.23108795779988184,-0.25352514316171343,-0.49373478780279806,-0.43675308357376613,-0.36015540222669606,1.0
