,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
Complexity,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
Consistency,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
Faithfulness,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
FaithfulnessEstimate,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
LocalLipschitzEstimate,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
MaxSensitivity,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
Monotonicity,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
MonotonicityCorrelation,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
MonotonicityMetric,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
NonSensitivity,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
RelativeInputStability,577,577,577,577,577,577,577,577,577,577,577,577,570,577,577
RelativeOutputStability,577,577,577,577,577,577,577,577,577,577,577,570,577,577,577
Sparseness,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
Sufficiency,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,577,577,1092,1092
