,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,0.7454566477808721,0.006225502564363433,2.015639682137016e-34,2.061065623210953e-14,1.0546535445882595e-89,0.0,0.016221803892185502,0.0676047144230929,0.00661137433854016,3.857331046676216e-46,2.8988916936033897e-05,1.0111419366993555e-13,6.074019111064333e-12,1.2861014138350382e-05
Complexity,0.7454566477808721,0.0,3.216143201756813e-26,0.06055542145507173,9.25503642462081e-06,0.08988491271215725,6.798028634857005e-07,5.479958033091983e-06,0.10702211753726758,0.0011048860952307886,0.0013141372513210152,2.722429361995869e-32,1.9516977888451994e-100,2.0949374833124543e-157,3.6343573152373377e-12
Consistency,0.006225502564363433,3.216143201756726e-26,0.0,4.469651641167936e-28,0.0012425816237434022,0.011548457724463038,2.6837151457817826e-09,8.522397130653226e-40,5.555788769918772e-05,4.153982797647694e-13,0.00010630916659193036,5.537859034018306e-06,7.471527042240977e-13,1.9195434008965903e-15,4.802880672800492e-66
Faithfulness,2.015639682137016e-34,0.06055542145507173,4.469651641167936e-28,0.0,0.00013359964004072057,9.889235097878522e-11,2.9556813365224914e-29,0.39033469243737945,0.00021538110857286834,0.007878759938566536,3.472622122117468e-16,3.400477556158612e-08,7.271765302822051e-06,2.5758853926203662e-06,2.4778699971457356e-12
FaithfulnessEstimate,2.061065623210953e-14,9.25503642462081e-06,0.0012425816237434022,0.00013359964004072057,0.0,2.4536287630512134e-05,1.583411445358318e-13,0.04979002741671207,0.028609587592883953,0.14379042314587742,1.6980967496440517e-05,0.21982069747441102,3.9689751450812865e-07,0.010713132112928346,0.01762316011462595
LocalLipschitzEstimate,1.0546535445882595e-89,0.08988491271215725,0.011548457724463038,9.889235097878522e-11,2.4536287630512134e-05,0.0,8.357507708295508e-82,0.010697367191127918,0.4306987468757778,0.01755454984209213,2.8933502722005696e-08,0.07821485107951849,0.00020844802999330257,0.006139640017673672,3.576702761615483e-05
MaxSensitivity,0.0,6.798028634857005e-07,2.6837151457817826e-09,2.9556813365224914e-29,1.583411445358318e-13,8.357507708295508e-82,0.0,0.6705703317070382,0.010938942486548791,0.002710509369697355,1.1712253236845542e-19,0.9208836911524902,2.82115857270239e-21,6.787408470515412e-19,0.01895905507926595
Monotonicity,0.016221803892185492,5.479958033091983e-06,8.522397130652655e-40,0.39033469243737934,0.04979002741671207,0.010697367191127918,0.6705703317070382,0.0,0.03305406001431425,0.012203262973893847,2.0551459681230084e-16,0.017775434736864038,0.9834729668758255,0.004521843053821151,2.590096237592643e-06
MonotonicityCorrelation,0.0676047144230929,0.10702211753726758,5.555788769918772e-05,0.00021538110857286888,0.028609587592883953,0.43069874687577797,0.01093894248654881,0.03305406001431425,0.0,0.006504608708326873,0.8406089209305332,0.052406181753705317,4.82046241692657e-06,0.1615451571397458,0.0007639998190628075
MonotonicityMetric,0.00661137433854016,0.0011048860952307886,4.1539827976477327e-13,0.007878759938566536,0.14379042314587742,0.0175545498420921,0.002710509369697355,0.01220326297389387,0.006504608708326873,0.0,0.4772904187286644,0.06344462175088049,0.008845262516200618,0.02719276355085697,1.809024191870374e-13
NonSensitivity,3.857331046676216e-46,0.0013141372513210152,0.00010630916659193036,3.472622122117468e-16,1.698096749644056e-05,2.8933502722005696e-08,1.1712253236845812e-19,2.0551459681230084e-16,0.8406089209305332,0.47729041872866435,0.0,7.404417893328095e-37,2.1710080627649455e-11,7.917418761701828e-60,3.771658543200172e-34
RelativeInputStability,2.8988916936033897e-05,2.722429361995869e-32,5.537859034018306e-06,3.400477556158612e-08,0.21982069747441102,0.07821485107951849,0.9208836911524902,0.017775434736864024,0.052406181753705317,0.06344462175088049,7.404417893327382e-37,0.0,3.718225439724787e-21,0.6062933238484132,3.0507693316115667e-13
RelativeOutputStability,1.0111419366993555e-13,1.9516977888451994e-100,7.471527042240977e-13,7.271765302822051e-06,3.9689751450812865e-07,0.00020844802999330257,2.82115857270239e-21,0.9834729668758255,4.82046241692657e-06,0.008845262516200618,2.1710080627649455e-11,3.718225439724787e-21,0.0,6.924538046926078e-90,2.282032637732884e-18
Sparseness,6.074019111064333e-12,2.0949374833124543e-157,1.9195434008965903e-15,2.5758853926203662e-06,0.010713132112928346,0.006139640017673672,6.787408470515412e-19,0.004521843053821151,0.16154515713974585,0.02719276355085697,7.917418761701828e-60,0.6062933238484132,6.924538046926078e-90,0.0,4.311356633117371e-24
Sufficiency,1.2861014138350382e-05,3.6343573152373373e-12,4.802880672800492e-66,2.4778699971457574e-12,0.01762316011462595,3.576702761615483e-05,0.018959055079265947,2.5900962375926586e-06,0.0007639998190628092,1.809024191870374e-13,3.771658543200172e-34,3.0507693316115667e-13,2.282032637732884e-18,4.311356633117371e-24,0.0
