metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9185692882228256,0.0,1022,0.9185692882228256,True
Complexity,RelativeOutputStability,-0.7477927658848627,1.9516977888452e-100,555,0.7477927658848627,True
RelativeOutputStability,Sparseness,0.7202632859075214,6.9245380469260785e-90,555,0.7202632859075214,True
Complexity,Sparseness,-0.6935205757944912,2.094937483312454e-157,1092,0.6935205757944912,True
AvgSensitivity,LocalLipschitzEstimate,0.571584385929017,1.0546535445882599e-89,1022,0.571584385929017,True
LocalLipschitzEstimate,MaxSensitivity,0.5498333314325624,8.357507708295513e-82,1022,0.5498333314325624,True
NonSensitivity,RelativeInputStability,-0.5025613584110007,7.40441789332786e-37,555,0.5025613584110007,True
Consistency,Sufficiency,0.48678965842370303,4.802880672800492e-66,1092,0.48678965842370303,True
Complexity,RelativeInputStability,-0.4730447118546747,2.72242936199587e-32,555,0.4730447118546747,True
NonSensitivity,Sparseness,0.4655317902386297,7.91741876170183e-60,1092,0.4655317902386297,True
AvgSensitivity,NonSensitivity,0.4252474598829786,3.8573310466762176e-46,1022,0.4252474598829786,True
RelativeInputStability,RelativeOutputStability,0.3882291294551627,3.718225439724788e-21,548,0.3882291294551627,True
MaxSensitivity,RelativeOutputStability,0.3870441123927865,2.821158572702391e-21,555,0.3870441123927865,True
Consistency,Monotonicity,-0.384497021892917,8.522397130653226e-40,1092,0.384497021892917,True
AvgSensitivity,Faithfulness,-0.3695466294916722,2.0156396821370167e-34,1022,0.3695466294916722,True
RelativeOutputStability,Sufficiency,-0.3594315324516336,2.2820326377328848e-18,555,0.3594315324516336,True
NonSensitivity,Sufficiency,-0.3569088647535668,3.771658543200173e-34,1092,0.3569088647535668,True
Faithfulness,MaxSensitivity,-0.3410649686436597,2.955681336522493e-29,1022,0.3410649686436597,True
Consistency,Faithfulness,-0.3238197382496225,4.4696516411679365e-28,1092,0.3238197382496225,True
Complexity,Consistency,-0.3128330444458988,3.216143201756813e-26,1092,0.3128330444458988,True
AvgSensitivity,RelativeOutputStability,0.3087358584202986,1.0111419366993559e-13,555,0.3087358584202986,True
RelativeInputStability,Sufficiency,-0.3029153222796074,3.050769331611568e-13,555,0.3029153222796074,True
Sparseness,Sufficiency,-0.29965062506388535,4.3113566331173714e-24,1092,0.29965062506388535,True
Consistency,RelativeOutputStability,0.2980966725909701,7.471527042240979e-13,555,0.2980966725909701,True
NonSensitivity,RelativeOutputStability,0.2791091984887231,2.1710080627649465e-11,555,0.2791091984887231,True
MaxSensitivity,NonSensitivity,0.27847824593031256,1.1712253236845547e-19,1022,0.27847824593031256,True
MaxSensitivity,Sparseness,0.2727697997829479,6.787408470515416e-19,1022,0.2727697997829479,True
Monotonicity,NonSensitivity,0.24518763432716575,2.055145968123009e-16,1092,0.24518763432716575,True
Faithfulness,NonSensitivity,-0.2433607238670057,3.4726221221174687e-16,1092,0.2433607238670057,True
Consistency,Sparseness,0.23729899173962982,1.9195434008965907e-15,1092,0.23729899173962982,True
AvgSensitivity,FaithfulnessEstimate,-0.23609451418350097,2.061065623210954e-14,1022,0.23609451418350097,True
Faithfulness,RelativeInputStability,0.2316168413693282,3.4004775561586136e-08,555,0.2316168413693282,True
FaithfulnessEstimate,MaxSensitivity,-0.2280790016895652,1.5834114453583187e-13,1022,0.2280790016895652,True
MonotonicityMetric,Sufficiency,-0.2203000216300341,1.8090241918703745e-13,1092,0.2203000216300341,True
Consistency,MonotonicityMetric,-0.21703665140567005,4.1539827976476944e-13,1092,0.21703665140567005,True
FaithfulnessEstimate,RelativeOutputStability,-0.21322887440852276,3.9689751450812876e-07,555,0.21322887440852276,True
AvgSensitivity,Sparseness,0.212933288151756,6.0740191110643354e-12,1022,0.212933288151756,True
Faithfulness,Sufficiency,-0.20984322516327295,2.4778699971457356e-12,1092,0.20984322516327295,True
Complexity,Sufficiency,0.20826620662528536,3.634357315237338e-12,1092,0.20826620662528536,True
Faithfulness,LocalLipschitzEstimate,-0.1941074256198499,9.889235097878522e-11,1092,0.1941074256198499,True
MonotonicityCorrelation,RelativeOutputStability,0.19270227722237596,4.820462416926573e-06,555,0.19270227722237596,True
Consistency,RelativeInputStability,-0.1914967894492724,5.537859034018309e-06,555,0.1914967894492724,True
Faithfulness,RelativeOutputStability,-0.1891077634526197,7.271765302822054e-06,555,0.1891077634526197,True
Consistency,MaxSensitivity,0.18473689975871696,2.683715145781784e-09,1022,0.18473689975871696,True
AvgSensitivity,RelativeInputStability,-0.17648775700875538,2.8988916936033908e-05,555,0.17648775700875538,True
LocalLipschitzEstimate,NonSensitivity,0.1668955304977169,2.89335027220057e-08,1092,0.1668955304977169,True
LocalLipschitzEstimate,RelativeOutputStability,0.15679803118184543,0.00020844802999330268,555,0.15679803118184543,True
Complexity,MaxSensitivity,-0.15462589565725524,6.798028634857007e-07,1022,0.15462589565725524,True
Faithfulness,Sparseness,-0.1417333261096967,2.5758853926203666e-06,1092,0.1417333261096967,True
Monotonicity,Sufficiency,-0.1416998116591985,2.5900962375926433e-06,1092,0.1416998116591985,True
Complexity,Monotonicity,0.1370610552145253,5.479958033091985e-06,1092,0.1370610552145253,True
AvgSensitivity,Sufficiency,-0.13599211085933494,1.286101413835039e-05,1022,0.13599211085933494,True
Complexity,FaithfulnessEstimate,0.13372553969536852,9.25503642462081e-06,1092,0.13372553969536852,True
FaithfulnessEstimate,NonSensitivity,-0.12976077803700423,1.698096749644052e-05,1092,0.12976077803700423,True
FaithfulnessEstimate,LocalLipschitzEstimate,-0.12729950116267344,2.453628763051214e-05,1092,0.12729950116267344,True
LocalLipschitzEstimate,Sufficiency,-0.12473191536839733,3.5767027616154845e-05,1092,0.12473191536839733,True
Consistency,MonotonicityCorrelation,0.12166725001035619,5.555788769918773e-05,1092,0.12166725001035619,True
Consistency,NonSensitivity,-0.11701555857295638,0.00010630916659193036,1092,0.11701555857295638,True
Faithfulness,FaithfulnessEstimate,0.11533634056680893,0.0001335996400407206,1092,0.11533634056680893,True
Faithfulness,MonotonicityCorrelation,-0.11175195542653746,0.00021538110857286836,1092,0.11175195542653746,True
MonotonicityMetric,RelativeOutputStability,-0.11103349592535988,0.00884526251620062,555,0.11103349592535988,True
MonotonicityCorrelation,Sufficiency,0.10169754238940534,0.0007639998190628076,1092,0.10169754238940534,True
Monotonicity,RelativeInputStability,-0.10058356893662425,0.017775434736864045,555,0.10058356893662425,True
Complexity,MonotonicityMetric,-0.09859580687404723,0.0011048860952307886,1092,0.09859580687404723,True
Consistency,FaithfulnessEstimate,-0.09759005299087875,0.0012425816237434024,1092,0.09759005299087875,True
Complexity,NonSensitivity,0.09710736225785321,0.0013141372513210154,1092,0.09710736225785321,True
MaxSensitivity,MonotonicityMetric,0.09371213797738277,0.0027105093696973563,1022,0.09371213797738277,True
Monotonicity,Sparseness,-0.08585952051928931,0.004521843053821151,1092,0.08585952051928931,True
AvgSensitivity,Consistency,0.08552087518672347,0.006225502564363435,1022,0.08552087518672347,True
AvgSensitivity,MonotonicityMetric,0.08490255386299789,0.006611374338540163,1022,0.08490255386299789,True
LocalLipschitzEstimate,Sparseness,-0.08287533385167442,0.0061396400176736724,1092,0.08287533385167442,True
MonotonicityCorrelation,RelativeInputStability,0.08238489372598813,0.05240618175370534,555,0.08238489372598813,False
MonotonicityCorrelation,MonotonicityMetric,-0.08230167794723751,0.006504608708326875,1092,0.08230167794723751,True
Faithfulness,MonotonicityMetric,0.08037312261186642,0.007878759938566536,1092,0.08037312261186642,True
MaxSensitivity,MonotonicityCorrelation,0.07956901587364325,0.010938942486548796,1022,0.07956901587364325,True
MonotonicityMetric,RelativeInputStability,0.07884055641356401,0.0634446217508805,555,0.07884055641356401,False
LocalLipschitzEstimate,Monotonicity,0.07721321554651078,0.01069736719112792,1092,0.07721321554651078,True
FaithfulnessEstimate,Sparseness,-0.07719774160661634,0.010713132112928347,1092,0.07719774160661634,True
Consistency,LocalLipschitzEstimate,-0.07640539846331659,0.01154845772446304,1092,0.07640539846331659,True
Monotonicity,MonotonicityMetric,0.07581905664419737,0.012203262973893852,1092,0.07581905664419737,True
AvgSensitivity,Monotonicity,0.07518049272563711,0.016221803892185513,1022,0.07518049272563711,True
LocalLipschitzEstimate,RelativeInputStability,-0.07482007369029159,0.07821485107951852,555,0.07482007369029159,False
MaxSensitivity,Sufficiency,-0.07338550888562163,0.01895905507926596,1022,0.07338550888562163,True
LocalLipschitzEstimate,MonotonicityMetric,0.07185658619853268,0.017554549842092138,1092,0.07185658619853268,True
FaithfulnessEstimate,Sufficiency,0.07181312198476425,0.017623160114625953,1092,0.07181312198476425,True
MonotonicityMetric,Sparseness,0.06684129253290279,0.02719276355085697,1092,0.06684129253290279,True
FaithfulnessEstimate,MonotonicityCorrelation,-0.0662399549723919,0.028609587592883956,1092,0.0662399549723919,True
Monotonicity,MonotonicityCorrelation,0.06450658048989658,0.033054060014314254,1092,0.06450658048989658,True
FaithfulnessEstimate,Monotonicity,-0.059381281627404185,0.04979002741671208,1092,0.059381281627404185,True
AvgSensitivity,MonotonicityCorrelation,0.057192567084165494,0.06760471442309295,1022,0.057192567084165494,False
Complexity,Faithfulness,0.05681155836171128,0.06055542145507174,1092,0.05681155836171128,False
FaithfulnessEstimate,RelativeInputStability,-0.052165608717046265,0.21982069747441108,555,0.052165608717046265,False
Complexity,LocalLipschitzEstimate,0.05134839901453205,0.08988491271215725,1092,0.05134839901453205,False
Complexity,MonotonicityCorrelation,-0.048799802782499256,0.10702211753726758,1092,0.048799802782499256,False
FaithfulnessEstimate,MonotonicityMetric,0.04426571188168474,0.14379042314587745,1092,0.04426571188168474,False
MonotonicityCorrelation,Sparseness,0.04239221758980807,0.16154515713974582,1092,0.04239221758980807,False
Faithfulness,Monotonicity,-0.026020241549267645,0.3903346924373795,1092,0.026020241549267645,False
LocalLipschitzEstimate,MonotonicityCorrelation,0.023869799613653094,0.430698746875778,1092,0.023869799613653094,False
RelativeInputStability,Sparseness,0.021923107430730213,0.6062933238484132,555,0.021923107430730213,False
MonotonicityMetric,NonSensitivity,0.0215279347876543,0.4772904187286644,1092,0.0215279347876543,False
MaxSensitivity,Monotonicity,0.01332138068841019,0.670570331707038,1022,0.01332138068841019,False
AvgSensitivity,Complexity,0.010166973440223695,0.7454566477808721,1022,0.010166973440223695,False
MonotonicityCorrelation,NonSensitivity,0.006092928097298717,0.8406089209305332,1092,0.006092928097298717,False
MaxSensitivity,RelativeInputStability,-0.004225434171152687,0.9208836911524901,555,0.004225434171152687,False
Monotonicity,RelativeOutputStability,-0.0008812914991017449,0.9834729668758255,555,0.0008812914991017449,False
