metric,factor,H,p_value,significant_0.05
NonSensitivity,dataset_name,544.4415750172457,5.970547057739785e-119,True
Sufficiency,dataset_name,500.42205666584226,2.161379777048299e-109,True
Monotonicity,model_name,515.8158073270006,3.076839121202885e-109,True
Consistency,model_name,498.3165060445996,1.843462230569766e-105,True
Sparseness,dataset_name,461.15416291935617,7.271866020781621e-101,True
Sparseness,model_name,405.03901379304307,2.4331700687928413e-85,True
Complexity,dataset_name,327.3555706385705,8.234571895353925e-72,True
Complexity,model_name,333.4161288525611,6.498423788962289e-70,True
RelativeInputStability,dataset_name,231.3056238137831,5.924094425753594e-51,True
RelativeOutputStability,dataset_name,191.48563670511544,2.626771572549936e-42,True
RelativeOutputStability,model_name,178.7452634614874,9.917410018560834e-37,True
AvgSensitivity,dataset_name,158.36550583868984,4.0866490679106977e-35,True
Faithfulness,model_name,143.27938757182847,3.5927900264859355e-29,True
NonSensitivity,model_name,126.1329209175752,1.5737422390827533e-25,True
MaxSensitivity,dataset_name,108.74637085134464,2.4323474167529268e-24,True
Faithfulness,dataset_name,69.05986079336526,1.0088852396950161e-15,True
RelativeInputStability,model_name,68.80653873906408,1.8151292521755612e-13,True
LocalLipschitzEstimate,model_name,63.522241820764066,2.269199202443155e-12,True
Consistency,dataset_name,47.66223978852768,4.469676920278221e-11,True
Monotonicity,dataset_name,47.20159384893841,5.6273525876917744e-11,True
MonotonicityCorrelation,model_name,53.827655110123466,2.273907016204477e-10,True
Sufficiency,model_name,51.981310339634376,5.442603766908659e-10,True
MonotonicityMetric,model_name,51.87022534484504,5.735713887854669e-10,True
MonotonicityMetric,dataset_name,41.078547665792385,1.2020062118765704e-09,True
AvgSensitivity,model_name,43.27231474987457,3.25399936257694e-08,True
LocalLipschitzEstimate,dataset_name,34.18351762599241,3.776969358176301e-08,True
MaxSensitivity,model_name,42.54782902520856,4.5628743415415926e-08,True
FaithfulnessEstimate,dataset_name,28.34207573303729,7.008038059188873e-07,True
FaithfulnessEstimate,model_name,27.882247038312016,3.837955521499814e-05,True
MonotonicityCorrelation,dataset_name,18.799467331830815,8.274610072913456e-05,True
