component,explained_variance_ratio,cumulative_variance
PC1,0.23406200675216007,0.23406200675216007
PC2,0.12991239601002696,0.36397440276218707
PC3,0.1045754398487318,0.46854984261091887
PC4,0.08268243268302626,0.5512322752939451
PC5,0.06938150279457352,0.6206137780885187
PC6,0.06436147093898378,0.6849752490275025
PC7,0.06206555775984385,0.7470408067873464
PC8,0.059954434214358594,0.806995241001705
PC9,0.053348383077653494,0.8603436240793585
PC10,0.04671199960820917,0.9070556236875676
PC11,0.04518417032136862,0.9522397940089362
PC12,0.02415392012126685,0.976393714130203
PC13,0.015616505582862242,0.9920102197130652
PC14,0.0063197114676391605,0.9983299311807045
PC15,0.0016700688192952372,0.9999999999999997
