,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,0.4118486101503364,-0.23158925968432464,0.3239213892393986,-0.14488333276101492,-0.09955772363657035,0.09393493352415849,0.0013075515180062391,0.1293983006635493,0.03926807351324748,-0.3112927510991343,0.008717374082079442,0.03547800225093304,-0.09700608653402083,0.07266827030607503,0.7077280908280195
Complexity,-0.2930876222129525,0.06551067536598515,0.5737776809452089,0.05829854042587776,0.04511376547201469,0.03413263497486599,0.13830957558743606,0.1029157686833783,-0.10689435706499399,-0.09061586234382178,-0.3285242753711704,-0.03372779614891511,0.21217012763587662,0.5933455074519447,-0.13597246525470674
Consistency,0.3607547045640393,0.42672824765490064,-0.08129073913347727,-0.08610401432099273,-0.02092859623113022,0.05514245804128847,0.01626837975065237,-0.08603925035933212,0.1554755914561302,0.027720771185551215,0.026749502598190547,0.41986862088481514,0.6754400977895018,0.062388515343081465,0.023084685416020226
Faithfulness,-0.32109390806948584,-0.3926728694867473,-0.07203855471457403,-0.23226234684080627,-0.09032743868205206,0.0767456857597004,0.025320465028639754,-0.14680958170568628,-0.14876121328705302,-0.053069247742177125,-0.06326340439394704,0.7806220826318367,-0.09300260490833469,0.0026407136560069873,-0.01877357722994504
FaithfulnessEstimate,-0.2087303815587105,0.20681854145633485,-0.14329922263232842,-0.0016591958011893495,0.3007162725235725,-0.09520442984316599,-0.2865360084345938,0.549299146194297,-0.241300217368214,-0.5428378996704674,0.1884733701260083,0.10222316286362229,0.07136887302843327,-0.0761315602254824,-0.005797019237619682
LocalLipschitzEstimate,0.19563766329203078,-0.12736007641857006,0.30190214452814634,-0.20686104675930733,0.3016359242785516,-0.14678167331577843,-0.2688892200142858,0.3497010226248068,-0.10125042299922957,0.6326453730364887,0.2511401910518998,0.14320259500766983,-0.045479654559087604,0.05115114873946114,-0.0754491606385418
MaxSensitivity,0.41468145270101,-0.19704057840327155,0.23669771196452738,-0.21235015191447196,-0.21759487401760877,0.10561012103431057,0.02535271718098104,0.07899862156916322,0.08315043080772568,-0.3585312811318014,0.107965490561117,-0.015263329988051558,-0.06804464786723692,-0.10257406333665724,-0.6783890015163258
Monotonicity,-0.04585023791099612,-0.22471874368602074,0.023251218481749585,0.5853555353036036,-0.3577944305423669,-0.07939229251815196,0.26637681603638486,0.21150463018544266,-0.05848115167052827,0.05613490539198416,0.5440316606676979,0.09987078913614088,0.17765244073513983,0.09971101632260722,0.013720101580997594
MonotonicityCorrelation,0.19779563531138128,0.13669496261701447,-0.19389545790636634,-0.10191253781044408,-0.3753663452932823,-0.02155053778847844,0.27600458178975934,0.36587990473722953,-0.5909311176251554,0.18248794148385397,-0.3863353617435365,-0.014966498896133463,-0.036236789251567626,-0.09742243084353801,0.0037589700409761777
MonotonicityMetric,-0.16847628478016122,-0.15112609005544797,-0.17235867914106012,-0.13237227680121588,-0.3575122883515138,-0.2898784176406963,-0.15776557092494897,0.44158652788030944,0.6136196128851784,0.06832296692742665,-0.27719907240053515,-0.015146779159316077,0.09125644281680927,0.05467509911174306,0.015186491213194672
NonSensitivity,0.21070408782387207,-0.15887612929722422,0.17496672130610266,0.5888944293641415,0.286524422145657,-0.161177701186848,-0.04618824293749776,0.04436304219318997,0.06649108028657719,-0.031575483594285476,-0.4830971073747787,0.22959755283188593,0.012502866863824097,-0.38100582599921784,-0.0627578186501869
RelativeInputStability,-0.03519695235233198,-0.06161560397611627,-0.14085388678732283,0.1239553975561491,0.13034521680979846,0.88216177647011,0.03371208924453953,0.32050566077871306,0.18780679812204742,0.13961839111542804,-0.07174256398143018,0.0026483721486304803,-0.0191975875020978,0.007456325301798763,-0.01890589457686302
RelativeOutputStability,0.0302718168343501,-0.08774233411731822,-0.12985764475129366,-0.20541732503772822,0.45924593181808565,-0.18617758353841712,0.7834453408058676,0.16305311158523783,0.2022502594243851,-0.04474620947004137,0.05300010877412373,0.008758297378933017,-0.02342185519648412,0.0016719552643679836,-0.006268023133490092
Sparseness,0.3752646896413742,-0.08418438051386709,-0.450452998082352,0.1995818262904693,0.13676145008680182,-0.09774866539263471,-0.14564839590969245,-0.04068443874103442,-0.01962958914372761,-0.05949611389047454,-0.08074893354231741,0.10048370468608689,-0.27663485748268735,0.6723955373434846,-0.09505968014270084
Sufficiency,-0.021149803673160317,0.6100158545846218,0.21973467063452956,0.10781052056888962,-0.1589512338891352,-0.010805348524729334,0.12091682998914167,0.08314448431090193,0.23495960063055918,0.026261153223269475,0.08428441122162657,0.3277657648219359,-0.5917020594033313,-0.008053852261054905,-0.0021590457271343628
