,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,36090376.56346324,311810882.5034582,4.303410428160123,4127215257.37396,4127215253.0705495,462,56.896551724137936,350
RelativeInputStability,892.2257640328007,6534.081672720336,2.5115565234290948e-05,108355.94547696887,108355.9454518533,464,57.14285714285714,348
LocalLipschitzEstimate,9.299008019509508,3.531233635071933,1.652432489856055,31.374282895856595,29.72185040600054,0,0.0,812
NonSensitivity,3.7561576354679804,2.6912011747612947,0.0,12.0,12.0,0,0.0,13
MaxSensitivity,1.8235732020044761,0.9227791367391397,0.2095963947857095,6.187911413544574,5.978315018758865,70,8.620689655172415,742
AvgSensitivity,1.08254323985815,0.5907125057065229,0.0957026960939979,3.8368298769197855,3.7411271808257878,70,8.620689655172415,742
Complexity,1.7085027908987864,0.5703903727715652,0.3191206453337963,2.754321182312608,2.4352005369788117,0,0.0,812
Faithfulness,-0.20103883577808795,0.5148998939761589,-0.9996625911190896,0.9870268411341564,1.986689432253246,0,0.0,812
FaithfulnessEstimate,-0.08605554557490049,0.4858881231557412,-0.9985975197863644,0.9984113790654228,1.9970088988517871,0,0.0,812
Sufficiency,0.5340564429919644,0.43126230432765744,0.0,1.0,1.0,0,0.0,214
MonotonicityCorrelation,0.22587803438163861,0.34147721414001864,-0.8571428571428573,0.9642857142857144,1.8214285714285716,0,0.0,417
Monotonicity,0.9076354679802956,0.2897183038042531,0.0,1.0,1.0,0,0.0,2
Consistency,0.7622327876826351,0.2574173801639449,0.0158730158727639,0.999999999984127,0.9841269841113631,0,0.0,25
MonotonicityMetric,0.059113300492610835,0.2359819884251829,0.0,1.0,1.0,0,0.0,2
Sparseness,0.5144050849682376,0.21408100221575663,0.0859671542451644,0.8794475703271419,0.7934804160819775,0,0.0,812
