,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.1277571142061778,0.16732224360677175,0.06090518506049994,0.09115367338522255,0.4075924149426988,0.8832458270024383,0.030611135574045677,-0.078966775739511,0.12386397407078353,0.10470595625697635,0.38038595277400283,0.544027316930727,-0.058215528298221214,0.2364445484087082
Complexity,0.1277571142061778,1.0,-0.2917856319345872,-0.03635709598496697,-0.003630283026317899,-0.09243951769053024,0.05438328801472198,-0.0044247727548178935,-0.18482650387401506,0.062140100684051645,0.2625566924875647,-0.18785025356187357,-0.15347696710206574,-0.5665116999292543,-0.032652344588974695
Consistency,0.16732224360677175,-0.2917856319345872,1.0,-0.03197716398540425,0.014175935534178568,-0.01928722228930052,0.13547132571561002,-0.3491480681683175,0.07483490473512189,-0.1891628939606356,0.08559503917346191,-0.1091428693096665,0.3773847961380599,0.3863947612120073,0.17033371044691703
Faithfulness,0.06090518506049994,-0.03635709598496697,-0.03197716398540425,1.0,0.11330286311254592,-0.04349439956486894,0.05417822553865707,-0.0067913865434222065,0.09513952197368705,0.13953036066962235,0.05993607719977046,-0.0977835457121366,0.04348785693379483,0.03624095812788071,0.023068456034066154
FaithfulnessEstimate,0.09115367338522255,-0.003630283026317899,0.014175935534178568,0.11330286311254592,1.0,0.0912999156692741,0.08372505684966575,0.14017630740619177,0.06157179838420359,0.06689277179391123,0.08936229427018005,-0.03695910753210019,0.10399878450979519,0.048605566315494,-0.003337539595838094
LocalLipschitzEstimate,0.4075924149426988,-0.09243951769053024,-0.01928722228930052,-0.04349439956486894,0.0912999156692741,1.0,0.31472738950166457,-0.05175995614608469,0.04973483573780362,0.12387842643343108,-0.21091435842050757,0.3773927085707823,0.19284436242595346,-0.17165216461035945,0.1780598991256197
MaxSensitivity,0.8832458270024383,0.05438328801472198,0.13547132571561002,0.05417822553865707,0.08372505684966575,0.31472738950166457,1.0,0.1229910851959464,-0.06310446406902871,0.12685561349534105,0.0848945574376601,0.32385508740855345,0.48629759281656537,-0.03463315760219815,0.15391602759729142
Monotonicity,0.030611135574045677,-0.0044247727548178935,-0.3491480681683175,-0.0067913865434222065,0.14017630740619177,-0.05175995614608469,0.1229910851959464,1.0,-0.08675984795413443,0.08660313286587162,0.3016624745363744,-0.09867513194806674,-0.00011614730824090559,0.08726147979835164,-0.2390760673943735
MonotonicityCorrelation,-0.078966775739511,-0.18482650387401506,0.07483490473512189,0.09513952197368705,0.06157179838420359,0.04973483573780362,-0.06310446406902871,-0.08675984795413443,1.0,-0.12226280312959674,-0.16325694665219886,0.01638903251262926,0.05717263647497087,0.0378291115338956,0.06856898087884124
MonotonicityMetric,0.12386397407078353,0.062140100684051645,-0.1891628939606356,0.13953036066962235,0.06689277179391123,0.12387842643343108,0.12685561349534105,0.08660313286587162,-0.12226280312959674,1.0,0.0038317804914673433,-0.01634791315454246,0.005567244610062075,-0.0586549274871253,-0.012720307123867045
NonSensitivity,0.10470595625697635,0.2625566924875647,0.08559503917346191,0.05993607719977046,0.08936229427018005,-0.21091435842050757,0.0848945574376601,0.3016624745363744,-0.16325694665219886,0.0038317804914673433,1.0,-0.5613682279089743,0.049273515767919954,0.3621921452077217,-0.37854580306565033
RelativeInputStability,0.38038595277400283,-0.18785025356187357,-0.1091428693096665,-0.0977835457121366,-0.03695910753210019,0.3773927085707823,0.32385508740855345,-0.09867513194806674,0.01638903251262926,-0.01634791315454246,-0.5613682279089743,1.0,0.532108520891577,-0.2190748478487782,0.6059803431015734
RelativeOutputStability,0.544027316930727,-0.15347696710206574,0.3773847961380599,0.04348785693379483,0.10399878450979519,0.19284436242595346,0.48629759281656537,-0.00011614730824090559,0.05717263647497087,0.005567244610062075,0.049273515767919954,0.532108520891577,1.0,0.24461485912747333,0.45875105241578257
Sparseness,-0.058215528298221214,-0.5665116999292543,0.3863947612120073,0.03624095812788071,0.048605566315494,-0.17165216461035945,-0.03463315760219815,0.08726147979835164,0.0378291115338956,-0.0586549274871253,0.3621921452077217,-0.2190748478487782,0.24461485912747333,1.0,-0.3289552439383469
Sufficiency,0.2364445484087082,-0.032652344588974695,0.17033371044691703,0.023068456034066154,-0.003337539595838094,0.1780598991256197,0.15391602759729142,-0.2390760673943735,0.06856898087884124,-0.012720307123867045,-0.37854580306565033,0.6059803431015734,0.45875105241578257,-0.3289552439383469,1.0
