,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,3.8123286200284065e-06,1.485799369720972e-07,0.04912729552532938,0.005567098952600508,7.364742099509303e-41,0.0,0.3328310214979101,0.006942601826908264,4.681756031380317e-05,0.0021608632283056013,8.503308018373741e-20,1.3292709064994947e-40,0.041063867135537065,2.0007546992270495e-13
Complexity,3.8123286200283823e-06,0.0,5.9008971286507574e-24,0.23589244055761255,0.8012094898508538,0.00016985721575039095,0.0027794646234810382,0.908998139474269,2.0132225547695397e-09,0.06540446842435706,8.982657609270612e-20,1.5504870609478107e-07,1.413349057745973e-05,1.858655158147854e-80,0.15651477841213446
Consistency,1.4857993697209819e-07,5.9008971286507574e-24,0.0,0.3056598393750565,0.681607662909079,0.1006770758883279,0.00025050049481818845,1.678155752484988e-33,0.032454935048138005,1.6902992320708667e-08,0.8045942152485857,0.5169551124301166,3.11118513816538e-25,2.330298433251648e-25,8.283501122588993e-13
Faithfulness,0.04912729552532938,0.23589244055761255,0.3056598393750565,0.0,0.00016720544206653615,0.11197290614885072,0.10740021404924108,0.8648148567330405,0.0017428458549044326,4.2015998181041526e-06,0.07145486211098315,0.04169321707229949,0.4420444952269396,0.2657106488052457,0.49010172823347314
FaithfulnessEstimate,0.005567098952600508,0.8012094898508537,0.681607662909079,0.00016720544206653615,0.0,0.004138218706789174,0.009931433184235757,7.660613949571505e-06,0.03984883551135555,0.02471641962612099,0.010217066046110604,0.46151971769922845,0.012504869706871086,0.16832953287535318,0.9775463756145296
LocalLipschitzEstimate,7.364742099509303e-41,0.00016985721575039139,0.1006770758883279,0.11197290614885057,0.004138218706789174,0.0,1.4615695539644505e-21,0.012723589524495956,0.24923079544407908,1.3678880362046994e-05,3.648022231215916e-19,9.055811152453153e-24,4.5042641241483505e-08,9.448116830656573e-13,1.2929786623314516e-13
MaxSensitivity,0.0,0.0027794646234810382,0.00025050049481818845,0.10740021404924108,0.009931433184235757,1.4615695539644505e-21,0.0,3.684131611515849e-05,0.032242106091385725,6.062339205337214e-05,0.001331026170978799,7.158387116309743e-13,7.519114478941089e-29,0.3573843359428428,4.5709399853811654e-05
Monotonicity,0.33283102149790994,0.908998139474269,1.6781557524849364e-33,0.8648148567330405,7.660613949571525e-06,0.012723589524495956,3.684131611515849e-05,0.0,0.006802308248083969,0.008419935999889227,4.6946897579914574e-26,0.005209386594349231,0.6406258832834509,0.0002910999022370305,4.129028155761622e-17
MonotonicityCorrelation,0.006942601826908264,2.0132225547695397e-09,0.032454935048138026,0.0017428458549044361,0.03984883551135555,0.24923079544407908,0.032242106091385725,0.006802308248083969,0.0,5.4329955315966905e-05,9.380146006478131e-06,0.8471316140141472,0.3400142487916955,0.11283602423536258,0.08132851534972958
MonotonicityMetric,4.681756031380317e-05,0.06540446842435706,1.6902992320708614e-08,4.20159981810414e-06,0.02471641962612099,1.3678880362046951e-05,6.062339205337214e-05,0.008419935999889211,5.4329955315966905e-05,0.0,0.6236749075322093,0.8450840397722897,0.8338879396454983,0.011247452600580637,0.6830446985093155
NonSensitivity,0.0021608632283056013,8.982657609270612e-20,0.8045942152485857,0.07145486211098317,0.010217066046110604,3.648022231215916e-19,0.001331026170978799,4.6946897579914574e-26,9.380146006478158e-06,0.6236749075322093,0.0,1.8241073371945073e-54,0.9988218948526499,1.5165083664740776e-47,3.955098026935233e-52
RelativeInputStability,8.503308018373741e-20,1.5504870609478107e-07,0.5169551124301166,0.04169321707229949,0.46151971769922845,9.055811152453153e-24,7.158387116309743e-13,0.005209386594349231,0.8471316140141472,0.8450840397722897,1.824107337194419e-54,0.0,8.426799783333881e-47,1.3116475300958246e-09,5.3804442721509895e-65
RelativeOutputStability,1.3292709064994947e-40,1.413349057745973e-05,3.11118513816538e-25,0.4420444952269396,0.012504869706871086,4.5042641241483505e-08,7.519114478941089e-29,0.6406258832834509,0.3400142487916955,0.8338879396454983,0.9988218948526499,8.426799783333881e-47,0.0,2.044473152246973e-07,1.60804786678585e-33
Sparseness,0.041063867135537065,1.858655158147854e-80,2.330298433251648e-25,0.26571064880524553,0.16832953287535318,9.448116830656399e-13,0.35738433594284275,0.0002910999022370305,0.11283602423536258,0.011247452600580637,1.5165083664740776e-47,1.3116475300958246e-09,2.044473152246973e-07,0.0,2.158538957415771e-41
Sufficiency,2.0007546992270495e-13,0.1565147784121344,8.283501122588993e-13,0.49010172823347314,0.9775463756145296,1.2929786623314516e-13,4.5709399853811654e-05,4.129028155761622e-17,0.08132851534972968,0.6830446985093155,3.955098026935383e-52,5.380444272150706e-65,1.60804786678585e-33,2.158538957415771e-41,0.0
