metric_1,metric_2,spearman_corr,abs_corr
AvgSensitivity,MaxSensitivity,0.8431083200222224,0.8431083200222224
AvgSensitivity,RelativeOutputStability,0.6585200913329121,0.6585200913329121
RelativeOutputStability,Sufficiency,0.597319623282208,0.597319623282208
Consistency,RelativeOutputStability,0.5884239713457337,0.5884239713457337
Complexity,Sparseness,-0.5641054755091781,0.5641054755091781
MaxSensitivity,RelativeOutputStability,0.5428482508619764,0.5428482508619764
RelativeInputStability,RelativeOutputStability,0.5362219375062015,0.5362219375062015
NonSensitivity,Sparseness,0.4892786772255389,0.4892786772255389
RelativeInputStability,Sufficiency,0.4889250389138937,0.4889250389138937
LocalLipschitzEstimate,RelativeInputStability,0.45524336774336777,0.45524336774336777
NonSensitivity,RelativeInputStability,-0.40246307343841736,0.40246307343841736
Consistency,Sparseness,0.38688202266471466,0.38688202266471466
AvgSensitivity,LocalLipschitzEstimate,0.3813314048785533,0.3813314048785533
Complexity,Consistency,-0.3464145434329628,0.3464145434329628
AvgSensitivity,RelativeInputStability,0.34465423465423467,0.34465423465423467
RelativeOutputStability,Sparseness,0.3238924238184495,0.3238924238184495
Monotonicity,Sufficiency,-0.30062112233894606,0.30062112233894606
Consistency,Sufficiency,0.28796339946951827,0.28796339946951827
Sparseness,Sufficiency,-0.26395236079211487,0.26395236079211487
LocalLipschitzEstimate,MaxSensitivity,0.26240566006456173,0.26240566006456173
NonSensitivity,Sufficiency,-0.2599512585731243,0.2599512585731243
AvgSensitivity,Consistency,0.24095247563537903,0.24095247563537903
Monotonicity,RelativeInputStability,-0.24022253134126995,0.24022253134126995
AvgSensitivity,Sufficiency,0.23886069190617892,0.23886069190617892
LocalLipschitzEstimate,Sparseness,-0.22856300648079195,0.22856300648079195
Monotonicity,RelativeOutputStability,-0.22579747864281657,0.22579747864281657
RelativeInputStability,Sparseness,-0.2255723234837647,0.2255723234837647
MaxSensitivity,RelativeInputStability,0.2227910977910978,0.2227910977910978
Consistency,MonotonicityMetric,-0.21550830106988103,0.21550830106988103
Consistency,Monotonicity,-0.21134471003011185,0.21134471003011185
LocalLipschitzEstimate,RelativeOutputStability,0.20845151192188355,0.20845151192188355
LocalLipschitzEstimate,NonSensitivity,-0.20723808912048455,0.20723808912048455
MonotonicityCorrelation,RelativeInputStability,-0.19810840570080704,0.19810840570080704
Monotonicity,NonSensitivity,0.19139758794132794,0.19139758794132794
Consistency,MaxSensitivity,0.18981267948593056,0.18981267948593056
AvgSensitivity,NonSensitivity,0.1823335114496969,0.1823335114496969
MaxSensitivity,Monotonicity,0.1799216745410813,0.1799216745410813
Complexity,RelativeOutputStability,-0.17893108174447309,0.17893108174447309
AvgSensitivity,FaithfulnessEstimate,0.17417956024933065,0.17417956024933065
LocalLipschitzEstimate,MonotonicityMetric,0.17047347500465204,0.17047347500465204
Consistency,NonSensitivity,0.16178369159952075,0.16178369159952075
LocalLipschitzEstimate,Sufficiency,0.16048396113053634,0.16048396113053634
MaxSensitivity,NonSensitivity,0.1600469375485795,0.1600469375485795
FaithfulnessEstimate,MaxSensitivity,0.15620314468586505,0.15620314468586505
Faithfulness,RelativeInputStability,-0.1541614054252584,0.1541614054252584
Complexity,Monotonicity,-0.15093776269744852,0.15093776269744852
MonotonicityCorrelation,MonotonicityMetric,-0.14936096599906462,0.14936096599906462
MonotonicityMetric,RelativeOutputStability,-0.14571484034264084,0.14571484034264084
FaithfulnessEstimate,RelativeOutputStability,0.1410970047960747,0.1410970047960747
Faithfulness,MonotonicityMetric,0.13914020932323798,0.13914020932323798
AvgSensitivity,MonotonicityMetric,0.13746111027157448,0.13746111027157448
FaithfulnessEstimate,LocalLipschitzEstimate,0.13393239496586376,0.13393239496586376
MaxSensitivity,MonotonicityMetric,0.13198488172328451,0.13198488172328451
