metric,factor,H,p_value,significant_0.05
Monotonicity,model_name,835.2428722280893,2.7441743136936143e-178,True
NonSensitivity,dataset_name,654.2079160236701,8.720793978127772e-143,True
Consistency,model_name,528.6963903923998,5.094808241956908e-112,True
Complexity,dataset_name,239.09276897488155,1.2068822099518824e-52,True
Sparseness,dataset_name,215.18590285434254,1.8748861611931274e-47,True
RelativeInputStability,dataset_name,209.9651745425531,2.5505958701710227e-46,True
Sufficiency,model_name,216.46282018109488,8.503437966601312e-45,True
LocalLipschitzEstimate,dataset_name,198.5697584760319,7.605448160726617e-44,True
Sufficiency,dataset_name,185.21835584408723,6.030385208541634e-41,True
RelativeOutputStability,model_name,168.84365391901247,1.2876733757977304e-34,True
Complexity,model_name,167.32800907528073,2.7109352046272245e-34,True
Sparseness,model_name,157.26781028415897,3.782381251686247e-32,True
MonotonicityCorrelation,model_name,130.15025353697743,2.2115128164365786e-26,True
LocalLipschitzEstimate,model_name,89.83912897976415,7.263035079020707e-18,True
MonotonicityMetric,dataset_name,60.10501680933343,8.878946363896463e-14,True
NonSensitivity,model_name,63.92500747001427,1.872421031030293e-12,True
MonotonicityMetric,model_name,47.65669972031746,4.173741185939896e-09,True
MaxSensitivity,model_name,43.47362388919253,2.9620425134116887e-08,True
RelativeInputStability,model_name,41.81323863143757,6.425869008578987e-08,True
FaithfulnessEstimate,dataset_name,22.70317562931559,1.1750816685297246e-05,True
MonotonicityCorrelation,dataset_name,22.639845314087488,1.2128861992096188e-05,True
Monotonicity,dataset_name,17.403243636893325,0.0001663158580129497,True
RelativeOutputStability,dataset_name,11.90830573250696,0.0025950412507354022,True
Faithfulness,model_name,18.17002371477546,0.0027406949375345423,True
MaxSensitivity,dataset_name,11.660782710564508,0.0029369273732447253,True
AvgSensitivity,model_name,16.818818373346403,0.004856544880502776,True
AvgSensitivity,dataset_name,8.569148901026892,0.013779484126186669,True
Faithfulness,dataset_name,6.061933691310465,0.048268946936489907,True
Consistency,dataset_name,4.678151312265904,0.09641671925652594,False
FaithfulnessEstimate,model_name,7.196467780073568,0.20643400377026447,False
