component,explained_variance_ratio,cumulative_variance
PC1,0.19310457838358822,0.19310457838358822
PC2,0.13242960285105015,0.3255341812346384
PC3,0.12462946478481213,0.4501636460194505
PC4,0.07825920449711392,0.5284228505165645
PC5,0.07307010361960896,0.6014929541361734
PC6,0.07027595171725447,0.6717689058534279
PC7,0.06503874176137407,0.7368076476148019
PC8,0.06068231753504423,0.7974899651498462
PC9,0.057063149644036554,0.8545531147938827
PC10,0.04178863930376285,0.8963417540976456
PC11,0.03986042380014475,0.9362021778977904
PC12,0.03724158039338281,0.9734437582911731
PC13,0.017375894817479448,0.9908196531086526
PC14,0.009145349126957088,0.9999650022356097
PC15,3.499776439042346e-05,1.0000000000000002
