,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,0.4733521594035968,-0.08128118122857693,0.4545990863463173,0.013787715626975148,0.14943712443006796,0.01795616042295065,0.03986247795787713,-0.12523711723629316,-0.1085119836122926,-0.025166961433368377,0.025213764999019193,-0.08686371793012046,-0.02876892227835098,0.039551580315558235,-0.7068042143701552
Complexity,-0.4710237514727422,0.037926474856236105,0.2593030838574559,0.008459610780683509,0.15491860258011353,-0.059567360757212626,-0.041091822085070145,-0.22176906284690126,-0.14398622804113853,-0.297686950318931,0.2719735756051621,-0.14595186162494736,0.2021957700080501,0.6208553206443896,0.002206851425906153
Consistency,0.24299420033932584,-0.2595549022118607,-0.446354645099163,0.0026629819748331665,0.23391330560753926,-0.24503526877219575,-0.06687446015764421,-0.3453347246483734,-0.09264861451562084,0.03946892776623211,0.06285930798378422,-0.07198623138696894,0.6406158452407087,-0.07871375584557917,-0.00037288044810529497
Faithfulness,0.035433120582475025,0.2486934287931078,-0.11118372635181292,0.4900361173875317,0.07948733844348183,0.34348950202131756,0.25232734093287335,-0.22048978867380592,-0.21581211695871733,-0.3691862209854819,-0.38829189057599356,0.32737074666411203,0.08350367857080412,-0.004696198064504435,0.0005421867559498655
FaithfulnessEstimate,0.09695702224437576,0.1420364110779493,0.03166360078788308,0.476573698110234,-0.37120225278633734,-0.2772469665828478,-0.44682808817749287,0.052956978713133276,0.08384702061772928,-0.21979719847194676,-0.18553407225878082,-0.4827531784618096,0.0381810300886502,-0.030067406886017802,0.002578927391183474
LocalLipschitzEstimate,0.03419646572187327,-0.4341500163853257,0.06641668548298559,0.19503085850450894,-0.0102999994254457,-0.40963617326079205,-0.17947052368173116,0.023904502106509344,0.26370598959285296,-0.27358613638127705,0.05423590121798045,0.6182689317228959,-0.17202653978233515,0.08958616148675405,-0.0003687823817212919
MaxSensitivity,0.47432885998840146,-0.08077760606789651,0.4529137287182864,0.011964146830386015,0.1503622963922678,0.01736500122702631,0.04093097388210313,-0.12559448066571183,-0.10898259370899797,-0.022738272967472727,0.026490214094483853,-0.0839263000668414,-0.030216260707540396,0.03727731600381683,0.7073975063952411
Monotonicity,0.04816593595090144,0.3669876726714819,0.1744327506581505,0.1893044690370717,-0.4058768946372026,-0.20736735212843443,0.003350401332122665,-0.05305483270655357,-0.24242111512372022,0.4887129582224699,0.24967185564623903,0.39297788775506964,0.25601129616795676,0.07908705138587917,-0.0011214315379833098
MonotonicityCorrelation,0.1985568925821005,-0.1491123223155724,-0.17061564318291167,0.22881697079424373,-0.27824011433242907,0.5270473774642781,0.0172263267518973,-0.026717297034443584,0.25500984549465705,-0.1293727382805257,0.6444420101543562,-0.04249356627281524,0.016645935345971242,0.038871718131022456,0.00028344304413165176
MonotonicityMetric,-0.07827640173648522,0.19608090831926686,0.12915610078734183,0.33055729776669,0.4107655439098375,0.01642008655391915,0.0739171666328987,-0.07105277400848108,0.6991698157559189,0.3703540663407978,-0.0669684567143054,-0.04172752617102454,0.11241854158751137,0.07142104388228963,0.0002024027597922415
NonSensitivity,0.04492723901765555,0.481033593667699,-0.17308928310817936,-0.010337680174185529,0.27333677710238236,-0.30948237997441547,-0.015223393761100532,-0.31839763341769506,-0.03775935211190149,-0.19855206787495794,0.41592590625283565,-0.014147431992911946,-0.405725288888704,-0.2928501392705348,-0.0017028552488202132
RelativeInputStability,-0.0030194494846631126,-0.12413481915577243,-0.028599511103215985,0.21962177428442053,-0.10592355760372076,-0.3828683209001937,0.796252671756956,0.2631274188858767,-0.006895698351686254,-0.09134688518401915,0.11266795130291797,-0.23056909143539725,0.014496782093988695,-0.0030476512692416387,0.00021126934351237042
RelativeOutputStability,-0.008805073115401874,-0.03276511971800373,-0.06659752936360207,0.34882025242877396,0.4848850617116579,0.05710007976223862,-0.23430557867050555,0.6193315370713656,-0.37169046504909403,0.09652911350328464,0.2171670651411447,0.01856956141372754,0.014196241775493616,-0.02671958018197599,-0.00012412617585647485
Sparseness,0.4277816641762371,0.21456324798052812,-0.41855656874985403,-0.11725544879353711,0.011419407942118421,-0.07484450309450154,0.008208840147933995,0.13586011308806759,0.04815374665287862,0.06422656190944244,-0.12146061271605163,0.012048026310675117,-0.22318656672728837,0.6975784008590141,-0.0001487476044895684
Sufficiency,-0.1588725716096955,-0.3978395551857232,-0.13168994307242932,0.3362538689472415,-0.008391165403556191,0.029212620977435322,0.007247994991266589,-0.4085250876999193,-0.26325605088961573,0.4418888283326124,-0.05364367094520707,-0.15690012440211706,-0.4644028502598171,0.10232455656160877,-0.00034587353736329054
