,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,2047870615.7201717,32946086374.433407,0.9010075923292808,743656001187.0403,743656001186.1393,515,47.16117216117216,577
MaxSensitivity,651.0910312966395,7027.525651113553,0.0619647877722219,125284.2782195404,125284.21625475262,0,0.0,1091
AvgSensitivity,455.6944011046549,5014.2734141176015,0.0327538347060871,90978.39479263408,90978.36203879937,0,0.0,1092
RelativeInputStability,64.23939696765316,820.7685314375099,1.346755203581286e-06,18990.049588815866,18990.04958746911,514,47.069597069597066,578
NonSensitivity,2.957875457875458,2.704523533732274,0.0,13.0,13.0,0,0.0,14
LocalLipschitzEstimate,3.84371491501469,2.400714654052689,0.5458513233638083,19.13629557349906,18.59044425013525,0,0.0,1092
Complexity,1.6141781027813746,0.5006813226188294,-1.000088900581841e-12,2.6581879631903,2.6581879631913,0,0.0,1014
FaithfulnessEstimate,0.03863829819246093,0.498531104989225,-0.9999985998895956,0.9999970281204388,1.9999956280100344,0,0.0,1067
Sufficiency,0.47671622866221836,0.41971107813719183,0.0,1.0,1.0,0,0.0,188
Faithfulness,0.04982388332785816,0.3992005132047373,-0.9999671257043942,0.986368617386295,1.9863357430906892,0,0.0,1062
MonotonicityCorrelation,0.22616825965470597,0.3432473140099583,-0.9285714285714288,1.0,1.9285714285714288,0,0.0,593
Consistency,0.7522735951496199,0.25753197752904217,0.0204081632648896,0.9999999999818182,0.9795918367169286,0,0.0,35
Sparseness,0.5818191117040143,0.15126365931846,0.2098782034171828,0.9353743369318568,0.725496133514674,0,0.0,1049
