,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,1.0,0.29084188028006225,0.18591785609369346,-0.09919274255539245,-0.09450121554030762,0.056080095534859105,0.9396365409431355,0.009312802871821091,-0.05576361704276102,-0.011377612847379657,0.12401615396296208,-0.022302077547562544,0.1679235361647391,-0.29353210806198576,0.2754283925367886
Complexity,0.29084188028006225,1.0,-0.27791118211002547,0.05461695527820014,0.09528778563567472,0.35403395560193823,0.15691575894554827,0.06350517810289374,-0.5502165428065442,0.05692295076210604,0.21445487908683225,-0.024672343851831,-0.17555193056753507,-0.5366436327137356,0.005351568378835107
Consistency,0.18591785609369346,-0.27791118211002547,1.0,-0.38501643031652516,-0.08812241872108766,-0.44040068480582534,0.38325934221209124,-0.37655487147342154,0.33058032053023406,-0.24034856703505592,-0.01329038037289199,-0.47349704957778316,-0.0031137992212813175,0.1927466775951756,0.46497919781891545
Faithfulness,-0.09919274255539245,0.05461695527820014,-0.38501643031652516,1.0,0.08614954623175071,0.1474309531208757,-0.17059459000254715,0.10261691067631314,-0.21782074317337105,0.18913155687615893,0.01757162271567009,0.10487885911873468,-0.09456687272398558,0.0071236728047495085,-0.2425636572777571
FaithfulnessEstimate,-0.09450121554030762,0.09528778563567472,-0.08812241872108766,0.08614954623175071,1.0,-0.003144996047290515,-0.11338842023199186,-0.017806306194666714,-0.1435735486553869,0.07297777116565732,-0.08565878358220082,0.09286151557092504,-0.0669994301933308,-0.01939888769896588,0.0749849158651105
LocalLipschitzEstimate,0.056080095534859105,0.35403395560193823,-0.44040068480582534,0.1474309531208757,-0.003144996047290515,1.0,-0.10513572316462831,0.25387246933034,-0.4060994778804084,0.16877629651761542,-0.037203474607806195,0.2265629696242525,-0.18064423468490132,-0.3808618101290634,-0.2791293734098726
MaxSensitivity,0.9396365409431355,0.15691575894554827,0.38325934221209124,-0.17059459000254715,-0.11338842023199186,-0.10513572316462831,1.0,-0.050139681236813664,0.09983775325407349,-0.0744972322916636,0.16594465957076837,-0.101762881780723,0.14218953263935502,-0.18565217766677294,0.3795770731602108
Monotonicity,0.009312802871821091,0.06350517810289374,-0.37655487147342154,0.10261691067631314,-0.017806306194666714,0.25387246933034,-0.050139681236813664,1.0,-0.015407099524651571,0.07455298682736469,0.30469756253522595,-0.10806633249102111,-0.004110353690496211,-0.0005879666454424883,-0.195980552843627
MonotonicityCorrelation,-0.05576361704276102,-0.5502165428065442,0.33058032053023406,-0.21782074317337105,-0.1435735486553869,-0.4060994778804084,0.09983775325407349,-0.015407099524651571,1.0,-0.06129685849372718,-0.1497786962073781,-0.1151994821965726,-0.026957841096124223,0.20699038112036872,0.22070727416729063
MonotonicityMetric,-0.011377612847379657,0.05692295076210604,-0.24034856703505592,0.18913155687615893,0.07297777116565732,0.16877629651761542,-0.0744972322916636,0.07455298682736469,-0.06129685849372718,1.0,-0.05285968640246807,0.08660048278221592,-0.1571208609210312,-0.11894904157554008,-0.20406813705617186
NonSensitivity,0.12401615396296208,0.21445487908683225,-0.01329038037289199,0.01757162271567009,-0.08565878358220082,-0.037203474607806195,0.16594465957076837,0.30469756253522595,-0.1497786962073781,-0.05285968640246807,1.0,-0.6502584773965728,0.27251246352615044,0.48543318053392337,-0.29571417946550554
RelativeInputStability,-0.022302077547562544,-0.024672343851831,-0.47349704957778316,0.10487885911873468,0.09286151557092504,0.2265629696242525,-0.101762881780723,-0.10806633249102111,-0.1151994821965726,0.08660048278221592,-0.6502584773965728,1.0,0.19860480737733807,-0.45125682338115686,-0.12243194652602
RelativeOutputStability,0.1679235361647391,-0.17555193056753507,-0.0031137992212813175,-0.09456687272398558,-0.0669994301933308,-0.18064423468490132,0.14218953263935502,-0.004110353690496211,-0.026957841096124223,-0.1571208609210312,0.27251246352615044,0.19860480737733807,1.0,0.29419663036229915,-0.37506513775154
Sparseness,-0.29353210806198576,-0.5366436327137356,0.1927466775951756,0.0071236728047495085,-0.01939888769896588,-0.3808618101290634,-0.18565217766677294,-0.0005879666454424883,0.20699038112036872,-0.11894904157554008,0.48543318053392337,-0.45125682338115686,0.29419663036229915,1.0,-0.1950968713848128
Sufficiency,0.2754283925367886,0.005351568378835107,0.46497919781891545,-0.2425636572777571,0.0749849158651105,-0.2791293734098726,0.3795770731602108,-0.195980552843627,0.22070727416729063,-0.20406813705617186,-0.29571417946550554,-0.12243194652602,-0.37506513775154,-0.1950968713848128,1.0
