,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,742,742,742,742,742,742,742,742,742,742,742,387,390,742,742
Complexity,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
Consistency,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
Faithfulness,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
FaithfulnessEstimate,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
LocalLipschitzEstimate,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
MaxSensitivity,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
Monotonicity,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
MonotonicityCorrelation,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
MonotonicityMetric,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
NonSensitivity,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
RelativeInputStability,387,420,420,420,420,420,420,420,420,420,420,420,414,420,420
RelativeOutputStability,390,423,423,423,423,423,423,423,423,423,423,414,423,423,423
Sparseness,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
Sufficiency,742,952,952,952,952,952,952,952,952,952,952,420,423,952,952
