,AvgSensitivity,Complexity,Consistency,Faithfulness,FaithfulnessEstimate,LocalLipschitzEstimate,MaxSensitivity,Monotonicity,MonotonicityCorrelation,MonotonicityMetric,NonSensitivity,RelativeInputStability,RelativeOutputStability,Sparseness,Sufficiency
AvgSensitivity,0.0,5.154223804745382e-20,7.500133806532752e-09,0.0021834005086750026,0.0035173095020210104,0.08373557528278938,0.0,0.774134863730943,0.08549862174622937,0.7258879650294661,0.00012492866229125356,0.6081127721112124,9.655948630310963e-05,2.2577577547143242e-20,4.929769074582032e-18
Complexity,5.154223804745382e-20,0.0,1.397167673292741e-19,0.08094990113862316,0.00229266083627524,1.5261144163361295e-31,4.618449591328184e-07,0.04238249465871387,6.136315981689354e-82,0.06891101195033893,4.261621873399345e-12,0.5705225003724207,4.524076246805307e-05,2.7279360086711126e-77,0.864322270498733
Consistency,7.500133806532752e-09,1.397167673292741e-19,0.0,1.8708953742218942e-37,0.004814340505435141,9.903501686096423e-50,4.2146791713082806e-37,8.93242912654696e-36,1.745985982432864e-27,6.771012993491776e-15,0.6712920358110721,5.021115297924638e-31,0.9427717363547,5.209125223758646e-10,5.910948655265786e-56
Faithfulness,0.0021834005086750026,0.08094990113862316,1.8708953742218942e-37,0.0,0.005854047810845631,2.208976919437896e-06,4.0814653374856195e-08,0.0010191216484328846,1.9275811163391427e-12,1.101388133213558e-09,0.5747304489781211,0.015617012784636685,0.028883656851113135,0.8200668511013901,3.7600909690275764e-15
FaithfulnessEstimate,0.0035173095020210104,0.0022926608362752454,0.004814340505435141,0.005854047810845631,0.0,0.9200118831732709,0.0002810501095589775,0.5696320192854003,4.06284438922796e-06,0.019634314139128393,0.006142250519090338,0.03240083255875791,0.12201713158546709,0.5356151784031975,0.016502182853714593
LocalLipschitzEstimate,0.08373557528278938,1.5261144163361295e-31,9.903501686096423e-50,2.208976919437889e-06,0.9200118831732709,0.0,0.0007619041191263441,1.7015097141116146e-16,7.395198780297342e-42,5.700649094526449e-08,0.23471370511424924,1.3112884956810186e-07,2.6783688444134126e-05,1.2664282418867915e-36,9.559942722054776e-20
MaxSensitivity,0.0,4.618449591328184e-07,4.2146791713082806e-37,4.0814653374856195e-08,0.0002810501095589775,0.0007619041191263441,0.0,0.1091670626628329,0.0013945911727490466,0.017219914174303616,9.523783695798101e-08,0.01899993602968068,0.000984798033655456,2.233286785276583e-09,2.2750241564539113e-36
Monotonicity,0.774134863730943,0.04238249465871387,8.93242912654696e-36,0.0010191216484328846,0.5696320192854003,1.7015097141116146e-16,0.10916706266283296,0.0,0.622739201189226,0.017136498162804166,2.1293373390030353e-23,0.012715056267218553,0.9245041234794511,0.9850217553573865,2.633340145872339e-10
MonotonicityCorrelation,0.08549862174622937,6.136315981689354e-82,1.745985982432864e-27,1.92758111633916e-12,4.06284438922796e-06,7.395198780297342e-42,0.0013945911727490466,0.622739201189226,0.0,0.050109596114563816,1.5128531817894462e-06,0.00787955317783353,0.53420042761408,2.3632741499846305e-11,9.660060922508919e-13
MonotonicityMetric,0.7258879650294661,0.06891101195033893,6.771012993491776e-15,1.1013881332135665e-09,0.019634314139128407,5.700649094526449e-08,0.017219914174303602,0.017136498162804166,0.050109596114563816,0.0,0.09122515155637652,0.0460844984655666,0.00026741961411596356,0.00013810585222749836,4.541742442521175e-11
NonSensitivity,0.00012492866229125394,4.261621873399346e-12,0.6712920358110721,0.5747304489781211,0.006142250519090338,0.23471370511424922,9.523783695798101e-08,2.1293373390030353e-23,1.5128531817894462e-06,0.09122515155637652,0.0,3.8854540153203796e-65,1.511780464549364e-10,1.5503685485926495e-61,4.508106548364213e-22
RelativeInputStability,0.6081127721112124,0.5705225003724208,5.021115297924491e-31,0.015617012784636666,0.03240083255875791,1.3112884956810186e-07,0.01899993602968068,0.012715056267218553,0.00787955317783353,0.0460844984655666,3.8854540153209725e-65,0.0,4.528632129061794e-06,5.332582549769345e-28,0.004724522351005423
RelativeOutputStability,9.655948630310963e-05,4.524076246805307e-05,0.9427717363547,0.028883656851113135,0.12201713158546709,2.6783688444134126e-05,0.000984798033655456,0.9245041234794511,0.53420042761408,0.00026741961411596356,1.511780464549364e-10,4.528632129061794e-06,0.0,4.016866132477054e-12,2.791733209728734e-19
Sparseness,2.2577577547143242e-20,2.727936008671368e-77,5.209125223758646e-10,0.8200668511013901,0.5356151784031975,1.2664282418867915e-36,2.233286785276583e-09,0.9850217553573865,2.3632741499846305e-11,0.00013810585222749836,1.5503685485926495e-61,5.332582549769345e-28,4.016866132477054e-12,0.0,3.1766332633593184e-10
Sufficiency,4.929769074582032e-18,0.864322270498733,5.910948655265786e-56,3.7600909690275764e-15,0.016502182853714593,9.559942722054776e-20,2.2750241564539113e-36,2.633340145872339e-10,9.66006092250883e-13,4.541742442521175e-11,4.508106548364213e-22,0.004724522351005429,2.791733209728734e-19,3.1766332633593184e-10,0.0
