metric_1,metric_2,spearman_corr,p_value,n,abs_corr,significant_0.05
AvgSensitivity,MaxSensitivity,0.9398690815288969,0.0,882,0.9398690815288969,True
NonSensitivity,RelativeInputStability,-0.6584590176729834,1.2543331903182652e-58,461,0.6584590176729834,True
Complexity,MonotonicityCorrelation,-0.5502165428065442,6.136315981689357e-82,1022,0.5502165428065442,True
Complexity,Sparseness,-0.5366436327137356,2.7279360086711137e-77,1022,0.5366436327137356,True
RelativeInputStability,Sparseness,-0.5268041090954663,2.7983524127745124e-34,461,0.5268041090954663,True
NonSensitivity,Sparseness,0.48543318053392337,1.5503685485926502e-61,1022,0.48543318053392337,True
Consistency,Sufficiency,0.46497919781891545,5.910948655265788e-56,1022,0.46497919781891545,True
Consistency,LocalLipschitzEstimate,-0.44040068480582534,9.903501686096429e-50,1022,0.44040068480582534,True
LocalLipschitzEstimate,MonotonicityCorrelation,-0.4060994778804084,7.395198780297345e-42,1022,0.4060994778804084,True
Consistency,Faithfulness,-0.38501643031652516,1.8708953742218949e-37,1022,0.38501643031652516,True
Consistency,MaxSensitivity,0.38325934221209124,4.214679171308282e-37,1022,0.38325934221209124,True
LocalLipschitzEstimate,Sparseness,-0.3808618101290634,1.266428241886792e-36,1022,0.3808618101290634,True
MaxSensitivity,Sufficiency,0.3795770731602108,2.2750241564539123e-36,1022,0.3795770731602108,True
NonSensitivity,RelativeOutputStability,0.3785921203277596,2.92069177401363e-17,464,0.3785921203277596,True
Consistency,Monotonicity,-0.37655487147342154,8.932429126546965e-36,1022,0.37655487147342154,True
Complexity,LocalLipschitzEstimate,0.35403395560193823,1.52611441633613e-31,1022,0.35403395560193823,True
Consistency,MonotonicityCorrelation,0.33058032053023406,1.745985982432865e-27,1022,0.33058032053023406,True
AvgSensitivity,Sufficiency,0.32237507040306873,8.88054574796852e-23,882,0.32237507040306873,True
RelativeOutputStability,Sparseness,0.3068901937489516,1.413597738023114e-11,464,0.3068901937489516,True
Monotonicity,NonSensitivity,0.30469756253522595,2.1293373390030365e-23,1022,0.30469756253522595,True
RelativeOutputStability,Sufficiency,-0.3003628871684242,3.956422496045018e-11,464,0.3003628871684242,True
NonSensitivity,Sufficiency,-0.29571417946550554,4.508106548364215e-22,1022,0.29571417946550554,True
AvgSensitivity,Complexity,0.28962634629921846,1.6628124363829966e-18,882,0.28962634629921846,True
Consistency,RelativeInputStability,-0.28170054937859634,7.4102048829928e-10,461,0.28170054937859634,True
LocalLipschitzEstimate,Sufficiency,-0.2791293734098726,9.55994272205478e-20,1022,0.2791293734098726,True
Complexity,Consistency,-0.27791118211002547,1.3971676732927415e-19,1022,0.27791118211002547,True
Monotonicity,RelativeInputStability,-0.2766085226615815,1.5299056374295077e-09,461,0.2766085226615815,True
AvgSensitivity,Sparseness,-0.2628470560906635,2.1045136189965805e-15,882,0.2628470560906635,True
Complexity,RelativeInputStability,0.2560042173839908,2.4768649697594067e-08,461,0.2560042173839908,True
LocalLipschitzEstimate,Monotonicity,0.25387246933034,1.7015097141116153e-16,1022,0.25387246933034,True
Faithfulness,Sufficiency,-0.2425636572777571,3.760090969027578e-15,1022,0.2425636572777571,True
Consistency,MonotonicityMetric,-0.24034856703505592,6.771012993491778e-15,1022,0.24034856703505592,True
AvgSensitivity,Consistency,0.23745335376884383,9.037020829503981e-13,882,0.23745335376884383,True
LocalLipschitzEstimate,RelativeInputStability,0.2367931888916516,2.6938712896688034e-07,461,0.2367931888916516,True
MonotonicityCorrelation,Sufficiency,0.22070727416729063,9.660060922508925e-13,1022,0.22070727416729063,True
Faithfulness,MonotonicityCorrelation,-0.21782074317337105,1.9275811163391435e-12,1022,0.21782074317337105,True
MonotonicityCorrelation,RelativeInputStability,-0.216301041680338,2.7700461844336004e-06,461,0.216301041680338,True
Faithfulness,RelativeOutputStability,-0.2161033808501421,2.6261781684784774e-06,464,0.2161033808501421,True
Complexity,NonSensitivity,0.21445487908683225,4.261621873399347e-12,1022,0.21445487908683225,True
MonotonicityCorrelation,Sparseness,0.20699038112036872,2.363274149984632e-11,1022,0.20699038112036872,True
Consistency,RelativeOutputStability,0.20502605304443483,8.512821929233988e-06,464,0.20502605304443483,True
MonotonicityMetric,Sufficiency,-0.20406813705617186,4.5417424425211776e-11,1022,0.20406813705617186,True
Monotonicity,Sufficiency,-0.195980552843627,2.63334014587234e-10,1022,0.195980552843627,True
Sparseness,Sufficiency,-0.1950968713848128,3.17663326335932e-10,1022,0.1950968713848128,True
Consistency,Sparseness,0.1927466775951756,5.209125223758648e-10,1022,0.1927466775951756,True
Faithfulness,MonotonicityMetric,0.18913155687615893,1.1013881332135584e-09,1022,0.18913155687615893,True
MonotonicityMetric,RelativeOutputStability,-0.18650265747766237,5.2980747497670706e-05,464,0.18650265747766237,True
MaxSensitivity,Sparseness,-0.18565217766677294,2.2332867852765847e-09,1022,0.18565217766677294,True
LocalLipschitzEstimate,RelativeOutputStability,-0.18188952447764134,8.135642004510078e-05,464,0.18188952447764134,True
AvgSensitivity,RelativeOutputStability,0.17984813940135067,9.803449678324023e-05,464,0.17984813940135067,True
