component,explained_variance_ratio,cumulative_variance
PC1,0.23860630031742994,0.23860630031742994
PC2,0.1534253031161879,0.39203160343361787
PC3,0.11350283469386364,0.5055344381274816
PC4,0.09213133899652474,0.5976657771240063
PC5,0.06964285180310555,0.6673086289271118
PC6,0.06752483358329002,0.7348334625104018
PC7,0.0635027455259123,0.7983362080363141
PC8,0.05648979340734492,0.8548260014436591
PC9,0.04123596368062564,0.8960619651242847
PC10,0.03301909629590858,0.9290810614201933
PC11,0.026231504928309658,0.9553125663485029
PC12,0.020242474463717425,0.9755550408122203
PC13,0.01686322208514184,0.9924182628973621
PC14,0.005859846437567838,0.99827810933493
PC15,0.0017218906650698998,0.9999999999999999
