,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
AvgSensitivity,0.30436392435198617,0.2968137877032558,0.41853523754706856,0.0223260744406722,0.1813727828223992,0.3108756663775624,0.02383985936636184,-0.10705220005738443,-0.08479955071041492,0.13861314751161438,-0.017898669678686408,-0.1063194980420383,0.03581883749410914,-0.06855952642926745,-0.676766972672313
Complexity,-0.14320080261797744,0.557330309652002,0.023567443316615,-0.13691075014191278,-0.20105430039826394,-0.006821635922680857,0.10845863373291012,0.14244104237456703,0.059719344498241796,-0.2646691025725574,0.2763325904533252,0.02311593923491176,0.09492643968526548,0.6458980518882046,-0.018678394821040802
Consistency,0.42710848742843555,0.012523933283305875,-0.19293172449529583,-0.14938220460589138,-0.03603152127157766,-0.10289728541886858,-0.09775084493936284,-0.0124863553779206,0.2724585257649638,0.1728037762031086,-0.3516547075314702,0.29283745453552895,0.6304747562858711,0.15895913864990732,-0.0032421519631627206
Faithfulness,-0.3265351964676197,-0.1417580429940155,0.21709980569584045,0.30485650529321207,0.047763025751236726,0.14289173597014798,0.18025944285055595,-0.3585289275717676,-0.29229035795117464,-0.24072536909298548,-0.012179184477523202,0.5409551035677084,0.33454855094919056,0.036673805554422935,-0.006555954457853916
FaithfulnessEstimate,-0.05073638459602199,0.1882613515070847,-0.14529288828099118,0.2827714842492552,0.4422794532768382,-0.36602797120660874,0.6005098213869815,0.1158320166998202,0.05006938665963346,0.34497424010685146,0.14980309882860515,-0.025500603423738617,0.10408506460709437,-0.04258017844331617,0.006698034331617215
LocalLipschitzEstimate,-0.36651989975136423,0.04521553394597961,0.23720882780608327,-0.11544137468952383,0.08888331639160037,0.044256199611887134,-0.3231372008230294,0.08007853696952816,0.14089244583186816,0.6612632886358638,0.023412950552981537,0.38100993958808477,-0.19360737803507772,0.1754418438518191,0.04727246459460289
MaxSensitivity,0.39283548163323423,0.18202485293330825,0.34670051216727443,0.13159959210172897,0.23572217715027288,0.2227931270642894,0.02745089652365519,-0.11160212073882876,-0.14248683438937632,0.04167259917755373,-0.14833222079738442,-0.08646856515961433,-0.11341168903710093,0.17413282698719018,0.6796428588137526
Monotonicity,-0.05944670513713982,-0.1509976541752295,0.4368816281479805,0.1564221913978844,-0.2270246525088149,-0.3516489655583312,-0.010782533960916192,0.5542475995924192,-0.3416978419069638,0.021377366520278242,-0.3172821329263146,-0.14338921376637867,0.15999286896399856,0.09576101185953685,-0.05116415948372094
MonotonicityCorrelation,0.29897521202159316,-0.2921082840027567,-0.019349401246341127,0.3575196858781013,-0.015271101147474729,0.03261903097600411,-0.3139551282207083,0.13201676588763206,-0.08226755696976122,0.1163490841238562,0.7035462699513084,-0.022280971212079913,0.21208327823035117,0.1379791664642817,0.0014028332627104157
MonotonicityMetric,-0.17706371491475215,-0.023288331265761405,0.030671296645332267,0.5380360724839284,0.04629687750954826,0.3631208673200055,-0.03272634347959098,0.2867737696197254,0.6188271591717839,-0.16688874760501754,-0.20324488832797452,-0.08608922803738273,0.020820372086818605,0.015242017952725923,-0.013697564723991517
NonSensitivity,0.14998233251246948,-0.11429045866383475,0.4924439702139128,-0.3243164472248853,-0.13319380177973753,-0.0841028819878737,0.29982858662663076,0.15551823046859972,0.4068066228563127,-0.1572725781752065,0.3154500785458677,0.2577800174019805,0.009050311110429204,-0.3258137086468535,0.12426472447439063
RelativeInputStability,-0.14565150075939443,0.02821996361840756,0.13401041245584452,-0.1806799819651852,0.6964186967923672,-0.2863888761838902,-0.42450407882980784,0.05145499572459928,0.07230506215475577,-0.3811920776324679,0.02756451133927557,-0.06261332706879201,0.14738953233810484,-0.020597347871296554,-0.012358406905425322
RelativeOutputStability,0.019370541806839038,-0.13963492430944077,-0.2511759360995672,-0.2986731990888923,0.2784042349366429,0.5175328601353293,0.17948448022017413,0.5671978257389584,-0.2875975507331923,-0.04634685937541743,0.0069495078961380324,0.20721566620272297,0.0258224172227707,0.001137825123960291,0.006285329070750862
Sparseness,0.18456971292469362,-0.5389163577242655,0.054262167120340835,-0.05416263412525824,0.1714526435730857,-0.11718047503761611,0.22327345758723077,-0.12654670704259716,0.14481395833931424,-0.08471252777083207,-0.11162463308207769,0.05717261685108102,-0.3632258629944003,0.579624122670011,-0.2210421119132342
Sufficiency,0.3227330165921389,0.2792045238295405,-0.15383200318325657,0.28837971050015165,-0.021537964782170467,-0.24390746760193416,-0.1670770321029684,0.18933518202827,-0.0777155620107199,-0.20904923210675982,-0.06919746842029789,0.5580624348684757,-0.4401013200250565,-0.13267322990475441,-0.10044496036455472
