,mean,std,min,max,range,missing,missing_pct,n_unique
RelativeOutputStability,3411891.6474749935,22814336.80773773,4.731930344962446,355838414.92690766,355838410.19497734,529,55.5672268907563,423
RelativeInputStability,344.22442113381527,2722.1118518340213,2.288164692033084e-05,34613.72709023079,34613.72706734914,532,55.88235294117647,420
MaxSensitivity,3.457694377762831,3.60222226387895,0.368936530748573,50.17127868791484,49.80234215716627,0,0.0,952
LocalLipschitzEstimate,3.907517875474005,3.1238903602474646,0.1680686242181314,20.96615530555212,20.798086681333988,0,0.0,952
NonSensitivity,2.953781512605042,2.613152526502455,0.0,11.0,11.0,0,0.0,12
AvgSensitivity,1.479429362662535,1.3547187597797026,0.1823798330285951,18.778814042521404,18.59643420949281,210,22.058823529411764,742
Faithfulness,-0.20103196498864215,0.5699201073801654,-0.9999954780707486,0.9937259275849762,1.9937214056557249,0,0.0,918
FaithfulnessEstimate,-0.049335425674754296,0.5618679578165335,-0.999992959693626,0.9999941237328324,1.9999870834264584,0,0.0,924
Complexity,1.627202619841851,0.5572505625721459,0.0559547103319113,2.72839336752305,2.6724386571911385,0,0.0,918
MonotonicityCorrelation,0.11770850124828834,0.4687032394132197,-1.0,0.9642857142857144,1.9642857142857144,0,0.0,443
Sufficiency,0.5977821860333999,0.4379726980390489,0.0,1.0,1.0,0,0.0,201
Consistency,0.7757566440982077,0.25562405791190684,0.0158730158727639,0.999999999984127,0.9841269841113631,0,0.0,27
Sparseness,0.5327815917037347,0.18054348999564857,0.1307478992506948,0.9373043250596698,0.806556425808975,0,0.0,918
