metric,factor,H,p_value,significant_0.05
Consistency,model_name,1588.268,0.0,True
Monotonicity,model_name,2158.539,0.0,True
NonSensitivity,dataset_name,1800.653,0.0,True
LocalLipschitzEstimate,xai_method,1149.036,0.0,True
Sparseness,dataset_name,793.321,0.0,True
Complexity,model_name,756.513,0.0,True
Sufficiency,dataset_name,738.491,0.0,True
RelativeInputStability,dataset_name,674.538,0.0,True
Sparseness,model_name,515.096,0.0,True
MonotonicityCorrelation,model_name,378.588,0.0,True
Complexity,dataset_name,345.303,0.0,True
Sufficiency,model_name,341.943,0.0,True
RelativeOutputStability,model_name,293.642,0.0,True
LocalLipschitzEstimate,model_name,274.022,0.0,True
RelativeOutputStability,dataset_name,253.777,0.0,True
NonSensitivity,model_name,194.563,0.0,True
Faithfulness,xai_method,165.721,0.0,True
MonotonicityMetric,dataset_name,150.268,0.0,True
MonotonicityMetric,model_name,155.08,0.0,True
MaxSensitivity,model_name,153.684,0.0,True
Consistency,dataset_name,135.38,0.0,True
Faithfulness,model_name,120.039,0.0,True
Sparseness,xai_method,108.218,0.0,True
AvgSensitivity,dataset_name,85.374,0.0,True
LocalLipschitzEstimate,dataset_name,79.972,0.0,True
MaxSensitivity,xai_method,78.406,0.0,True
AvgSensitivity,model_name,69.376,0.0,True
MaxSensitivity,dataset_name,54.259,0.0,True
NonSensitivity,xai_method,53.772,0.0,True
Sufficiency,xai_method,53.284,0.0,True
AvgSensitivity,xai_method,52.482,0.0,True
Complexity,xai_method,37.636,0.0,True
MonotonicityCorrelation,xai_method,32.354,0.0,True
RelativeInputStability,model_name,40.103,0.0,True
FaithfulnessEstimate,xai_method,29.426,0.0,True
Faithfulness,dataset_name,21.471,0.0,True
MonotonicityCorrelation,dataset_name,17.33,0.0002,True
Monotonicity,dataset_name,12.076,0.0024,True
FaithfulnessEstimate,dataset_name,11.492,0.0032,True
FaithfulnessEstimate,model_name,14.38,0.0134,True
RelativeInputStability,xai_method,5.083,0.0787,False
RelativeOutputStability,xai_method,1.586,0.4525,False
MonotonicityMetric,xai_method,0.645,0.7244,False
Consistency,xai_method,0.136,0.9342,False
Monotonicity,xai_method,0.022,0.9892,False
