metric,category,direction,xai_method,mean,median,std,iqr,min,max,missing_pct,interpretation
Complexity,Complexity,lower,LIME,1.7939072113757486,1.7094803248647679,0.5675749685685472,0.8984587534866648,0.3191206453337963,2.754321182312608,0.0,explicaciones menos complejas
Complexity,Complexity,lower,MAPLE,1.6141781027813784,1.5996216885000205,0.5006813226188299,0.544479023657011,-1.000088900581841e-12,2.6581879631903,0.0,explicaciones menos complejas
Complexity,Complexity,lower,SHAP,1.7231622556751052,1.717776998479839,0.5803365333902591,0.7251189503195383,0.0559547103319113,2.72839336752305,0.0,explicaciones menos complejas
Sparseness,Complexity,higher,LIME,0.4939690857766128,0.4658118847406706,0.19092579918998676,0.23256407038516935,0.0859671542451644,0.8794475703271419,0.0,atribuciones más concentradas
Sparseness,Complexity,higher,MAPLE,0.5818191117040141,0.5593012001467859,0.15126365931845984,0.22485226195246516,0.2098782034171828,0.9353743369318568,0.0,atribuciones más concentradas
Sparseness,Complexity,higher,SHAP,0.528379922258048,0.4978601447169495,0.17238844238827125,0.18891298420136676,0.1307478992506948,0.9373043250596698,0.0,atribuciones más concentradas
Consistency,Faithfulness,lower,LIME,0.7439732031847762,0.9024390243682332,0.2580231634200289,0.33333333332804227,0.0158730158727639,0.999999999984127,0.0,mayor consistencia
Consistency,Faithfulness,lower,MAPLE,0.752273595149619,0.9047619047475436,0.2575319775290422,0.39024390242950635,0.0204081632648896,0.9999999999818182,0.0,mayor consistencia
Consistency,Faithfulness,lower,SHAP,0.7439732031847762,0.9024390243682332,0.2580231634200289,0.33333333332804227,0.0158730158727639,0.999999999984127,0.0,mayor consistencia
Faithfulness,Faithfulness,higher,LIME,-0.1846116127814151,-0.1930856504897848,0.5034405000256162,0.8298512821139784,-0.9996625911190896,0.9870268411341564,0.0,mayor fidelidad
Faithfulness,Faithfulness,higher,MAPLE,0.04982388332785807,0.0256967513694988,0.39920051320473743,0.5168794457345979,-0.9999671257043942,0.986368617386295,0.0,mayor fidelidad
Faithfulness,Faithfulness,higher,SHAP,-0.18854870218196315,-0.28654356305600154,0.5511074500109343,0.8326446845489708,-0.9999954780707486,0.9937259275849762,0.0,mayor fidelidad
FaithfulnessEstimate,Faithfulness,higher,LIME,-0.072935543679718,-0.09544317483889275,0.4848022704123283,0.6825228697915987,-0.9985975197863644,0.9984113790654228,0.0,mayor estimación de fidelidad
FaithfulnessEstimate,Faithfulness,higher,MAPLE,0.03863829819246095,0.02789919379837405,0.4985311049892247,0.7094720484746688,-0.9999985998895956,0.9999970281204388,0.0,mayor estimación de fidelidad
FaithfulnessEstimate,Faithfulness,higher,SHAP,-0.04442425070327095,-0.0717145227518508,0.5531213039578652,0.9619197310454815,-0.999992959693626,0.9999941237328324,0.0,mayor estimación de fidelidad
Monotonicity,Faithfulness,higher,LIME,0.8672161172161172,1.0,0.33949649594275993,0.0,0.0,1.0,0.0,mayor monotonicidad
