metric,category,direction,xai_method,median,std,iqr,missing_pct
Complexity,Complexity,lower,SHAP,1.6898502566942475,0.5724608973219523,0.5243312042921482,6.41025641025641
Complexity,Complexity,lower,MAPLE,1.5811884674637997,0.5103059507596832,0.5401174809736056,6.41025641025641
Complexity,Complexity,lower,LIME,1.7094803248647679,0.5675749685685472,0.8984587534866653,0.0
Sparseness,Complexity,higher,SHAP,0.49738202255622266,0.17695789784183658,0.19853345993897764,6.41025641025641
Sparseness,Complexity,higher,MAPLE,0.5524454632134466,0.14993458571036455,0.20187292531576695,6.41025641025641
Sparseness,Complexity,higher,LIME,0.4658118847406706,0.19092579918998676,0.23256407038516935,0.0
Consistency,Faithfulness,lower,LIME,0.9024390243682332,0.2580231634200289,0.33333333332804227,0.0
Consistency,Faithfulness,lower,SHAP,0.9047619047475436,0.2575188727715693,0.33333333332804227,6.41025641025641
Consistency,Faithfulness,lower,MAPLE,0.9047619047475436,0.25653605965001575,0.39024390242950635,6.41025641025641
Faithfulness,Faithfulness,higher,MAPLE,0.02494291533951615,0.4083459935139691,0.5603326697583049,6.41025641025641
Faithfulness,Faithfulness,higher,LIME,-0.1930856504897848,0.5034405000256162,0.8298512821139784,0.0
Faithfulness,Faithfulness,higher,SHAP,-0.3263581045884648,0.5593694767776858,0.8461567674032531,6.41025641025641
FaithfulnessEstimate,Faithfulness,higher,LIME,-0.09544317483889275,0.4848022704123283,0.6825228697915987,0.0
FaithfulnessEstimate,Faithfulness,higher,MAPLE,0.0257560753940387,0.5089663837987602,0.7328016789027725,6.41025641025641
FaithfulnessEstimate,Faithfulness,higher,SHAP,-0.06634155810807205,0.5604193494737714,0.977440071264572,6.41025641025641
Monotonicity,Faithfulness,higher,LIME,1.0,0.33949649594275993,0.0,0.0
Monotonicity,Faithfulness,higher,MAPLE,1.0,0.34909648730482845,0.0,6.41025641025641
Monotonicity,Faithfulness,higher,SHAP,1.0,0.3470756433282842,0.0,6.41025641025641
MonotonicityCorrelation,Faithfulness,higher,LIME,0.2312297288314915,0.3414792655999871,0.4285714285714286,0.0
MonotonicityCorrelation,Faithfulness,higher,MAPLE,0.25,0.34954032973875215,0.5,6.41025641025641
MonotonicityCorrelation,Faithfulness,higher,SHAP,0.08422005472427116,0.47880362731201304,0.8134584619414834,6.41025641025641
MonotonicityMetric,Faithfulness,higher,LIME,0.0,0.214991858558056,0.0,0.0
MonotonicityMetric,Faithfulness,higher,MAPLE,0.0,0.22959517952038755,0.0,6.41025641025641
MonotonicityMetric,Faithfulness,higher,SHAP,0.0,0.23148038434758697,0.0,6.41025641025641
SensitivityN,Faithfulness,higher,LIME,,,,100.0
SensitivityN,Faithfulness,higher,MAPLE,,,,100.0
SensitivityN,Faithfulness,higher,SHAP,,,,100.0
Sufficiency,Faithfulness,higher,MAPLE,0.5753787878787879,0.41423026244701017,0.9266034327009938,6.41025641025641
Sufficiency,Faithfulness,higher,LIME,0.7222222222222222,0.4074175180819014,0.9411764705882352,0.0
Sufficiency,Faithfulness,higher,SHAP,0.8,0.4488767754423355,0.9741902834008098,6.41025641025641
Completeness,Fidelity,higher,LIME,0.0,0.0,0.0,0.0
Completeness,Fidelity,higher,MAPLE,0.0,0.0,0.0,6.41025641025641
Completeness,Fidelity,higher,SHAP,0.0,0.0,0.0,6.41025641025641
NonSensitivity,Fidelity,lower,MAPLE,2.0,2.47716745159761,3.0,6.41025641025641
NonSensitivity,Fidelity,lower,SHAP,3.0,2.8219005578976364,3.75,6.41025641025641
NonSensitivity,Fidelity,lower,LIME,4.0,3.005415194109203,4.0,0.0
LocalLipschitzEstimate,Robustness,lower,MAPLE,3.4361074984113302,2.4352899064428564,2.810526658995127,6.41025641025641
LocalLipschitzEstimate,Robustness,lower,SHAP,3.37488538296914,3.032266345495163,3.61385014208276,6.41025641025641
LocalLipschitzEstimate,Robustness,lower,LIME,8.879472409566379,3.3401304805099823,3.678930271456384,0.0
MaxSensitivity,Robustness,lower,LIME,1.7563521614522453,0.8514386936060637,0.7744138902911843,6.41025641025641
MaxSensitivity,Robustness,lower,MAPLE,1.7154033223246739,7262.314498823017,1.694041816048919,6.41025641025641
MaxSensitivity,Robustness,lower,SHAP,2.20513198788617,3.5340159186442266,3.1894862250451705,6.41025641025641
RelativeInputStability,Robustness,lower,SHAP,0.3492849863686483,2424.3749499108653,2.684691176339251,51.373626373626365
RelativeInputStability,Robustness,lower,LIME,0.3479275525028278,5188.951556325519,4.642097265886856,49.175824175824175
RelativeInputStability,Robustness,lower,MAPLE,0.46114278925502367,836.7763187276717,8.382900663927195,49.08424908424908
RelativeOutputStability,Robustness,lower,SHAP,10878.103167229896,20342439.92285811,238646.64238188468,51.098901098901095
RelativeOutputStability,Robustness,lower,LIME,9212.052229460152,248096053.66296676,1041623.9803204273,49.175824175824175
RelativeOutputStability,Robustness,lower,MAPLE,3929.174375995819,33591304926.212452,1884272.0312388767,49.175824175824175
AvgSensitivity,Sensitivity,lower,LIME,1.05271731491534,0.5505503413814634,0.6635887626386392,6.41025641025641
AvgSensitivity,Sensitivity,lower,MAPLE,0.8204761128802546,5181.851874174161,0.7792471482144151,6.41025641025641
AvgSensitivity,Sensitivity,lower,SHAP,1.0643850133766728,1.3943287262371977,1.493751548004988,12.82051282051282
