metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,0.6471022148187799,,,,,,
AvgSensitivity,local,observation,5.0,0.6028789740364605,,,,,,
AvgSensitivity,local,observation,249.0,0.8100434503719975,,,,,,
AvgSensitivity,local,observation,252.0,0.713971925855471,,,,,,
AvgSensitivity,local,observation,255.0,0.7722488854824995,,,,,,
AvgSensitivity,local,observation,685.0,0.2385594608485707,,,,,,
AvgSensitivity,local,observation,403.0,0.9436214987701319,,,,,,
AvgSensitivity,local,observation,420.0,0.7834656865008972,,,,,,
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.6929526176240814,,,,,,
Complexity,local,observation,5.0,0.5750937779806838,,,,,,
Complexity,local,observation,249.0,0.7685639726232417,,,,,,
Complexity,local,observation,252.0,0.7784256067779558,,,,,,
Complexity,local,observation,255.0,0.7736210587641067,,,,,,
Complexity,local,observation,685.0,0.42409282101694046,,,,,,
Complexity,local,observation,403.0,0.8382459734888165,,,,,,
Complexity,local,observation,420.0,0.8589917502989748,,,,,,
Consistency,local,observation,9.0,0.1428571428367347,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.7142857141836735,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
Faithfulness,local,observation,0.0,-0.75515177632078,,,,,,
Faithfulness,local,observation,1.0,0.3581446781366585,,,,,,
Faithfulness,local,observation,2.0,0.1873146848636288,,,,,,
Faithfulness,local,observation,3.0,0.2178830072379872,,,,,,
Faithfulness,local,observation,4.0,0.26868007212254225,,,,,,
Faithfulness,local,observation,5.0,-0.008846161606597416,,,,,,
Faithfulness,local,observation,6.0,-0.027446119533330118,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.7664147678423244,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.46619774740261893,,,,,,
FaithfulnessEstimate,local,observation,249.0,0.0,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.30334642655878125,,,,,,
FaithfulnessEstimate,local,observation,255.0,0.0,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.0,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.3273899935378078,,,,,,
FaithfulnessEstimate,local,observation,420.0,0.11239625186032812,,,,,,
LocalLipschitzEstimate,local,observation,9.0,1.9307762353457814,,,,,,
LocalLipschitzEstimate,local,observation,5.0,3.0197154144352765,,,,,,
LocalLipschitzEstimate,local,observation,249.0,2.197022445769896,,,,,,
LocalLipschitzEstimate,local,observation,252.0,2.169307913184125,,,,,,
LocalLipschitzEstimate,local,observation,255.0,3.1592341592838147,,,,,,
LocalLipschitzEstimate,local,observation,685.0,1.8865158911221107,,,,,,
LocalLipschitzEstimate,local,observation,403.0,2.89065051185709,,,,,,
LocalLipschitzEstimate,local,observation,420.0,2.6717678220207977,,,,,,
MaxSensitivity,local,observation,9.0,2.460504465047139,,,,,,
MaxSensitivity,local,observation,5.0,2.3120682489887967,,,,,,
MaxSensitivity,local,observation,249.0,2.305299266310023,,,,,,
MaxSensitivity,local,observation,252.0,2.35643693879754,,,,,,
MaxSensitivity,local,observation,255.0,2.378145216527901,,,,,,
MaxSensitivity,local,observation,685.0,0.4290508994670154,,,,,,
MaxSensitivity,local,observation,403.0,2.3057013874323657,,,,,,
MaxSensitivity,local,observation,420.0,2.45431309227202,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.5428571428571429,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.3142857142857143,,,,,,
MonotonicityCorrelation,local,observation,249.0,-0.2,,,,,,
MonotonicityCorrelation,local,observation,252.0,0.2,,,,,,
MonotonicityCorrelation,local,observation,255.0,-0.028571428571428574,,,,,,
MonotonicityCorrelation,local,observation,685.0,0.0,,,,,,
MonotonicityCorrelation,local,observation,403.0,-0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,420.0,0.5428571428571429,,,,,,
MonotonicityMetric,local,observation,9.0,0.0,,,,,,
MonotonicityMetric,local,observation,5.0,0.0,,,,,,
MonotonicityMetric,local,observation,249.0,0.0,,,,,,
MonotonicityMetric,local,observation,252.0,0.0,,,,,,
MonotonicityMetric,local,observation,255.0,0.0,,,,,,
MonotonicityMetric,local,observation,685.0,1.0,,,,,,
MonotonicityMetric,local,observation,403.0,0.0,,,,,,
MonotonicityMetric,local,observation,420.0,0.0,,,,,,
NonSensitivity,local,observation,9.0,1.0,,,,,,
NonSensitivity,local,observation,5.0,1.0,,,,,,
NonSensitivity,local,observation,249.0,1.0,,,,,,
NonSensitivity,local,observation,252.0,1.0,,,,,,
NonSensitivity,local,observation,255.0,1.0,,,,,,
NonSensitivity,local,observation,685.0,6.0,,,,,,
NonSensitivity,local,observation,403.0,1.0,,,,,,
NonSensitivity,local,observation,420.0,1.0,,,,,,
RelativeInputStability,local,observation,0.0,0.0009497475832891437,,,,,,
RelativeInputStability,local,observation,1.0,0.00021220070193740028,,,,,,
RelativeInputStability,local,observation,2.0,0.0003051163800611502,,,,,,
RelativeInputStability,local,observation,3.0,0.00012887428666634622,,,,,,
RelativeInputStability,local,observation,4.0,1.7511222115003053,,,,,,
RelativeInputStability,local,observation,5.0,0.00024038131587194418,,,,,,
RelativeOutputStability,local,observation,0.0,57.99439618428539,,,,,,
RelativeOutputStability,local,observation,1.0,71.39199537103732,,,,,,
RelativeOutputStability,local,observation,2.0,63.06343717513949,,,,,,
RelativeOutputStability,local,observation,3.0,5256109.863737892,,,,,,
RelativeOutputStability,local,observation,4.0,75.55735452216447,,,,,,
RelativeOutputStability,local,observation,5.0,33.044270072482,,,,,,
SensitivityN,local,observation,0.0,0.48012135194503086,,,,,,
Sparseness,local,observation,9.0,0.5586104553907648,,,,,,
Sparseness,local,observation,5.0,0.6402267892964614,,,,,,
Sparseness,local,observation,249.0,0.46515570254083377,,,,,,
Sparseness,local,observation,252.0,0.4557274965672754,,,,,,
Sparseness,local,observation,255.0,0.4616220911248585,,,,,,
Sparseness,local,observation,685.0,0.7181828614349076,,,,,,
Sparseness,local,observation,403.0,0.415596623985959,,,,,,
Sparseness,local,observation,420.0,0.3843959010165197,,,,,,
Sufficiency,local,observation,9.0,0.2,,,,,,
Sufficiency,local,observation,5.0,0.25,,,,,,
Sufficiency,local,observation,249.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,252.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,255.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,0.8,,,,,,
Sufficiency,local,observation,420.0,1.0,,,,,,
