metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.9475449830232644, 0.9848889914720714, 0.8684908602655651, 0.9114953218203855, 0.938036496971767, 0.96415975942509, 0.902223434505835, 0.8898742761389121]",8.0,0.9258392654528613,0.03694762721968801,0.8684908602655651,0.9848889914720714
Consistency,local,aggregate,,,"[0.1428571428367347, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
FaithfulnessEstimate,local,aggregate,,,"[-0.9499460798883841, -0.6952365196274387, 0.3043524801771839, -0.4749839374709555, 0.7074952656965682, 0.0, 0.38950708828217956, -0.19425695044556482]",8.0,-0.11413358165955144,0.5349977611946647,-0.9499460798883841,0.7074952656965682
LocalLipschitzEstimate,local,aggregate,,,"[18.27515185134663, 15.413000852109182, 10.144451503581156, 11.754438599689692, 11.960057345596955, 5.366720558172204, 22.372710939403344, 22.672518838471717]",8.0,14.74488131104636,5.698160460435417,5.366720558172204,22.672518838471717
MaxSensitivity,local,aggregate,,,"[1.7092430913010221, 1.5004419915026628, 1.693603729545493, 1.7429065510359714, 1.8714686836394265, 0.812503624117895, 1.614619341460036, 1.7307717368662807]",8.0,1.5844448436835985,0.30827237307182626,0.812503624117895,1.8714686836394265
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.7714285714285715, 0.6, 0.48571428571428577, 0.08571428571428573, -0.028571428571428574, 0.0, 0.2, -0.2]",8.0,0.23928571428571432,0.32037525828697977,-0.2,0.7714285714285715
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 6, 1, 1]",8.0,1.625,1.653594569415369,1.0,6.0
RelativeInputStability,local,aggregate,,,"[nan, nan, 0.000628636625405501, 0.00016630622514156044, 0.00023542206781267604, 4.9598482040568033e-05, 1.141860736279583, 0.00034999466528270253]",6.0,0.19054844905754434,0.4254398264637688,4.9598482040568033e-05,1.141860736279583
RelativeOutputStability,local,aggregate,,,"[nan, nan, 394.8560725053959, 84.35054060035264, 51.54416576145483, 1729024.9469392165, 458.1158496781353, 32.3737110749836]",6.0,288341.0312131395,644293.4556619809,32.3737110749836,1729024.9469392165
SensitivityN,local,aggregate,,,[-0.27660514784564016],1.0,-0.27660514784564016,0.0,-0.27660514784564016,-0.27660514784564016
Sparseness,local,aggregate,,,"[0.2329139193013409, 0.11507687302262966, 0.36388887401383535, 0.2987977985891918, 0.2555279453723289, 0.17296019342022798, 0.32138698669149846, 0.34995746372043274]",8.0,0.2638137567664357,0.08168140280264782,0.11507687302262966,0.36388887401383535
Sufficiency,local,aggregate,,,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0]",8.0,0.71875,0.42274216432714634,0.0,1.0
