metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.986997077482702, 0.9875097489871024, 0.997039230264771, 0.9970174226264155, 0.996590140772683, 0.996568401617803, 0.9897209921743713, 0.9789032899491301]",8.0,0.9912932879843723,0.006229183341764494,0.9789032899491301,0.997039230264771
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[-0.09825658205905259, -0.19377312983614708, -0.29158458118078506, -0.10725521839179682, 0.6240760823136627, -0.6802857741745838, -0.9629174792900449, -0.835041711299467]",8.0,-0.3181297992397768,0.47576773494228025,-0.9629174792900449,0.6240760823136627
LocalLipschitzEstimate,local,aggregate,,,"[3.411530079362776, 2.969868985783721, 4.258753341711487, 3.540143614716585, 3.6367733890332294, 2.5911872759018326, 4.016820845400226, 3.8618438159059107]",8.0,3.5358651684769713,0.5121737669913978,2.5911872759018326,4.258753341711487
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.3714285714285715, 0.7714285714285715, -0.08571428571428573, 0.5428571428571429, 0.3714285714285715, 0.7142857142857143, 0.2, -0.2571428571428572]",8.0,0.3285714285714286,0.34016802570830457,-0.2571428571428572,0.7714285714285715
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 0, 2]",8.0,1.0,0.5,0.0,2.0
SensitivityN,local,aggregate,,,[-0.44064278958535685],1.0,-0.44064278958535685,0.0,-0.44064278958535685,-0.44064278958535685
Sparseness,local,aggregate,,,"[0.08891512337768967, 0.0941678274208704, 0.049969609818252096, 0.054453594918124876, 0.05684860375212017, 0.06263352282379993, 0.10767439447140716, 0.1508216212723465]",8.0,0.08318553723182635,0.032350858861937525,0.049969609818252096,0.1508216212723465
Sufficiency,local,aggregate,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",8.0,1.0,0.0,1.0,1.0
