metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.9981842875133276,,,,,,
Complexity,local,observation,5.0,0.9975302734320345,,,,,,
Complexity,local,observation,249.0,0.9447440436692901,,,,,,
Complexity,local,observation,252.0,0.998508286968073,,,,,,
Complexity,local,observation,255.0,0.9973901650105721,,,,,,
Complexity,local,observation,685.0,0.9966922655671716,,,,,,
Complexity,local,observation,403.0,0.9311487575353381,,,,,,
Complexity,local,observation,420.0,0.9990516962256026,,,,,,
Sparseness,local,observation,9.0,0.04380418449799349,,,,,,
Sparseness,local,observation,5.0,0.05097163975313291,,,,,,
Sparseness,local,observation,249.0,0.16334276427508695,,,,,,
Sparseness,local,observation,252.0,0.0380091849105074,,,,,,
Sparseness,local,observation,255.0,0.04321718518019589,,,,,,
Sparseness,local,observation,685.0,0.05975208129801894,,,,,,
Sparseness,local,observation,403.0,0.1815848369346322,,,,,,
Sparseness,local,observation,420.0,0.03201728392868858,,,,,,
