metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,2.2713513527175926,,,,,,
AvgSensitivity,local,observation,5.0,1.7015666858903717,,,,,,
AvgSensitivity,local,observation,249.0,4.8784860773530125,,,,,,
AvgSensitivity,local,observation,252.0,4.342794740019375,,,,,,
AvgSensitivity,local,observation,255.0,4.524980151090003,,,,,,
AvgSensitivity,local,observation,685.0,2.0767002363613503,,,,,,
AvgSensitivity,local,observation,403.0,4.55393755481988,,,,,,
AvgSensitivity,local,observation,420.0,5.112912863048798,,,,,,
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.9421211471690076,,,,,,
Complexity,local,observation,5.0,0.9193885437880956,,,,,,
Complexity,local,observation,249.0,0.917258473446169,,,,,,
Complexity,local,observation,252.0,0.917258473446169,,,,,,
Complexity,local,observation,255.0,0.917258473446169,,,,,,
Complexity,local,observation,685.0,0.9359381699030302,,,,,,
Complexity,local,observation,403.0,0.9305630997595059,,,,,,
Complexity,local,observation,420.0,0.909806575149461,,,,,,
Consistency,local,observation,9.0,0.9999999998571428,,,,,,
Consistency,local,observation,5.0,0.9999999998571428,,,,,,
Consistency,local,observation,249.0,0.9999999998571428,,,,,,
Consistency,local,observation,252.0,0.9999999998571428,,,,,,
Consistency,local,observation,255.0,0.9999999998571428,,,,,,
Consistency,local,observation,685.0,0.9999999998571428,,,,,,
Consistency,local,observation,403.0,0.9999999998571428,,,,,,
Consistency,local,observation,420.0,0.9999999998571428,,,,,,
Faithfulness,local,observation,9.0,-0.728529206064608,,,,,,
Faithfulness,local,observation,5.0,-0.6825473360045121,,,,,,
Faithfulness,local,observation,249.0,-0.6139036147070255,,,,,,
Faithfulness,local,observation,252.0,-0.6139036147070255,,,,,,
Faithfulness,local,observation,255.0,-0.6139036147070255,,,,,,
Faithfulness,local,observation,685.0,-0.8642034865121154,,,,,,
Faithfulness,local,observation,403.0,-0.5977714259043827,,,,,,
Faithfulness,local,observation,420.0,-0.5757896157725333,,,,,,
FaithfulnessEstimate,local,observation,9.0,0.30997770233021893,,,,,,
FaithfulnessEstimate,local,observation,5.0,0.7341741007727446,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.1490678952325417,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.4876106273021879,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.5798435043472734,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.6337344980552384,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.17115413487948938,,,,,,
FaithfulnessEstimate,local,observation,420.0,-0.47127316208498254,,,,,,
LocalLipschitzEstimate,local,observation,9.0,10.702079556769752,,,,,,
LocalLipschitzEstimate,local,observation,5.0,9.830351218450947,,,,,,
LocalLipschitzEstimate,local,observation,249.0,9.373480291181437,,,,,,
LocalLipschitzEstimate,local,observation,252.0,16.016366556844158,,,,,,
LocalLipschitzEstimate,local,observation,255.0,10.578016902203156,,,,,,
LocalLipschitzEstimate,local,observation,685.0,10.00365364201355,,,,,,
LocalLipschitzEstimate,local,observation,403.0,11.347301238581933,,,,,,
LocalLipschitzEstimate,local,observation,420.0,8.596509172820555,,,,,,
MaxSensitivity,local,observation,9.0,5.421786204873215,,,,,,
MaxSensitivity,local,observation,5.0,3.705674306722154,,,,,,
MaxSensitivity,local,observation,249.0,8.73124906262115,,,,,,
MaxSensitivity,local,observation,252.0,8.117936763549022,,,,,,
MaxSensitivity,local,observation,255.0,8.439395477623192,,,,,,
MaxSensitivity,local,observation,685.0,3.5196000539936967,,,,,,
MaxSensitivity,local,observation,403.0,9.227385911282866,,,,,,
MaxSensitivity,local,observation,420.0,8.98112448758947,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,-0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,5.0,-0.3142857142857143,,,,,,
MonotonicityCorrelation,local,observation,249.0,0.5428571428571429,,,,,,
