metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,0.9281659105755506,,,,,,
AvgSensitivity,local,observation,5.0,1.0634951991513741,,,,,,
AvgSensitivity,local,observation,249.0,0.8162210915412729,,,,,,
AvgSensitivity,local,observation,252.0,0.8514269018449063,,,,,,
AvgSensitivity,local,observation,255.0,0.8036635047651599,,,,,,
AvgSensitivity,local,observation,685.0,0.6465363177147319,,,,,,
AvgSensitivity,local,observation,403.0,0.7223563592930217,,,,,,
AvgSensitivity,local,observation,420.0,0.6963380473779592,,,,,,
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.8562500158725126,,,,,,
Complexity,local,observation,5.0,0.9023082198190083,,,,,,
Complexity,local,observation,249.0,0.8820409220887314,,,,,,
Complexity,local,observation,252.0,0.8405836946328048,,,,,,
Complexity,local,observation,255.0,0.8316244717390759,,,,,,
Complexity,local,observation,685.0,0.9058114923323379,,,,,,
Complexity,local,observation,403.0,0.8183213720569078,,,,,,
Complexity,local,observation,420.0,0.7743066736149166,,,,,,
Consistency,local,observation,9.0,0.7142857141836735,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.1428571428367347,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
Faithfulness,local,observation,9.0,-0.947581526047268,,,,,,
Faithfulness,local,observation,5.0,0.9444051965992803,,,,,,
Faithfulness,local,observation,249.0,-0.7030274954780532,,,,,,
Faithfulness,local,observation,252.0,-0.5627104265726638,,,,,,
Faithfulness,local,observation,255.0,-0.5401938437132731,,,,,,
Faithfulness,local,observation,685.0,-0.509280462526969,,,,,,
Faithfulness,local,observation,403.0,-0.34087995034647034,,,,,,
Faithfulness,local,observation,420.0,-0.7178876224979205,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.8379298619481128,,,,,,
FaithfulnessEstimate,local,observation,5.0,0.2122902046009417,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.8291868719314036,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.4992332940535387,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.39981918097115415,,,,,,
FaithfulnessEstimate,local,observation,685.0,-0.5084814905657894,,,,,,
FaithfulnessEstimate,local,observation,403.0,0.09726728474157731,,,,,,
FaithfulnessEstimate,local,observation,420.0,0.3052261438960424,,,,,,
LocalLipschitzEstimate,local,observation,9.0,9.97568696841552,,,,,,
LocalLipschitzEstimate,local,observation,5.0,6.483344759090282,,,,,,
LocalLipschitzEstimate,local,observation,249.0,10.396503030850637,,,,,,
LocalLipschitzEstimate,local,observation,252.0,12.16405462201733,,,,,,
LocalLipschitzEstimate,local,observation,255.0,10.065862944396637,,,,,,
LocalLipschitzEstimate,local,observation,685.0,15.340601176603238,,,,,,
LocalLipschitzEstimate,local,observation,403.0,8.440407728506479,,,,,,
LocalLipschitzEstimate,local,observation,420.0,10.641905235815411,,,,,,
MaxSensitivity,local,observation,9.0,2.55446129144307,,,,,,
MaxSensitivity,local,observation,5.0,2.2102716474265236,,,,,,
MaxSensitivity,local,observation,249.0,2.363980987983731,,,,,,
MaxSensitivity,local,observation,252.0,2.2641786614838892,,,,,,
MaxSensitivity,local,observation,255.0,2.3857304027813915,,,,,,
MaxSensitivity,local,observation,685.0,1.3968624729332138,,,,,,
MaxSensitivity,local,observation,403.0,1.6276279884780598,,,,,,
MaxSensitivity,local,observation,420.0,1.9653153942105628,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.4285714285714286,,,,,,
MonotonicityCorrelation,local,observation,5.0,-0.2,,,,,,
MonotonicityCorrelation,local,observation,249.0,0.7142857142857143,,,,,,
MonotonicityCorrelation,local,observation,252.0,0.48571428571428577,,,,,,
MonotonicityCorrelation,local,observation,255.0,0.14285714285714288,,,,,,
MonotonicityCorrelation,local,observation,685.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,403.0,0.48571428571428577,,,,,,
MonotonicityCorrelation,local,observation,420.0,-0.3714285714285715,,,,,,
MonotonicityMetric,local,observation,9.0,0.0,,,,,,
MonotonicityMetric,local,observation,5.0,0.0,,,,,,
MonotonicityMetric,local,observation,249.0,0.0,,,,,,
MonotonicityMetric,local,observation,252.0,0.0,,,,,,
MonotonicityMetric,local,observation,255.0,0.0,,,,,,
MonotonicityMetric,local,observation,685.0,0.0,,,,,,
MonotonicityMetric,local,observation,403.0,0.0,,,,,,
MonotonicityMetric,local,observation,420.0,0.0,,,,,,
NonSensitivity,local,observation,9.0,1.0,,,,,,
NonSensitivity,local,observation,5.0,1.0,,,,,,
NonSensitivity,local,observation,249.0,1.0,,,,,,
NonSensitivity,local,observation,252.0,1.0,,,,,,
NonSensitivity,local,observation,255.0,1.0,,,,,,
NonSensitivity,local,observation,685.0,1.0,,,,,,
NonSensitivity,local,observation,403.0,1.0,,,,,,
NonSensitivity,local,observation,420.0,1.0,,,,,,
RelativeInputStability,local,observation,0.0,0.00020215356555546363,,,,,,
RelativeInputStability,local,observation,1.0,1.2635912180040785,,,,,,
RelativeOutputStability,local,observation,0.0,55.14960841099967,,,,,,
RelativeOutputStability,local,observation,1.0,199.70205088329794,,,,,,
SensitivityN,local,observation,0.0,0.2568701044389856,,,,,,
Sparseness,local,observation,9.0,0.3852277761401313,,,,,,
Sparseness,local,observation,5.0,0.32764188302289765,,,,,,
Sparseness,local,observation,249.0,0.35277562926991607,,,,,,
Sparseness,local,observation,252.0,0.41034364473662355,,,,,,
Sparseness,local,observation,255.0,0.423000171751069,,,,,,
Sparseness,local,observation,685.0,0.3102298641365943,,,,,,
Sparseness,local,observation,403.0,0.43798218994167243,,,,,,
Sparseness,local,observation,420.0,0.47563940021059514,,,,,,
Sufficiency,local,observation,9.0,0.5,,,,,,
Sufficiency,local,observation,5.0,0.0,,,,,,
Sufficiency,local,observation,249.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,252.0,1.0,,,,,,
Sufficiency,local,observation,255.0,1.0,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,0.0,,,,,,
Sufficiency,local,observation,420.0,0.8,,,,,,
