metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.9281659105755506, 1.0634951991513741, 0.8162210915412729, 0.8514269018449063, 0.8036635047651599, 0.6465363177147319, 0.7223563592930217, 0.6963380473779592]",8.0,0.8160254165329971,0.12602004665159258,0.6465363177147319,1.0634951991513741
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.8562500158725126, 0.9023082198190083, 0.8820409220887314, 0.8405836946328048, 0.8316244717390759, 0.9058114923323379, 0.8183213720569078, 0.7743066736149166]",8.0,0.8514058577695369,0.04192297462070426,0.7743066736149166,0.9058114923323379
Consistency,local,aggregate,,,"[0.7142857141836735, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.1428571428367347, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
Faithfulness,local,aggregate,,,"[-0.947581526047268, 0.9444051965992803, -0.7030274954780532, -0.5627104265726638, -0.5401938437132731, -0.509280462526969, -0.34087995034647034, -0.7178876224979205]",8.0,-0.4221445163229172,0.5428849352683751,-0.947581526047268,0.9444051965992803
FaithfulnessEstimate,local,aggregate,,,"[-0.8379298619481128, 0.2122902046009417, -0.8291868719314036, -0.4992332940535387, -0.39981918097115415, -0.5084814905657894, 0.09726728474157731, 0.3052261438960424]",8.0,-0.30748338327892966,0.4255353707928794,-0.8379298619481128,0.3052261438960424
LocalLipschitzEstimate,local,aggregate,,,"[9.97568696841552, 6.483344759090282, 10.396503030850637, 12.16405462201733, 10.065862944396637, 15.340601176603238, 8.440407728506479, 10.641905235815411]",8.0,10.438545808211941,2.4248698960026407,6.483344759090282,15.340601176603238
MaxSensitivity,local,aggregate,,,"[2.55446129144307, 2.2102716474265236, 2.363980987983731, 2.2641786614838892, 2.3857304027813915, 1.3968624729332138, 1.6276279884780598, 1.9653153942105628]",8.0,2.096053605842555,0.3762529750188288,1.3968624729332138,2.55446129144307
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.4285714285714286, -0.2, 0.7142857142857143, 0.48571428571428577, 0.14285714285714288, 0.2571428571428572, 0.48571428571428577, -0.3714285714285715]",8.0,0.24285714285714288,0.34611546970244905,-0.3714285714285715,0.7142857142857143
MonotonicityMetric,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 1, 1]",8.0,1.0,0.0,1.0,1.0
RelativeInputStability,local,aggregate,,,"[nan, 0.00020215356555546363, nan, nan, nan, nan, 1.2635912180040785, nan]",2.0,0.631896685784817,0.6316945322192615,0.00020215356555546363,1.2635912180040785
RelativeOutputStability,local,aggregate,,,"[nan, 55.14960841099967, nan, nan, nan, nan, 199.70205088329794, nan]",2.0,127.4258296471488,72.27622123614913,55.14960841099967,199.70205088329794
SensitivityN,local,aggregate,,,[0.2568701044389856],1.0,0.2568701044389856,0.0,0.2568701044389856,0.2568701044389856
Sparseness,local,aggregate,,,"[0.3852277761401313, 0.32764188302289765, 0.35277562926991607, 0.41034364473662355, 0.423000171751069, 0.3102298641365943, 0.43798218994167243, 0.47563940021059514]",8.0,0.3903550699011874,0.05338363661406109,0.3102298641365943,0.47563940021059514
Sufficiency,local,aggregate,,,"[0.5, 0.0, 0.6666666666666666, 1.0, 1.0, 0.0, 0.0, 0.8]",8.0,0.49583333333333335,0.41346688030737255,0.0,1.0
