metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.650263926875832,,,,,,
Complexity,local,observation,5.0,0.48085699230781404,,,,,,
Complexity,local,observation,249.0,0.7692844133611604,,,,,,
Complexity,local,observation,252.0,0.6345467799083907,,,,,,
Complexity,local,observation,255.0,0.673879830450836,,,,,,
Complexity,local,observation,685.0,0.8420942307706847,,,,,,
Complexity,local,observation,403.0,0.766862292011073,,,,,,
Complexity,local,observation,420.0,0.6236172798830704,,,,,,
Consistency,local,observation,9.0,0.7142857141836735,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.1428571428367347,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.6405686322594903,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.610962927811152,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.07523353898730827,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.8583857861850676,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.4393367997920392,,,,,,
FaithfulnessEstimate,local,observation,685.0,-0.7790641814010879,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.6445662042655387,,,,,,
FaithfulnessEstimate,local,observation,420.0,-0.7584120168835566,,,,,,
LocalLipschitzEstimate,local,observation,9.0,10.709405951462152,,,,,,
LocalLipschitzEstimate,local,observation,5.0,8.65259920757095,,,,,,
LocalLipschitzEstimate,local,observation,249.0,11.910330251686126,,,,,,
LocalLipschitzEstimate,local,observation,252.0,10.176577282517876,,,,,,
