metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.650263926875832, 0.48085699230781404, 0.7692844133611604, 0.6345467799083907, 0.673879830450836, 0.8420942307706847, 0.766862292011073, 0.6236172798830704]",8.0,0.6801757181961077,0.10465161922663609,0.48085699230781404,0.8420942307706847
Consistency,local,aggregate,,,"[0.7142857141836735, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.1428571428367347, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
FaithfulnessEstimate,local,aggregate,,,"[-0.6405686322594903, -0.610962927811152, -0.07523353898730827, -0.8583857861850676, -0.4393367997920392, -0.7790641814010879, -0.6445662042655387, -0.7584120168835566]",8.0,-0.6008162609481551,0.23153317288728675,-0.8583857861850676,-0.07523353898730827
LocalLipschitzEstimate,local,aggregate,,,"[10.709405951462152, 8.65259920757095, 11.910330251686126, 10.176577282517876, 10.132032225666944, 9.960977190593432, 12.848290734761528, 10.709498194026496]",8.0,10.637463879785688,1.1928698801466848,8.65259920757095,12.848290734761528
MaxSensitivity,local,aggregate,,,"[1.4966704379130016, 1.5070504549614263, 2.319470590257759, 1.4347125093309752, 1.4354384527104824, 1.2246903104424713, 2.580565903316163, 1.5317129611474292]",8.0,1.6912889525099635,0.4516242346633611,1.2246903104424713,2.580565903316163
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.2571428571428572, 0.942857142857143, 0.5428571428571429, 0.4285714285714286, 0.48571428571428577, 0.2571428571428572, 0.6571428571428573, 0.8285714285714287]",8.0,0.55,0.23288343409858728,0.2571428571428572,0.942857142857143
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 1, 1]",8.0,1.0,0.0,1.0,1.0
RelativeInputStability,local,aggregate,,,"[nan, 0.0014305079844575464, nan, nan, nan, nan, 2.0919118951505173, nan]",2.0,1.0466712015674875,1.0452406935830298,0.0014305079844575464,2.0919118951505173
RelativeOutputStability,local,aggregate,,,"[nan, 119.66883460555334, nan, nan, nan, nan, 443.158781695863, nan]",2.0,281.4138081507082,161.74497354515483,119.66883460555334,443.158781695863
SensitivityN,local,aggregate,,,[0.039942629837237176],1.0,0.039942629837237176,0.0,0.039942629837237176,0.039942629837237176
Sparseness,local,aggregate,,,"[0.5498668310373318, 0.6828908256770713, 0.44706760540994567, 0.580022473751466, 0.5622070713911218, 0.3803966683475368, 0.4515303409085195, 0.6058582944997464]",8.0,0.5324800138778425,0.09248752773017414,0.3803966683475368,0.6828908256770713
Sufficiency,local,aggregate,,,"[0.0, 0.0, 0.75, 0.75, 0.6, 0.0, 0.0, 0.6]",8.0,0.3375,0.3416412592179112,0.0,0.75
