metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.936342521233676, 0.9852445298918587, 0.9018860463953473, 0.9437484169332431, 0.9423669402718091, 0.9589557341166703, 0.9270572156953134, 0.9497387043735204]",8.0,0.9431675136139297,0.02256707744584377,0.9018860463953473,0.9852445298918587
Consistency,local,aggregate,,,"[0.1428571428367347, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
FaithfulnessEstimate,local,aggregate,,,"[-0.9403834770197137, -0.6564702844093107, 0.03608309331479958, -0.49130825029464936, 0.44987091073986185, 0.0, -0.43188177599088695, -0.35257511149974047]",8.0,-0.298333111894955,0.41218227966875737,-0.9403834770197137,0.44987091073986185
LocalLipschitzEstimate,local,aggregate,,,"[16.092189654643338, 14.640489916484627, 10.929702971446137, 11.440075374597672, 13.067292813382563, 3.727210123785297, 22.324889121125914, 24.842593385737544]",8.0,14.633055420150386,6.23324869389807,3.727210123785297,24.842593385737544
MaxSensitivity,local,aggregate,,,"[1.8429520558231713, 1.5606630325317807, 1.5149933188325326, 1.6594884115941049, 1.7800287759329922, 0.638804746631037, 1.619073897947067, 1.643919478811565]",8.0,1.5324904647630313,0.35239842793297144,0.638804746631037,1.8429520558231713
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.6571428571428573, 0.7714285714285715, 0.6, 0.3142857142857143, -0.08571428571428573, 0.0, 0.08571428571428573, -0.6]",8.0,0.21785714285714286,0.43022004336651465,-0.6,0.7714285714285715
NonSensitivity,local,aggregate,,,"[0, 0, 1, 1, 1, 6, 1, 1]",8.0,1.375,1.79843682124227,0.0,6.0
RelativeInputStability,local,aggregate,,,"[nan, nan, 0.0004783710518147091, 0.00012612365352481487, 0.00021395849852034882, 4.209437323330865e-05, 0.7868596475639396, 0.00023747360152585144]",6.0,0.13132627812375977,0.2931634656920204,4.209437323330865e-05,0.7868596475639396
RelativeOutputStability,local,aggregate,,,"[nan, nan, 219.38654229130557, 87.94585915833365, 240.4625059612369, 1375232.1325973964, 2283.1660629758253, 3979.7154627279915]",6.0,230340.46817175183,512013.0524919056,87.94585915833365,1375232.1325973964
SensitivityN,local,aggregate,,,[0.9091512251454561],1.0,0.9091512251454561,0.0,0.9091512251454561,0.9091512251454561
Sparseness,local,aggregate,,,"[0.23650892861255826, 0.1250922545397838, 0.32342203899418825, 0.24946991288118786, 0.24974496872456095, 0.19825268108997537, 0.2810832939230351, 0.21893952009974216]",8.0,0.23531419985812896,0.054838881629693595,0.1250922545397838,0.32342203899418825
Sufficiency,local,aggregate,,,"[1.0, 0.3333333333333333, 1.0, 0.75, 0.8, 0.0, 1.0, 1.0]",8.0,0.7354166666666666,0.35123171166308115,0.0,1.0
