dataset_name,model_name,observation,metric_params,LIME,MAPLE,SHAP
ARAMIS20,AutoEncoder,11917,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",7.341681830861524,330.80965674436356,31.880091368509266
ARAMIS20,AutoEncoder,11918,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",38.57321868178736,44.23660112757899,
ARAMIS20,AutoEncoder,11919,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",8.027096647276757,16.533604652004644,31.030609423185886
ARAMIS20,AutoEncoder,11923,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",4.729946424675206,42.41596156043662,
ARAMIS20,AutoEncoder,11938,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.198293672476856,4.32717469023284,18.759087434270562
ARAMIS20,AutoEncoder,18919,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,18920,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,18923,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.813245023408388,6.526399878400839,3.7072865368158805
ARAMIS20,AutoEncoder,18958,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,20951,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",16.40502441257543,,
ARAMIS20,AutoEncoder,20990,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",0.03604905252881833,5.340428167348484,0.17328934410191785
ARAMIS20,AutoEncoder,35906,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,35911,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,35919,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,44855,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",8.023670566331388,21.081590235417487,2.19443602234832
ARAMIS20,AutoEncoder,45782,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,45816,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",108355.94547696889,64.23596663876981,3.983407171928343
ARAMIS20,AutoEncoder,271817,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.130296590031406,2.9228969654143913,2.6976048992421586
ARAMIS20,AutoEncoder,272788,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",0.007020155332896557,0.04517064586870916,0.03369063287267753
ARAMIS20,AutoEncoder,307641,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
ARAMIS20,AutoEncoder,308756,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.5628784025413105,9.471118301780784,3.2527390284024262
ARAMIS20,AutoEncoder,309426,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
