dataset_name,model_name,observation,metric_params,LIME,MAPLE,SHAP
AHU21,MCD,10163,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1232473.2002251137,2300232160.2668433,79450.6137395283
AHU21,MCD,10164,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",672065.9172465752,5089335268.514415,150445.08807322898
AHU21,MCD,10165,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1075196.2294193525,1028976602.7057732,458069.71653345216
AHU21,MCD,10172,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",257010.68224048615,3633417165.3434906,42833157.13363771
AHU21,MCD,10173,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",4653686.352540644,1172515092.6231675,341162.6628325501
AHU21,MCD,10174,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1715953.6622872758,2551828174.5813117,95112.4603826648
AHU21,MCD,10176,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",880221.877226962,1379676032.630579,529128.735811978
AHU21,MCD,10177,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2063929.018280131,1346588936.7066572,413785.4052223368
AHU21,MCD,10184,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",8694558.587473072,2158643702.9904675,114080.49731796475
AHU21,MCD,10185,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",8897603.350906352,3491510472.718375,98930.40565763251
AHU21,MCD,10187,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1003625.3243605478,15469025.495308388,568031.1815935653
AHU21,MCD,10188,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1246834.8026761897,18785120612.119534,105964.9969160266
AHU21,MCD,10191,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",667720.3693314362,9613422546.243437,970074.5014736027
AHU21,MCD,10197,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",772811.6641832974,52177751731.8137,659444.3256325315
AHU21,MCD,43465,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,29434.4441948832
AHU21,MCD,60711,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",951513.836427218,13806025.14097462,176039.75118227772
AHU21,MCD,62404,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",58095.65868853922,993331218.7653309,25455.866254539054
AHU21,MCD,64473,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",347919.9973904854,1228469.9349128038,35129.72884389246
AHU21,MCD,64782,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",135037.00044939845,174597.2251489706,2316393.818444458
AHU21,MCD,64794,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",1507319.0913408555,163843.79258573143,170908.7987806583
AHU21,MCD,64795,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",4404307.583788847,72622.61333232319,94620.4188162437
AHU21,MCD,64811,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",793844.2618845687,105393.65642090366,302548.15958024864
AHU21,MCD,77140,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",25398.258503453268,3370045417.004127,44665.520526808
AHU21,MCD,77146,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",163470.37416675698,2334598322.1686645,28604.324760975258
AHU21,MCD,77154,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",146595.0130820891,1218787194.809362,37362.448709533106
AHU21,MCD,98666,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",10129.059782672673,417215741.2413103,59238.17551474333
AHU21,MCD,98980,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",42667996.37773464,139767717.37115794,50045.58318075563
AHU21,MCD,102428,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,,
