metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.9501794527032592,,,,,,
Complexity,local,observation,5.0,0.9852056937031589,,,,,,
Complexity,local,observation,249.0,0.8577981044050793,,,,,,
Complexity,local,observation,252.0,0.9034266000058042,,,,,,
Complexity,local,observation,255.0,0.928797798371029,,,,,,
Complexity,local,observation,685.0,0.9672171256288259,,,,,,
Complexity,local,observation,403.0,0.8860585885839145,,,,,,
Complexity,local,observation,420.0,0.8545440753520466,,,,,,
Consistency,local,observation,9.0,0.1428571428367347,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.7142857141836735,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
FaithfulnessEstimate,local,observation,0.0,-0.3695159517217558,,,,,,
FaithfulnessEstimate,local,observation,1.0,-0.7368667006749644,,,,,,
FaithfulnessEstimate,local,observation,2.0,-0.5521373248553493,,,,,,
FaithfulnessEstimate,local,observation,3.0,-0.4997820233546467,,,,,,
FaithfulnessEstimate,local,observation,4.0,-0.5356248760747877,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.8260178193438792,,,,,,
FaithfulnessEstimate,local,observation,6.0,-0.39040494355985367,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,0.0,0.7714285714285715,,,,,,
MonotonicityCorrelation,local,observation,1.0,0.6,,,,,,
MonotonicityCorrelation,local,observation,2.0,0.48571428571428577,,,,,,
MonotonicityCorrelation,local,observation,3.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,4.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.2,,,,,,
MonotonicityCorrelation,local,observation,6.0,-0.6,,,,,,
SensitivityN,local,observation,0.0,-0.08634236871688108,,,,,,
Sparseness,local,observation,9.0,0.2292087789027881,,,,,,
Sparseness,local,observation,5.0,0.12214880460528385,,,,,,
Sparseness,local,observation,249.0,0.37954248985342526,,,,,,
Sparseness,local,observation,252.0,0.31659088022340753,,,,,,
Sparseness,local,observation,255.0,0.27444005901069735,,,,,,
Sparseness,local,observation,685.0,0.16882734218079554,,,,,,
Sparseness,local,observation,403.0,0.3449019233843691,,,,,,
Sparseness,local,observation,420.0,0.3923017619783489,,,,,,
Sufficiency,local,observation,9.0,0.0,,,,,,
Sufficiency,local,observation,5.0,0.0,,,,,,
Sufficiency,local,observation,249.0,1.0,,,,,,
Sufficiency,local,observation,252.0,1.0,,,,,,
Sufficiency,local,observation,255.0,1.0,,,,,,
Sufficiency,local,observation,685.0,0.75,,,,,,
Sufficiency,local,observation,403.0,1.0,,,,,,
Sufficiency,local,observation,420.0,1.0,,,,,,
