metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.9939685686670645,,,,,,
Complexity,local,observation,5.0,0.9936096502961461,,,,,,
Complexity,local,observation,249.0,0.9986325168515808,,,,,,
Complexity,local,observation,252.0,0.9992230061822185,,,,,,
Complexity,local,observation,255.0,0.9991108015830155,,,,,,
Complexity,local,observation,685.0,0.9755117843612167,,,,,,
Complexity,local,observation,403.0,0.9953482635527828,,,,,,
Complexity,local,observation,420.0,0.9895658041464024,,,,,,
Sparseness,local,observation,9.0,0.07105727890514225,,,,,,
Sparseness,local,observation,5.0,0.07132609584929793,,,,,,
Sparseness,local,observation,249.0,0.035534550967175074,,,,,,
Sparseness,local,observation,252.0,0.028333299333374015,,,,,,
Sparseness,local,observation,255.0,0.03082785044218011,,,,,,
Sparseness,local,observation,685.0,0.1612742252023479,,,,,,
Sparseness,local,observation,403.0,0.07304955213532366,,,,,,
Sparseness,local,observation,420.0,0.10785010087184889,,,,,,
