metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,0.7243041407659943,,,,,,
AvgSensitivity,local,observation,5.0,0.7180799558147802,,,,,,
AvgSensitivity,local,observation,249.0,0.695521245935043,,,,,,
AvgSensitivity,local,observation,252.0,0.63453683889428,,,,,,
AvgSensitivity,local,observation,255.0,0.6670062314492994,,,,,,
AvgSensitivity,local,observation,685.0,0.5309918901035189,,,,,,
AvgSensitivity,local,observation,403.0,0.6328460256185136,,,,,,
AvgSensitivity,local,observation,420.0,0.6358792117757966,,,,,,
Complexity,local,observation,9.0,1.780952595024269,,,,,,
Complexity,local,observation,5.0,1.7803094996344961,,,,,,
Complexity,local,observation,249.0,1.789309268347865,,,,,,
Complexity,local,observation,252.0,1.7903672831975133,,,,,,
Complexity,local,observation,255.0,1.7901662395444002,,,,,,
Complexity,local,observation,685.0,1.7478824769727663,,,,,,
Complexity,local,observation,403.0,1.7834246764004003,,,,,,
Complexity,local,observation,420.0,1.7730639000035913,,,,,,
Consistency,local,observation,9.0,0.9999999998571428,,,,,,
Consistency,local,observation,5.0,0.9999999998571428,,,,,,
Consistency,local,observation,249.0,0.9999999998571428,,,,,,
Consistency,local,observation,252.0,0.9999999998571428,,,,,,
Consistency,local,observation,255.0,0.9999999998571428,,,,,,
Consistency,local,observation,685.0,0.9999999998571428,,,,,,
Consistency,local,observation,403.0,0.9999999998571428,,,,,,
Consistency,local,observation,420.0,0.9999999998571428,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.936054113078512,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.9224095579220187,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.029929635101370533,,,,,,
FaithfulnessEstimate,local,observation,252.0,0.18633557303614873,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.09085020984106235,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.06070671150148319,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.6754267345989187,,,,,,
FaithfulnessEstimate,local,observation,420.0,-0.4287096054450948,,,,,,
LocalLipschitzEstimate,local,observation,9.0,1.9501854764741975,,,,,,
LocalLipschitzEstimate,local,observation,5.0,4.1845569172019985,,,,,,
LocalLipschitzEstimate,local,observation,249.0,1.1105942681633176,,,,,,
LocalLipschitzEstimate,local,observation,252.0,1.282375714443421,,,,,,
LocalLipschitzEstimate,local,observation,255.0,0.8236074780838917,,,,,,
LocalLipschitzEstimate,local,observation,685.0,0.5482179742360258,,,,,,
LocalLipschitzEstimate,local,observation,403.0,1.030923693995312,,,,,,
LocalLipschitzEstimate,local,observation,420.0,1.1235521977600147,,,,,,
MaxSensitivity,local,observation,9.0,0.756225525935215,,,,,,
MaxSensitivity,local,observation,5.0,0.7492811439705748,,,,,,
MaxSensitivity,local,observation,249.0,0.7442066452532393,,,,,,
MaxSensitivity,local,observation,252.0,0.7153639863118701,,,,,,
MaxSensitivity,local,observation,255.0,0.7207535001322006,,,,,,
MaxSensitivity,local,observation,685.0,0.605865107480927,,,,,,
MaxSensitivity,local,observation,403.0,0.6839522429055968,,,,,,
MaxSensitivity,local,observation,420.0,0.711624230226798,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.2,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,249.0,-0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,252.0,-0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,255.0,-0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,685.0,-0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,403.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,420.0,-0.17393131069573456,,,,,,
RelativeInputStability,local,observation,0.0,8.919651489295659e-05,,,,,,
RelativeInputStability,local,observation,1.0,6.622288463127961e-05,,,,,,
RelativeInputStability,local,observation,2.0,0.00026665250786441305,,,,,,
RelativeInputStability,local,observation,3.0,5.4470770513221706e-05,,,,,,
RelativeInputStability,local,observation,4.0,6.28358902999819e-05,,,,,,
RelativeInputStability,local,observation,5.0,0.5113928126691332,,,,,,
RelativeInputStability,local,observation,6.0,5.89288957308043e-05,,,,,,
RelativeOutputStability,local,observation,0.0,46.83035610748376,,,,,,
RelativeOutputStability,local,observation,1.0,11.523751284284211,,,,,,
RelativeOutputStability,local,observation,2.0,12.05486102083629,,,,,,
RelativeOutputStability,local,observation,3.0,25.018822996095626,,,,,,
RelativeOutputStability,local,observation,4.0,122.05920310204556,,,,,,
RelativeOutputStability,local,observation,5.0,9.810807661539036,,,,,,
RelativeOutputStability,local,observation,6.0,6.041737260976313,,,,,,
Sparseness,local,observation,9.0,0.07105727890514225,,,,,,
Sparseness,local,observation,5.0,0.07132609584929793,,,,,,
Sparseness,local,observation,249.0,0.035534550967175074,,,,,,
Sparseness,local,observation,252.0,0.028333299333374015,,,,,,
Sparseness,local,observation,255.0,0.03082785044218011,,,,,,
Sparseness,local,observation,685.0,0.1612742252023479,,,,,,
Sparseness,local,observation,403.0,0.07304955213532366,,,,,,
Sparseness,local,observation,420.0,0.10785010087184889,,,,,,
Sufficiency,local,observation,9.0,1.0,,,,,,
Sufficiency,local,observation,5.0,1.0,,,,,,
Sufficiency,local,observation,249.0,1.0,,,,,,
Sufficiency,local,observation,252.0,1.0,,,,,,
Sufficiency,local,observation,255.0,1.0,,,,,,
Sufficiency,local,observation,685.0,1.0,,,,,,
Sufficiency,local,observation,403.0,1.0,,,,,,
Sufficiency,local,observation,420.0,1.0,,,,,,
