metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.716399594644513, 0.7139930083811501, 0.6768178870175083, 0.6503145893376869, 0.645620478222023, 0.5310490484458835, 0.6167349214506731, 0.628039018939318]",8.0,0.6473710683048446,0.05581820748305669,0.5310490484458835,0.716399594644513
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[1.780952595024269, 1.7803094996344961, 1.789309268347865, 1.7903672831975133, 1.7901662395444002, 1.7478824769727663, 1.7834246764004003, 1.7730639000035913]",8.0,1.7794344923906626,0.013168681967128124,1.7478824769727663,1.7903672831975133
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[-0.936054113078512, -0.9224095579220187, -0.02992963510137056, 0.18633557303614873, -0.09085020984106237, 0.06070671150148319, -0.6754267345989187, -0.4287096054450948]",8.0,-0.35454219643116813,0.41967015867412844,-0.936054113078512,0.18633557303614873
LocalLipschitzEstimate,local,aggregate,,,"[1.8818900720697338, 1.3855443718028198, 1.0138854767713574, 1.2446937218901883, 1.1470812804245851, 0.7552153073500446, 1.360469138523727, 0.9970625028906632]",8.0,1.22323023396539,0.3160869272281092,0.7552153073500446,1.8818900720697338
MaxSensitivity,local,aggregate,,,"[0.7666919835473887, 0.7733039392555208, 0.7328561892360158, 0.717870942780747, 0.7183617203728552, 0.619513764673582, 0.6923005588468701, 0.7029602600634095]",8.0,0.7154824198470486,0.04498024113162017,0.619513764673582,0.7733039392555208
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.3714285714285715, 0.3714285714285715, -0.4285714285714286, 0.028571428571428574, 0.028571428571428574, 0.08571428571428573, 0.08571428571428573, -0.3188740696088466]",8.0,0.02799788415603705,0.26723771895966697,-0.4285714285714286,0.3714285714285715
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 0, 2]",8.0,1.0,0.5,0.0,2.0
PGI.mean_score,local,aggregate,,,0.10318731446750462,1.0,0.10318731446750462,0.0,0.10318731446750462,0.10318731446750462
PGI.score,local,aggregate,,,"[0.023066634312272072, 0.02837347984313965, 0.09079422056674957, 0.07812006026506424, 0.07508289068937302, 0.14600582420825958, 0.1797194629907608, 0.20433594286441803]",8.0,0.10318731446750462,0.06275934934922461,0.023066634312272072,0.20433594286441803
PGU.mean_score,local,aggregate,,,0.10318731446750462,1.0,0.10318731446750462,0.0,0.10318731446750462,0.10318731446750462
PGU.score,local,aggregate,,,"[0.023066634312272072, 0.02837347984313965, 0.09079422056674957, 0.07812006026506424, 0.07508289068937302, 0.14600582420825958, 0.1797194629907608, 0.20433594286441803]",8.0,0.10318731446750462,0.06275934934922461,0.023066634312272072,0.20433594286441803
RelativeInputStability,local,aggregate,,,"[6.659133392357682e-05, 5.660219130855924e-05, 0.00019989465017470202, 5.0538005714050296e-05, 6.39262624124113e-05, nan, 0.29707809894985787, 6.618573942033052e-05]",7.0,0.04251169101897307,0.10392631206767007,5.0538005714050296e-05,0.29707809894985787
RelativeOutputStability,local,aggregate,,,"[18.738603232563563, 12.466721388510692, 22.04390475207589, 351.57531822469235, 63.71803424276134, nan, 6.436704972475481, 6.169201445882811]",7.0,68.73549832270888,116.90361690130217,6.169201445882811,351.57531822469235
SensitivityN,local,aggregate,,,[nan],0.0,,,,
Sparseness,local,aggregate,,,"[0.07105727890514225, 0.07132609584929793, 0.035534550967175074, 0.028333299333374015, 0.03082785044218011, 0.1612742252023479, 0.07304955213532366, 0.10785010087184889]",8.0,0.07240661921333623,0.0421127865878666,0.028333299333374015,0.1612742252023479
Sufficiency,local,aggregate,,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",8.0,1.0,0.0,1.0,1.0
