metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0.0,0.0
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[1.7885835843797182, 1.7885835843797182, 1.7885835843797182, 1.7885835843797182, 1.7885835843797182, 1.7885835843797182, 1.7885835843797182, 1.7885835843797182]",8.0,1.7885835843797182,0.0,1.7885835843797182,1.7885835843797182
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
Faithfulness,local,aggregate,,,"[-0.8691659077463405, -0.8581416437464179, -0.9259685520574376, -0.9674884767637066, -0.977622374984256, -0.9610255780371488, -0.668741530772482, -0.6778047121111772]",8.0,-0.8632448470273708,0.11711371241622902,-0.977622374984256,-0.668741530772482
FaithfulnessEstimate,local,aggregate,,,"[-0.9368859011787088, -0.9541513157794975, -0.8169190216656033, -0.914097911064875, -0.9137440654593069, -0.918577570452088, -0.440879817048195, -0.4967082481525219]",8.0,-0.7989954813500996,0.19485521465417086,-0.9541513157794975,-0.440879817048195
LocalLipschitzEstimate,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0.0,0.0
MaxSensitivity,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0.0,0.0
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.6, 0.5428571428571429, 0.5428571428571429, 0.4285714285714286, 0.48571428571428577, 0.14285714285714288, 0.942857142857143, 0.7142857142857143]",8.0,0.55,0.21464256001881027,0.14285714285714288,0.942857142857143
MonotonicityMetric,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 0, 2]",8.0,1.0,0.5,0.0,2.0
RelativeInputStability,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0]",7.0,0.0,0.0,0.0,0.0
RelativeOutputStability,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, nan, 0.0, 0.0]",7.0,0.0,0.0,0.0,0.0
SensitivityN,local,aggregate,,,[nan],0.0,,,,
Sparseness,local,aggregate,,,"[0.037162504771158185, 0.037162504771158185, 0.037162504771158185, 0.037162504771158185, 0.037162504771158185, 0.037162504771158185, 0.037162504771158185, 0.037162504771158185]",8.0,0.037162504771158185,0.0,0.037162504771158185,0.037162504771158185
Sufficiency,local,aggregate,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8.0,0.0,0.0,0.0,0.0
