metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.7569298019031561,,,,,,
Complexity,local,observation,5.0,0.7332407169862424,,,,,,
Complexity,local,observation,249.0,0.8192901468577047,,,,,,
Complexity,local,observation,252.0,0.8789185651457753,,,,,,
Complexity,local,observation,255.0,0.8820450782223263,,,,,,
Complexity,local,observation,685.0,0.9393808052272832,,,,,,
Complexity,local,observation,403.0,0.8111089912567305,,,,,,
Complexity,local,observation,420.0,0.8251795996876873,,,,,,
Consistency,local,observation,9.0,0.9999999998571428,,,,,,
Consistency,local,observation,5.0,0.9999999998571428,,,,,,
Consistency,local,observation,249.0,0.9999999998571428,,,,,,
Consistency,local,observation,252.0,0.9999999998571428,,,,,,
Consistency,local,observation,255.0,0.9999999998571428,,,,,,
Consistency,local,observation,685.0,0.9999999998571428,,,,,,
Consistency,local,observation,403.0,0.9999999998571428,,,,,,
Consistency,local,observation,420.0,0.9999999998571428,,,,,,
Sparseness,local,observation,9.0,0.5026618404699436,,,,,,
Sparseness,local,observation,5.0,0.5079807939040909,,,,,,
Sparseness,local,observation,249.0,0.43815192067708025,,,,,,
Sparseness,local,observation,252.0,0.3569079615299232,,,,,,
Sparseness,local,observation,255.0,0.35475548940592166,,,,,,
Sparseness,local,observation,685.0,0.25673172702238417,,,,,,
Sparseness,local,observation,403.0,0.44488723300502053,,,,,,
Sparseness,local,observation,420.0,0.43195575623503957,,,,,,
