metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.7569298019031561, 0.7332407169862424, 0.8192901468577047, 0.8789185651457753, 0.8820450782223263, 0.9393808052272832, 0.8111089912567305, 0.8251795996876873]",8.0,0.8307617131608632,0.06349966063278423,0.7332407169862424,0.9393808052272832
Consistency,local,aggregate,,,"[0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428, 0.9999999998571428]",8.0,0.9999999998571428,0.0,0.9999999998571428,0.9999999998571428
FaithfulnessEstimate,local,aggregate,,,"[-0.8431417802785149, 0.09211704780539778, -0.4266311704364584, -0.3256946306747169, -0.06220961731223618, -0.7761044875404643, -0.12797455210235034, -0.681091494422702]",8.0,-0.3938413356202557,0.32654404390297825,-0.8431417802785149,0.09211704780539778
LocalLipschitzEstimate,local,aggregate,,,"[8.820036824110616, 8.526460496330882, 7.713173350970771, 7.775714506297242, 9.866009030635958, 4.483466522871817, 8.640287071006561, 8.220263416401158]",8.0,8.005676402328126,1.4742971922286876,4.483466522871817,9.866009030635958
MaxSensitivity,local,aggregate,,,"[2.391906227589839, 1.648157450218802, 1.5850239366906065, 1.272451777278065, 1.4095193367085295, 0.5738787197661959, 1.348988252399183, 1.1487719544290769]",8.0,1.4223372068850373,0.47961646147056947,0.5738787197661959,2.391906227589839
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.7142857142857143, 0.4285714285714286, 0.2, 0.7142857142857143, 0.7142857142857143, 0.3714285714285715, 0.2, 0.8285714285714287]",8.0,0.5214285714285715,0.2354977360262077,0.2,0.8285714285714287
NonSensitivity,local,aggregate,,,"[1, 1, 3, 3, 3, 2, 4, 4]",8.0,2.625,1.1110243021644486,1.0,4.0
RelativeInputStability,local,aggregate,,,"[nan, nan, nan, nan, nan, nan, nan, nan]",0.0,,,,
RelativeOutputStability,local,aggregate,,,"[nan, nan, nan, nan, nan, nan, nan, nan]",0.0,,,,
SensitivityN,local,aggregate,,,[0.5978690521677947],1.0,0.5978690521677947,0.0,0.5978690521677947,0.5978690521677947
Sparseness,local,aggregate,,,"[0.5026618404699436, 0.5079807939040909, 0.43815192067708025, 0.3569079615299232, 0.35475548940592166, 0.25673172702238417, 0.44488723300502053, 0.43195575623503957]",8.0,0.4117540902811755,0.07906913659044935,0.25673172702238417,0.5079807939040909
Sufficiency,local,aggregate,,,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",8.0,0.75,0.4330127018922193,0.0,1.0
