metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.6502639268758277,,,,,,
Complexity,local,observation,5.0,0.480856992307815,,,,,,
Complexity,local,observation,249.0,0.7692844133611616,,,,,,
Complexity,local,observation,252.0,0.63454677990839,,,,,,
Complexity,local,observation,255.0,0.6738798304508333,,,,,,
Complexity,local,observation,685.0,0.8420942307706831,,,,,,
Complexity,local,observation,403.0,0.7668622920110749,,,,,,
Complexity,local,observation,420.0,0.6236172798830719,,,,,,
Consistency,local,observation,9.0,0.7142857141836735,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.1428571428367347,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
FaithfulnessEstimate,local,observation,9.0,0.775390245555495,,,,,,
FaithfulnessEstimate,local,observation,5.0,0.6269791221165174,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.2092074381414775,,,,,,
FaithfulnessEstimate,local,observation,252.0,0.2762594060419363,,,,,,
FaithfulnessEstimate,local,observation,255.0,0.34681379486879815,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.47674035508530854,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.40408792326312504,,,,,,
FaithfulnessEstimate,local,observation,420.0,0.07085296181364728,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.942857142857143,,,,,,
MonotonicityCorrelation,local,observation,249.0,0.5428571428571429,,,,,,
MonotonicityCorrelation,local,observation,252.0,0.48571428571428577,,,,,,
MonotonicityCorrelation,local,observation,255.0,0.5428571428571429,,,,,,
MonotonicityCorrelation,local,observation,685.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,403.0,0.6571428571428573,,,,,,
MonotonicityCorrelation,local,observation,420.0,0.942857142857143,,,,,,
SensitivityN,local,observation,0.0,-0.6584829885079909,,,,,,
Sparseness,local,observation,9.0,0.549866831037334,,,,,,
Sparseness,local,observation,5.0,0.6828908256770706,,,,,,
Sparseness,local,observation,249.0,0.44706760540994794,,,,,,
Sparseness,local,observation,252.0,0.5800224737514681,,,,,,
Sparseness,local,observation,255.0,0.5622070713911205,,,,,,
Sparseness,local,observation,685.0,0.3803966683475387,,,,,,
Sparseness,local,observation,403.0,0.45153034090851607,,,,,,
Sparseness,local,observation,420.0,0.6058582944997444,,,,,,
Sufficiency,local,observation,9.0,0.0,,,,,,
Sufficiency,local,observation,5.0,0.0,,,,,,
Sufficiency,local,observation,249.0,0.75,,,,,,
Sufficiency,local,observation,252.0,0.75,,,,,,
Sufficiency,local,observation,255.0,0.6,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,0.0,,,,,,
Sufficiency,local,observation,420.0,0.6,,,,,,
