metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,aggregate,,,"[False, False, False, False, False, False, False, False]",8.0,0.0,0.0,0.0,0.0
Complexity,local,aggregate,,,"[0.650263926875833, 0.4808569923078145, 0.7692844133611614, 0.6345467799083916, 0.6738798304508371, 0.842094230770685, 0.7668622920110738, 0.6236172798830713]",8.0,0.6801757181961084,0.10465161922663607,0.4808569923078145,0.842094230770685
Consistency,local,aggregate,,,"[0.7142857141836735, 0.1428571428367347, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.7142857141836735, 0.1428571428367347, 0.7142857141836735]",8.0,0.5714285713469388,0.24743582961734878,0.1428571428367347,0.7142857141836735
FaithfulnessEstimate,local,aggregate,,,"[-0.5858411204928908, -0.8146568337298193, -0.426330828352693, -0.595251814877133, -0.8080584120391747, -0.5589229309197711, -0.756353519932243, -0.8376692681278551]",8.0,-0.6728855910589475,0.14136469420370287,-0.8376692681278551,-0.426330828352693
LocalLipschitzEstimate,local,aggregate,,,"[15.114428457110652, 10.030746016358217, 9.671254523157529, 9.240917479397472, 7.087062446805209, 6.884369011714352, 14.779312453794688, 12.330764110170485]",8.0,10.642356812313576,2.9582147475226215,6.884369011714352,15.114428457110652
MaxSensitivity,local,aggregate,,,"[1.5081524232658692, 1.5306212857600119, 2.3474077147829666, 1.4747556985100074, 1.4192780815372954, 1.2262937645749716, 2.6144191828069223, 1.4773900827788642]",8.0,1.6997897792521135,0.4642582851475134,1.2262937645749716,2.6144191828069223
Monotonicity,local,aggregate,,,"[True, True, True, True, True, True, True, True]",8.0,1.0,0.0,1.0,1.0
MonotonicityCorrelation,local,aggregate,,,"[0.2571428571428572, 0.942857142857143, 0.5428571428571429, 0.6, 0.5428571428571429, 0.2, 0.6, 0.8285714285714287]",8.0,0.5642857142857143,0.2354977360262077,0.2,0.942857142857143
NonSensitivity,local,aggregate,,,"[1, 1, 1, 1, 1, 1, 1, 1]",8.0,1.0,0.0,1.0,1.0
RelativeInputStability,local,aggregate,,,"[nan, 0.0006196069201423108, nan, nan, nan, nan, 2.3710186535050584, nan]",2.0,1.1858191302126004,1.185199523292458,0.0006196069201423108,2.3710186535050584
RelativeOutputStability,local,aggregate,,,"[nan, 160.65111618478232, nan, nan, nan, nan, 721.8319260798679, nan]",2.0,441.24152113232515,280.59040494754277,160.65111618478232,721.8319260798679
SensitivityN,local,aggregate,,,[-0.4014561078776283],1.0,-0.4014561078776283,0.0,-0.4014561078776283,-0.4014561078776283
Sparseness,local,aggregate,,,"[0.5498668310373312, 0.6828908256770709, 0.4470676054099449, 0.5800224737514655, 0.5622070713911209, 0.3803966683475365, 0.45153034090851907, 0.6058582944997459]",8.0,0.5324800138778418,0.09248752773017417,0.3803966683475365,0.6828908256770709
Sufficiency,local,aggregate,,,"[0.0, 0.0, 0.75, 0.75, 0.6, 0.0, 0.0, 0.6]",8.0,0.3375,0.3416412592179112,0.0,0.75
