metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,0.3308423851403678,,,,,,
AvgSensitivity,local,observation,5.0,0.35217965488476277,,,,,,
AvgSensitivity,local,observation,249.0,0.3571637922343843,,,,,,
AvgSensitivity,local,observation,252.0,0.39978224445417576,,,,,,
AvgSensitivity,local,observation,255.0,0.3873319473577207,,,,,,
AvgSensitivity,local,observation,685.0,0.43542228561700613,,,,,,
AvgSensitivity,local,observation,403.0,0.35568864844415365,,,,,,
AvgSensitivity,local,observation,420.0,0.3473438448886532,,,,,,
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.7060178216272676,,,,,,
Complexity,local,observation,5.0,0.7267515060159658,,,,,,
Complexity,local,observation,249.0,0.7421141624815769,,,,,,
Complexity,local,observation,252.0,0.7379863789131519,,,,,,
Complexity,local,observation,255.0,0.7379299826314959,,,,,,
Complexity,local,observation,685.0,0.7448369162137588,,,,,,
Complexity,local,observation,403.0,0.7401839019045389,,,,,,
Complexity,local,observation,420.0,0.7515879296380051,,,,,,
Consistency,local,observation,9.0,0.9999999998571428,,,,,,
Consistency,local,observation,5.0,0.9999999998571428,,,,,,
Consistency,local,observation,249.0,0.9999999998571428,,,,,,
Consistency,local,observation,252.0,0.9999999998571428,,,,,,
Consistency,local,observation,255.0,0.9999999998571428,,,,,,
Consistency,local,observation,685.0,0.9999999998571428,,,,,,
Consistency,local,observation,403.0,0.9999999998571428,,,,,,
Consistency,local,observation,420.0,0.9999999998571428,,,,,,
Faithfulness,local,observation,9.0,-0.5564822927642346,,,,,,
Faithfulness,local,observation,5.0,-0.17698232847212625,,,,,,
Faithfulness,local,observation,249.0,-0.3756981430829559,,,,,,
Faithfulness,local,observation,252.0,-0.2941889431857588,,,,,,
Faithfulness,local,observation,255.0,-0.32811613172608933,,,,,,
Faithfulness,local,observation,685.0,-0.8537231408001716,,,,,,
Faithfulness,local,observation,403.0,-0.11341363506999358,,,,,,
Faithfulness,local,observation,420.0,-0.06881562143503572,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.5047513300608502,,,,,,
FaithfulnessEstimate,local,observation,5.0,0.3647301034121396,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.9650662119150983,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.8582075337941819,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.8296608118637288,,,,,,
FaithfulnessEstimate,local,observation,685.0,-0.2789883093110609,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.8114692181488457,,,,,,
FaithfulnessEstimate,local,observation,420.0,-0.780545944655436,,,,,,
LocalLipschitzEstimate,local,observation,9.0,0.8534727034501672,,,,,,
LocalLipschitzEstimate,local,observation,5.0,0.750388853233207,,,,,,
LocalLipschitzEstimate,local,observation,249.0,1.1871632932305591,,,,,,
LocalLipschitzEstimate,local,observation,252.0,1.322571970290738,,,,,,
LocalLipschitzEstimate,local,observation,255.0,1.371149962775388,,,,,,
LocalLipschitzEstimate,local,observation,685.0,2.589470233994387,,,,,,
LocalLipschitzEstimate,local,observation,403.0,2.240785797453531,,,,,,
LocalLipschitzEstimate,local,observation,420.0,1.7673477574661325,,,,,,
MaxSensitivity,local,observation,9.0,0.5626441064416112,,,,,,
MaxSensitivity,local,observation,5.0,1.2093221819252071,,,,,,
MaxSensitivity,local,observation,249.0,1.8908302114764213,,,,,,
MaxSensitivity,local,observation,252.0,1.226085226708353,,,,,,
MaxSensitivity,local,observation,255.0,1.1080647773518824,,,,,,
MaxSensitivity,local,observation,685.0,0.7795499028243713,,,,,,
MaxSensitivity,local,observation,403.0,1.3456718323104626,,,,,,
MaxSensitivity,local,observation,420.0,1.3254624358668075,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.8285714285714287,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.8285714285714287,,,,,,
MonotonicityCorrelation,local,observation,249.0,0.8285714285714287,,,,,,
MonotonicityCorrelation,local,observation,252.0,0.8285714285714287,,,,,,
