metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.5816139028125341,,,,,,
Complexity,local,observation,5.0,0.7067797564188982,,,,,,
Complexity,local,observation,249.0,0.6360980640082747,,,,,,
Complexity,local,observation,252.0,0.7244155268487465,,,,,,
Complexity,local,observation,255.0,0.7632772174865345,,,,,,
Complexity,local,observation,685.0,0.6142159338485138,,,,,,
Complexity,local,observation,403.0,0.7298632665515776,,,,,,
Complexity,local,observation,420.0,0.6492905193295554,,,,,,
Consistency,local,observation,9.0,0.9999999998571428,,,,,,
Consistency,local,observation,5.0,0.9999999998571428,,,,,,
Consistency,local,observation,249.0,0.9999999998571428,,,,,,
Consistency,local,observation,252.0,0.9999999998571428,,,,,,
Consistency,local,observation,255.0,0.9999999998571428,,,,,,
Consistency,local,observation,685.0,0.9999999998571428,,,,,,
Consistency,local,observation,403.0,0.9999999998571428,,,,,,
Consistency,local,observation,420.0,0.9999999998571428,,,,,,
FaithfulnessEstimate,local,observation,9.0,0.043712262534212364,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.8890597721156629,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.6162517949279132,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.3299512200508951,,,,,,
FaithfulnessEstimate,local,observation,255.0,-0.2312740596456683,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.5413843965719349,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.6922449552639018,,,,,,
FaithfulnessEstimate,local,observation,420.0,-0.34385907937248844,,,,,,
LocalLipschitzEstimate,local,observation,9.0,6.928056187715553,,,,,,
LocalLipschitzEstimate,local,observation,5.0,6.665203391848566,,,,,,
LocalLipschitzEstimate,local,observation,249.0,3.687715907988455,,,,,,
