metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
AvgSensitivity,local,observation,9.0,0.5913048443593002,,,,,,
AvgSensitivity,local,observation,5.0,0.5632873208262109,,,,,,
AvgSensitivity,local,observation,249.0,1.0316318132653168,,,,,,
AvgSensitivity,local,observation,252.0,0.9418436975944904,,,,,,
AvgSensitivity,local,observation,255.0,0.9431004229132588,,,,,,
AvgSensitivity,local,observation,685.0,0.267936375913678,,,,,,
AvgSensitivity,local,observation,403.0,1.2514117923945647,,,,,,
AvgSensitivity,local,observation,420.0,1.1350161044036446,,,,,,
Completeness,local,observation,9.0,0.0,,,,,,
Completeness,local,observation,5.0,0.0,,,,,,
Completeness,local,observation,249.0,0.0,,,,,,
Completeness,local,observation,252.0,0.0,,,,,,
Completeness,local,observation,255.0,0.0,,,,,,
Completeness,local,observation,685.0,0.0,,,,,,
Completeness,local,observation,403.0,0.0,,,,,,
Completeness,local,observation,420.0,0.0,,,,,,
Complexity,local,observation,9.0,0.604098531784508,,,,,,
Complexity,local,observation,5.0,0.5887529602103476,,,,,,
Complexity,local,observation,249.0,0.7635602464348151,,,,,,
Complexity,local,observation,252.0,0.7026194048654869,,,,,,
Complexity,local,observation,255.0,0.7072699774324579,,,,,,
Complexity,local,observation,685.0,0.4757871598174074,,,,,,
Complexity,local,observation,403.0,0.7455881025041159,,,,,,
Complexity,local,observation,420.0,0.8169733311978329,,,,,,
Consistency,local,observation,9.0,0.1428571428367347,,,,,,
Consistency,local,observation,5.0,0.1428571428367347,,,,,,
Consistency,local,observation,249.0,0.7142857141836735,,,,,,
Consistency,local,observation,252.0,0.7142857141836735,,,,,,
Consistency,local,observation,255.0,0.7142857141836735,,,,,,
Consistency,local,observation,685.0,0.7142857141836735,,,,,,
Consistency,local,observation,403.0,0.7142857141836735,,,,,,
Consistency,local,observation,420.0,0.7142857141836735,,,,,,
Faithfulness,local,observation,0.0,-0.8032145012231352,,,,,,
Faithfulness,local,observation,1.0,-0.2289255374411281,,,,,,
Faithfulness,local,observation,2.0,0.2874776978034138,,,,,,
Faithfulness,local,observation,3.0,0.3621820757637351,,,,,,
Faithfulness,local,observation,4.0,0.41662195321302165,,,,,,
Faithfulness,local,observation,5.0,-0.13516337162550185,,,,,,
Faithfulness,local,observation,6.0,-0.3097168902507154,,,,,,
FaithfulnessEstimate,local,observation,9.0,-0.632047167384048,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.44494655268518685,,,,,,
FaithfulnessEstimate,local,observation,249.0,-0.5613868635640321,,,,,,
FaithfulnessEstimate,local,observation,252.0,-0.05754681303581341,,,,,,
FaithfulnessEstimate,local,observation,255.0,0.4504757739515237,,,,,,
FaithfulnessEstimate,local,observation,685.0,0.0,,,,,,
FaithfulnessEstimate,local,observation,403.0,-0.10712553376681092,,,,,,
FaithfulnessEstimate,local,observation,420.0,0.0017491719703064956,,,,,,
LocalLipschitzEstimate,local,observation,9.0,1.8901701731371525,,,,,,
LocalLipschitzEstimate,local,observation,5.0,2.5835015978314817,,,,,,
LocalLipschitzEstimate,local,observation,249.0,2.316912827984584,,,,,,
LocalLipschitzEstimate,local,observation,252.0,2.2747729228653175,,,,,,
LocalLipschitzEstimate,local,observation,255.0,3.3822526025341193,,,,,,
LocalLipschitzEstimate,local,observation,685.0,2.4367048110554745,,,,,,
LocalLipschitzEstimate,local,observation,403.0,2.4989859101555325,,,,,,
LocalLipschitzEstimate,local,observation,420.0,3.595742135408597,,,,,,
MaxSensitivity,local,observation,9.0,2.3518493445865274,,,,,,
MaxSensitivity,local,observation,5.0,2.4552454025079973,,,,,,
MaxSensitivity,local,observation,249.0,2.758629683213942,,,,,,
MaxSensitivity,local,observation,252.0,2.761289190156212,,,,,,
MaxSensitivity,local,observation,255.0,2.7371109770808038,,,,,,
MaxSensitivity,local,observation,685.0,0.7042174007554922,,,,,,
MaxSensitivity,local,observation,403.0,2.7679324210932377,,,,,,
MaxSensitivity,local,observation,420.0,2.9524750669192557,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,9.0,0.2,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.3714285714285715,,,,,,
MonotonicityCorrelation,local,observation,249.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,252.0,0.2571428571428572,,,,,,
MonotonicityCorrelation,local,observation,255.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,685.0,0.0,,,,,,
MonotonicityCorrelation,local,observation,403.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,420.0,0.2,,,,,,
MonotonicityMetric,local,observation,9.0,0.0,,,,,,
MonotonicityMetric,local,observation,5.0,0.0,,,,,,
MonotonicityMetric,local,observation,249.0,0.0,,,,,,
MonotonicityMetric,local,observation,252.0,0.0,,,,,,
MonotonicityMetric,local,observation,255.0,0.0,,,,,,
MonotonicityMetric,local,observation,685.0,1.0,,,,,,
MonotonicityMetric,local,observation,403.0,0.0,,,,,,
MonotonicityMetric,local,observation,420.0,0.0,,,,,,
NonSensitivity,local,observation,9.0,0.0,,,,,,
NonSensitivity,local,observation,5.0,0.0,,,,,,
NonSensitivity,local,observation,249.0,1.0,,,,,,
NonSensitivity,local,observation,252.0,1.0,,,,,,
NonSensitivity,local,observation,255.0,1.0,,,,,,
NonSensitivity,local,observation,685.0,6.0,,,,,,
NonSensitivity,local,observation,403.0,1.0,,,,,,
NonSensitivity,local,observation,420.0,1.0,,,,,,
RelativeInputStability,local,observation,0.0,0.0010496678381294547,,,,,,
RelativeInputStability,local,observation,1.0,0.00045350793325590037,,,,,,
RelativeInputStability,local,observation,2.0,0.000515883212269139,,,,,,
RelativeInputStability,local,observation,3.0,4.8588561353488605e-05,,,,,,
RelativeInputStability,local,observation,4.0,17.230735466647666,,,,,,
RelativeInputStability,local,observation,5.0,0.0004164902768346206,,,,,,
RelativeOutputStability,local,observation,0.0,290.69123993562505,,,,,,
RelativeOutputStability,local,observation,1.0,471.9736193352293,,,,,,
RelativeOutputStability,local,observation,2.0,739.1848937222669,,,,,,
RelativeOutputStability,local,observation,3.0,2931094.5976109933,,,,,,
RelativeOutputStability,local,observation,4.0,19312.259138175847,,,,,,
RelativeOutputStability,local,observation,5.0,11384.055765624456,,,,,,
SensitivityN,local,observation,0.0,0.24581191079879,,,,,,
Sparseness,local,observation,9.0,0.6122322507212142,,,,,,
Sparseness,local,observation,5.0,0.6113716047127197,,,,,,
Sparseness,local,observation,249.0,0.47913952640702234,,,,,,
Sparseness,local,observation,252.0,0.5284351816906657,,,,,,
Sparseness,local,observation,255.0,0.5246419605507529,,,,,,
Sparseness,local,observation,685.0,0.6922900563302506,,,,,,
Sparseness,local,observation,403.0,0.5067460900904218,,,,,,
Sparseness,local,observation,420.0,0.43351819096252003,,,,,,
Sufficiency,local,observation,9.0,0.16666666666666666,,,,,,
Sufficiency,local,observation,5.0,0.16666666666666666,,,,,,
Sufficiency,local,observation,249.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,252.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,255.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,0.6666666666666666,,,,,,
Sufficiency,local,observation,420.0,0.6666666666666666,,,,,,
