metric,scope,row_type,observation,value,value_raw,n,mean,std,min,max
Complexity,local,observation,9.0,0.9419020890002443,,,,,,
Complexity,local,observation,5.0,0.9838823183756228,,,,,,
Complexity,local,observation,249.0,0.8956054476065034,,,,,,
Complexity,local,observation,252.0,0.9396121666238876,,,,,,
Complexity,local,observation,255.0,0.9399703429183836,,,,,,
Complexity,local,observation,685.0,0.9641305394496131,,,,,,
Complexity,local,observation,403.0,0.9210890778246401,,,,,,
Complexity,local,observation,420.0,0.9410383116780703,,,,,,
Consistency,local,observation,9.0,0.0,,,,,,
Consistency,local,observation,5.0,0.8571428570204082,,,,,,
Consistency,local,observation,249.0,0.8571428570204082,,,,,,
Consistency,local,observation,252.0,0.8571428570204082,,,,,,
Consistency,local,observation,255.0,0.8571428570204082,,,,,,
Consistency,local,observation,685.0,0.8571428570204082,,,,,,
Consistency,local,observation,403.0,0.8571428570204082,,,,,,
Consistency,local,observation,420.0,0.8571428570204082,,,,,,
FaithfulnessEstimate,local,observation,0.0,-0.38747627473078755,,,,,,
FaithfulnessEstimate,local,observation,1.0,-0.3717061681264167,,,,,,
FaithfulnessEstimate,local,observation,2.0,-0.6147387553786325,,,,,,
FaithfulnessEstimate,local,observation,3.0,-0.6014365972183964,,,,,,
FaithfulnessEstimate,local,observation,4.0,-0.5868669236066892,,,,,,
FaithfulnessEstimate,local,observation,5.0,-0.8306318819471816,,,,,,
FaithfulnessEstimate,local,observation,6.0,-0.3736035143208418,,,,,,
Monotonicity,local,observation,9.0,1.0,,,,,,
Monotonicity,local,observation,5.0,1.0,,,,,,
Monotonicity,local,observation,249.0,1.0,,,,,,
Monotonicity,local,observation,252.0,1.0,,,,,,
Monotonicity,local,observation,255.0,1.0,,,,,,
Monotonicity,local,observation,685.0,1.0,,,,,,
Monotonicity,local,observation,403.0,1.0,,,,,,
Monotonicity,local,observation,420.0,1.0,,,,,,
MonotonicityCorrelation,local,observation,0.0,0.8857142857142858,,,,,,
MonotonicityCorrelation,local,observation,1.0,0.7142857142857143,,,,,,
MonotonicityCorrelation,local,observation,2.0,0.3142857142857143,,,,,,
MonotonicityCorrelation,local,observation,3.0,-0.028571428571428574,,,,,,
MonotonicityCorrelation,local,observation,4.0,-0.3714285714285715,,,,,,
MonotonicityCorrelation,local,observation,5.0,0.08571428571428573,,,,,,
MonotonicityCorrelation,local,observation,6.0,-0.08571428571428573,,,,,,
SensitivityN,local,observation,0.0,0.4108805373478461,,,,,,
Sparseness,local,observation,9.0,0.22778547525329237,,,,,,
Sparseness,local,observation,5.0,0.1270470328163993,,,,,,
Sparseness,local,observation,249.0,0.3299235971748399,,,,,,
Sparseness,local,observation,252.0,0.25049741104055917,,,,,,
Sparseness,local,observation,255.0,0.25157732955822265,,,,,,
Sparseness,local,observation,685.0,0.18645973746931022,,,,,,
Sparseness,local,observation,403.0,0.2873096305715517,,,,,,
Sparseness,local,observation,420.0,0.24562725267431748,,,,,,
Sufficiency,local,observation,9.0,0.0,,,,,,
Sufficiency,local,observation,5.0,0.5,,,,,,
Sufficiency,local,observation,249.0,1.0,,,,,,
Sufficiency,local,observation,252.0,1.0,,,,,,
Sufficiency,local,observation,255.0,1.0,,,,,,
Sufficiency,local,observation,685.0,0.0,,,,,,
Sufficiency,local,observation,403.0,1.0,,,,,,
Sufficiency,local,observation,420.0,1.0,,,,,,
