dataset_name,model_name,observation,metric_params,LIME,SHAP
AHU21,AutoEncoder,10163,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8862638663258664,29.348645921369705
AHU21,AutoEncoder,10164,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.982525560438747,29.057136280481785
AHU21,AutoEncoder,10165,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8825545834669146,35.52413006347717
AHU21,AutoEncoder,10172,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9561650930651278,25.431902475717045
AHU21,AutoEncoder,10173,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.938694316637622,31.578205950961607
AHU21,AutoEncoder,10174,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9482163087263444,27.866461734968308
AHU21,AutoEncoder,10176,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9109319973955539,29.503677336261998
AHU21,AutoEncoder,10177,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9310832557827473,28.90531487851104
AHU21,AutoEncoder,10184,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9365948684108734,33.290479493195456
AHU21,AutoEncoder,10185,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9975246691514223,26.82296778141816
AHU21,AutoEncoder,10187,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8862710111531258,29.703469230566768
AHU21,AutoEncoder,10188,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9657310707810534,30.11677942989057
AHU21,AutoEncoder,10191,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9332372986419402,25.8898189732264
AHU21,AutoEncoder,10197,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9412676937452849,31.8435382276654
AHU21,AutoEncoder,43465,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8528306110830255,21.430528682977453
AHU21,AutoEncoder,60712,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9198660347833987,10.220226969175732
AHU21,AutoEncoder,62404,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8984186196944426,22.19113653954911
AHU21,AutoEncoder,64473,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8425093849341942,16.515665760015633
AHU21,AutoEncoder,64783,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6945722003049037,11.276313563242153
AHU21,AutoEncoder,64795,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6143733585743054,10.09248273007569
AHU21,AutoEncoder,64796,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.718195625669089,12.022339579816864
AHU21,AutoEncoder,64813,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7129419669192452,12.491626347379416
AHU21,AutoEncoder,77140,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9030359350638124,53.21633888628075
AHU21,AutoEncoder,77146,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9304376018777394,50.195365026150554
AHU21,AutoEncoder,77154,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9274997264686444,64.86842841397063
AHU21,AutoEncoder,98666,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8290681894417924,21.545864168013622
AHU21,AutoEncoder,98980,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7984457216514502,22.899627309759133
AHU21,AutoEncoder,102428,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6932548871366708,9.39590320208563
AHU21,AutoEncoder,102433,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.593990171350765,9.574438804679303
AHU21,AutoEncoder,102436,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.611541333478791,9.267149830657004
AHU21,AutoEncoder,159787,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.3979468486459488,16.00069685681641
AHU21,AutoEncoder,159795,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4136401371864562,15.322933497511027
AHU21,AutoEncoder,159801,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.40675290252857,15.449788648401457
AHU21,AutoEncoder,160706,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6735716110979488,13.553507425949164
AHU21,AutoEncoder,160745,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8978301341983734,59.783897032353124
AHU21,AutoEncoder,160807,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9438315930963597,105.66070360211306
AHU21,AutoEncoder,161562,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8649821409757255,21.257584525755696
AHU21,AutoEncoder,161591,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9359901251926368,21.192393743324455
AHU21,AutoEncoder,161616,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9175527246305026,115.47162739173854
AHU21,AutoEncoder,162843,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.944553599461051,112.29049339435076
AHU21,AutoEncoder,165865,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8044686860678467,15.130336131045002
AHU21,AutoEncoder,165869,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7877545330439022,15.148782129277706
AHU21,AutoEncoder,165877,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8132266212917338,16.947927185840143
AHU21,AutoEncoder,169883,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.731937339959993,12.044024891083026
AHU21,AutoEncoder,169892,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6856494809649953,17.98287039757042
AHU21,AutoEncoder,169895,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7389159862126549,13.479272699194176
AHU21,AutoEncoder,169899,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.737226036264462,14.126604373868377
AHU21,AutoEncoder,169905,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6976925281335122,13.788275008913294
AHU21,AutoEncoder,186820,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7939008289540816,20.270839883817022
AHU21,AutoEncoder,186832,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8721615346899274,17.389887172115014
AHU21,AutoEncoder,189380,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.096754171957899,10.219321779459737
AHU21,AutoEncoder,190545,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9274519523628173,48.85278595379596
AHU21,AutoEncoder,190554,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9338257162123953,60.54235178458899
AHU21,AutoEncoder,190572,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9252603909050876,52.049549665544596
AHU21,AutoEncoder,191102,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.076275776736952,16.281215828088243
AHU21,AutoEncoder,191529,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9291253120444223,64.62491937329229
AHU21,AutoEncoder,192043,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.256821992935814,50.3217788598005
AHU21,AutoEncoder,192734,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9290259478666176,71.13437750319159
AHU21,AutoEncoder,198708,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9354117162752058,83.30246959849318
AHU21,AutoEncoder,198816,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9297957338722396,87.59634919980826
AHU21,AutoEncoder,198840,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9287928727654613,50.01399218923867
AHU21,AutoEncoder,210411,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4045871592101733,17.334670402232508
AHU21,AutoEncoder,239412,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.878263214035261,19.684237787163585
AHU21,AutoEncoder,240053,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.259904513623157,37.0795454560044
AHU21,AutoEncoder,240405,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.2423319352261535,44.834195690466046
AHU21,AutoEncoder,240625,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7768211326136132,26.68541364343353
AHU21,AutoEncoder,240726,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.2516079822381503,37.95614378537969
AHU21,AutoEncoder,245409,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.817948219498996,20.799680392144346
AHU21,AutoEncoder,249893,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9083340157560675,32.051852935830816
AHU21,AutoEncoder,252759,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8413497812008204,22.0887846304342
AHU21,ECOD,10163,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5805215067143503,
AHU21,ECOD,10164,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.52965397709487,
AHU21,ECOD,10165,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5594286280578908,
AHU21,ECOD,10172,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5839548399886068,
AHU21,ECOD,10173,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5162519505807006,
AHU21,ECOD,10174,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6743480776309085,
AHU21,ECOD,10176,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5632024290640407,
AHU21,ECOD,10177,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7067865896964558,
AHU21,ECOD,10184,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.545193787304162,
AHU21,ECOD,10185,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8135757181689587,
AHU21,ECOD,10187,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7990938516769204,
AHU21,ECOD,10188,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.6872189084706464,
AHU21,ECOD,10191,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.77181547907058,
AHU21,ECOD,10197,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4789075667770442,
AHU21,ECOD,43465,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.804325878654412,
AHU21,ECOD,60712,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.586869494934722,
AHU21,ECOD,62404,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8055034295863706,
AHU21,ECOD,64473,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5094796609279213,
AHU21,ECOD,64783,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4955200898763537,
AHU21,ECOD,64795,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5795042032468178,
AHU21,ECOD,64796,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.521441316177278,
AHU21,ECOD,64813,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5311877568707197,
AHU21,ECOD,77140,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7375686309218534,
AHU21,ECOD,77146,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7642784076925564,
AHU21,ECOD,77154,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7143836729946218,
AHU21,ECOD,98666,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7398928362332142,
AHU21,ECOD,98980,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4608958131048166,
AHU21,ECOD,102428,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5737346016575635,
AHU21,ECOD,102433,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4958764401945541,
AHU21,ECOD,102436,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5788780677944412,
AHU21,ECOD,159787,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.535330710043714,
AHU21,ECOD,159795,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5495330506361176,
AHU21,ECOD,159801,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5448128077077388,
AHU21,ECOD,160706,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.7630829338085674,
AHU21,ECOD,160745,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9821871015810009,
AHU21,ECOD,160807,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",2.012936805555729,
AHU21,ECOD,161562,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.4937932298078138,
AHU21,ECOD,161591,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5115710462068774,
AHU21,ECOD,161616,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9604787541387578,
AHU21,ECOD,162843,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.9199679938319405,
AHU21,ECOD,165865,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5316784331225763,
AHU21,ECOD,165869,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5421176392884322,
AHU21,ECOD,165877,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.5205672401098584,
AHU21,ECOD,169883,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.3850102298324367,
AHU21,ECOD,169892,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.8626325250853957,
AHU21,ECOD,169895,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.467754653203468,
AHU21,ECOD,169899,"{""abs"": false, ""lower_bound"": 0.2, ""normalise"": false, ""nr_samples"": 200}",1.412553766072364,
