dataset_name,model_name,observation,metric_params,LIME,SHAP
AHU21,AutoEncoder,10163,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10164,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10165,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10172,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10173,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10174,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10176,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10177,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10184,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10185,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10187,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10188,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10191,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,10197,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,43465,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,60712,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",3.110576860020849e-05,0.0008383775539730031
AHU21,AutoEncoder,62404,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",3.614668619596893e-05,0.0059289454167323
AHU21,AutoEncoder,64473,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,64783,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",0.0003675646204083557,0.00048279440496677364
AHU21,AutoEncoder,64795,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",0.0004969971897616152,0.0016058911952905265
AHU21,AutoEncoder,64796,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",0.0004355966385355325,0.0003137770980118329
AHU21,AutoEncoder,64813,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
AHU21,AutoEncoder,77140,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",3.8917868758023006e-05,0.0013729570343327746
AHU21,AutoEncoder,77146,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.717585557496958e-05,0.0011551273558683636
AHU21,AutoEncoder,77154,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",2.8169877877288405e-05,0.0005475685590027567
AHU21,AutoEncoder,98666,"{""abs"": false, ""normalise"": false, ""nr_samples"": 100}",,
