metric,BreakDown,LIME,SHAP
AvgSensitivity,1.0659127262289512,0.9744028045030063,1.209584577877731
Completeness,0.0,0.0,0.0
Complexity,1.2788655391357464,1.6588812708583103,1.417418498890672
Consistency,0.5714285713469388,0.5714285713469388,0.5714285713469388
Faithfulness,0.03436846508147298,0.10483216031232716,0.026644563548286544
FaithfulnessEstimate,0.5153612703343534,0.24002723995917327,-0.1806071846472871
LocalLipschitzEstimate,2.956838716577712,16.023556346837083,1.7827969663201597
MaxSensitivity,2.2641472660831834,1.8469311445984467,3.263276948707568
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.21379056939684035,0.43482827673933633,0.3551097593371247
MonotonicityMetric,0.125,0.125,0.125
NonSensitivity,1.625,1.625,1.625
RelativeInputStability,0.7366767880972575,0.17744288997714183,0.14487693115660763
RelativeOutputStability,1121933.1795592362,342135.12182401505,428378.5448495263
SensitivityN,0.4582330343162349,-0.3397742421077011,0.4390868449802658
Sparseness,0.5124391059624226,0.2638149764966435,0.40230800094093444
Sufficiency,0.53125,0.71875,0.47916666666666663
