metric,BreakDown,LIME,SHAP
AvgSensitivity,4.893946135745672,0.8302079140158232,3.1751101424679877
Completeness,0.0,0.0,0.0
Complexity,0.923699119513451,0.830761713160863,0.9294915684243877
Consistency,0.9999999998571428,0.9999999998571428,0.9999999998571428
Deletion,0.36806437373161316,0.36806437373161316,0.36806437373161316
Faithfulness,-0.6613189892974035,-0.5321643753547932,0.24118144824243765
FaithfulnessEstimate,-0.2108912476758562,-0.2600403639476373,-0.07810556398522142
LocalLipschitzEstimate,9.719103190291918,8.981032743030918,6.634694723681784
MaxSensitivity,6.77067976600128,1.4617052707572915,5.4758268228611495
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.17142857142857146,0.4928571428571429,0.13571428571428573
MonotonicityMetric,0.0,0.0,0.0
MuFidelity,-0.2737996845121451,-0.23043862995653103,-0.24730413847542967
NonSensitivity,2.625,2.625,2.625
RelativeInputStability,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]"
RelativeOutputStability,"[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan, nan, nan, nan]"
SensitivityN,0.3561638320814245,-0.02890513275447425,0.22576375791926415
Sparseness,0.2778779191849178,0.4117540902811757,0.26767704731279185
Sufficiency,0.75,0.75,0.875
