metric,BreakDown,LIME,SHAP
Completeness,0.0,0.0,0.0
Complexity,1.2104790379203392,1.6899293235860389,1.5065669613136974
Consistency,0.5714285713469388,0.5714285713469388,0.5714285713469388
Faithfulness,0.06175701127665393,0.2423354320170288,-0.08331221082057697
FaithfulnessEstimate,0.42117539128619114,0.1484939964631685,0.04128630613141586
Monotonicity,1.0,1.0,1.0
MonotonicityCorrelation,0.21016700042401254,0.18480201761421797,0.35873332830995247
MonotonicityMetric,0.125,0.5,0.125
NonSensitivity,1.375,1.375,1.375
SensitivityN,0.39644856352514746,0.6568562781478496,0.2457927280705843
Sparseness,0.5485460594486835,0.23531473714809045,0.3834227494250004
Sufficiency,0.4583333333333333,0.7354166666666666,0.4583333333333333
